Q-State,Temperature,Pressure,External Observers,Entanglement Level,Probability of Outcome,Decision Superposition,Outcome
"[0.9388120386370697, 0.34442990013950425]",21.89729539873064,982.3256954706546,6,0.3465718814645239,0.16325909594110777,0,Yes
"[0.7205672804978409, 0.6933850259963404]",17.45833592586901,1036.8477823817313,8,0.03075191405776878,0.3381831241830612,1,No
"[0.7867806333543315, 0.6172327235156583]",33.234671491185,989.469263113891,6,0.24902192895441522,0.8403858293530607,1,Yes
"[0.5525617840157931, 0.8334719400467444]",23.51337996737157,982.8753225790877,6,0.018370096834055105,0.5501075786010469,0,Yes
"[0.027437411809475298, 0.9996235233492644]",31.73265635674552,981.2742024599537,3,0.8809153074139183,0.590411651927922,1,Yes
"[0.9961373403926869, 0.08780887811254891]",15.047410367871446,1043.803247892394,7,0.36300321035421146,0.8505729604273674,0,No
"[0.6173416940906035, 0.7866951332869322]",16.730922362058084,998.0532904348123,7,0.044715074831657264,0.5893245310417656,1,Yes
"[0.0519511940505091, 0.9986496249619915]",29.636144914016974,983.1163048050705,2,0.6025786967043651,0.3695644158877076,0,No
"[0.6403154930019124, 0.768112016194069]",25.54557564131749,1045.7992596989532,8,0.8560382431673733,0.017761663625775026,0,No
"[0.03167609047127217, 0.9994981867379529]",23.997426539108826,1024.110166321619,0,0.8409660001187159,0.22281550636297365,1,No
"[0.9222433704206145, 0.38660983654742287]",19.243965178025505,1031.586856433445,3,0.8354355090267127,0.4667700072540145,1,Yes
"[0.8107429546975699, 0.585402307313743]",29.370346644522897,1043.6231396608296,8,0.7669411544630795,0.3378287106591237,0,No
"[0.9644799562973064, 0.26415604081819827]",16.87524345175573,983.5170391473282,5,0.5696773953549404,0.8908088837544477,1,Yes
"[0.3609410938146791, 0.9325886160552589]",30.723718362635708,1034.8030109340586,3,0.09249126951610631,0.21343409337363606,0,Yes
"[0.989812681196599, 0.14237575686330803]",23.436059996471187,1023.1065021926886,1,0.2017855556046223,0.9372899232522954,1,Yes
"[0.02292554853539591, 0.9997371750737046]",18.001933780971363,1038.0105688628844,1,0.04753483690558025,0.18169849679840533,0,Yes
"[0.024163474056421236, 0.9997080206347875]",27.475060077382857,1004.6155883128384,3,0.3178983290057912,0.7125265660883817,0,No
"[0.9455797186173811, 0.3253905280420351]",30.902278571863707,1035.036845758742,5,0.4303672005256377,0.8731557495685613,0,No
"[0.04929674906409037, 0.9987841761520414]",17.937616814745304,989.6965802468573,6,0.7591113709337948,0.8588726927408002,1,Yes
"[0.9539292134694412, 0.30003175780169244]",16.87585780486053,1002.9789134380624,2,0.09510289611210143,0.5782849653310916,1,Yes
"[0.8539594571432296, 0.5203395483293967]",33.31154834321276,1008.0374947907181,6,0.3907906487731885,0.14830428377167248,0,Yes
"[0.6115015476756094, 0.7912432351624463]",24.32195760969615,1010.7325868825768,0,0.8127788233068293,0.931256009127349,1,Yes
"[0.7831351404272994, 0.6218515512788515]",29.571809505308373,983.1392894182217,0,0.8114006003115339,0.11960229943852241,1,No
"[0.05358843646196034, 0.9985631074086216]",15.416603012768416,994.1144356686593,9,0.07985824952313214,0.2619247011193794,1,No
"[0.9656786861398564, 0.25973962950462676]",18.123406370153027,1006.5499296370099,4,0.570741407930249,0.07218203775846177,0,Yes
"[0.9264450073826997, 0.37643013733715497]",26.55470501846108,1025.5774050803445,8,0.4380089920762289,0.06794770466588274,1,Yes
"[0.0631986605063103, 0.9980009665878125]",31.24192315969103,1003.4418825942341,8,0.1841537186315808,0.6011869113345113,1,Yes
"[0.17465118287577286, 0.9846303693874637]",32.88667206216512,1025.484751960613,8,0.3022416675902363,0.4377809708660937,0,No
"[0.12377846656130317, 0.9923098766089816]",34.32907336724062,1011.8394937770685,7,0.28452360449816094,0.5532607109540956,1,Yes
"[0.3727830999398437, 0.9279185095681842]",27.142254605099286,1036.9418823675055,7,0.21792637305441076,0.19957154713432512,0,No
"[0.9880287392416555, 0.1542699271813688]",24.7547451776582,1017.983217984699,4,0.06203921341212637,0.7415897306876769,1,Yes
"[0.9848563252303474, 0.1733724852846499]",34.37206592018563,1032.896519260733,9,0.6310993387420686,0.3836837051931935,0,Yes
"[0.45533049056652497, 0.8903224945829729]",33.43947666291925,988.329315379642,1,0.93469190521491,0.9374731329603256,0,No
"[0.06450722771908812, 0.997917239841059]",18.32886529061963,1031.7693535042126,6,0.20583238251354508,0.37553586397581795,1,Yes
"[0.4238805552959552, 0.9057180989921714]",34.96975432337943,1031.412866065402,4,0.4017760980541364,0.8750510878855577,1,No
"[0.7025878858986221, 0.7115969804520706]",21.20722125089014,994.9532992891142,6,0.17832262251502595,0.1268656412841519,0,Yes
"[0.9999566079489843, 0.009315697459723373]",29.80824144955601,1013.4641175098806,6,0.4613732389127757,0.4805023354653857,0,Yes
"[0.7242466640601303, 0.6895409847121292]",21.312501780948196,1006.8751973907688,2,0.9937889360402369,0.17138334070924577,0,Yes
"[0.14468824383136586, 0.989477292360464]",26.27732909127574,1043.8808181376025,5,0.5019622238224298,0.8359164948344195,1,No
"[0.6584419163772404, 0.752631545151721]",30.425105737563825,995.23161915437,3,0.26277227509902945,0.08944876713413541,0,No
"[0.5422793819925077, 0.8401982336721637]",20.266962099595105,995.5515044361399,9,0.5301159899984036,0.07692938699899265,0,No
"[0.4916763573718428, 0.8707780197051117]",31.563125743317254,1035.4190961617253,0,0.7760242426050431,0.2999261008770966,1,Yes
"[0.9984766248005206, 0.055176351156636876]",18.1258015746058,1038.332131345897,5,0.8062109537302673,0.35197965057931735,0,Yes
"[0.9501118283522405, 0.31190946382750684]",25.954025975027893,1037.5099690424795,4,0.21979557875866307,0.8553048865899211,0,No
"[0.4697282296970627, 0.8828110727815229]",24.982463320599177,984.9057735833301,8,0.42781769842511985,0.08717227112900361,0,Yes
"[0.981593666780515, 0.19098134290129842]",17.084476268304357,985.7060562862903,9,0.03651683802956163,0.5841995093843946,0,No
"[0.9470147521194341, 0.32119006720035204]",19.231757737780555,1001.63043636454,3,0.5272280085825991,0.8425063903166216,1,No
"[0.8041345592713574, 0.5944473152310975]",17.21029654601724,1032.934062271133,1,0.6220049103824432,0.9837899628844596,0,Yes
"[0.9999923362933009, 0.003915016560088921]",25.662066067798833,1007.8942193012704,1,0.09371648002529587,0.9347625922174331,1,No
"[0.3515337579570304, 0.9361752063671671]",18.06120973956296,1008.9294980836178,3,0.7401011336654,0.208018294776125,0,No
"[0.954215499412386, 0.299120010499416]",17.101085328408224,994.6293901092239,5,0.1477389793083963,0.6084397861847831,1,Yes
"[0.6911439360435059, 0.7227171366933887]",30.976848317183496,1023.6273739891898,1,0.8105067630265177,0.6284348539110223,0,Yes
"[0.7873002938180256, 0.6165697424898913]",30.283605313540892,1046.6847866709063,3,0.6410306974713108,0.9162356273182167,1,Yes
"[0.62549944305832, 0.7802246130017505]",19.755101182033066,982.077246378438,8,0.5834694908958185,0.7038876799570983,0,No
"[0.3389895720753742, 0.9407901307008671]",26.524944122294738,1049.8032906366773,7,0.9652839609081,0.5211053372687244,0,No
"[0.9442387860164214, 0.32926146902155845]",15.088878604238117,995.0287981421947,9,0.02859396334595643,0.30559979211562993,0,Yes
"[0.7219524643755739, 0.6919426559925582]",26.737315386812917,1015.9583898820574,7,0.6155203374057393,0.33382384314306823,1,Yes
"[0.9992280581475916, 0.03928470199190958]",21.239945399580094,1017.5567916547708,1,0.5488311973239963,0.5890493448056425,1,No
"[0.3155603774592269, 0.9489055001304346]",23.23653436363307,1007.8553212882148,9,0.3652838657915448,0.5630582736813009,0,No
"[0.9204613138574808, 0.39083368546193703]",22.33162945040725,1032.7404327688894,9,0.811332831834269,0.5835802123221718,1,Yes
"[0.3624482721429481, 0.9320038894879095]",24.775360692019724,1024.8356179669563,9,0.5987271147539573,0.5677164646255939,1,No
"[0.997761277290079, 0.06687625543098212]",26.08611964122125,984.7634003210646,6,0.3915050784888797,0.9892958705824505,0,Yes
"[0.2656084816966957, 0.9640809791976896]",28.247558473598822,1000.3194114809031,4,0.7136554971261331,0.4648921133259477,0,No
"[0.7827262700801682, 0.6223661190379722]",28.703167481623392,1044.5851942904558,6,0.7174484544420572,0.39899938854984796,1,No
"[0.43535710930284316, 0.9002578449419212]",23.24725072534814,1017.1958043457466,0,0.7718928703021741,0.8384167809093916,1,Yes
"[0.3404313525310322, 0.9402693732191281]",16.15282387208096,1025.62184798504,7,0.6367570054015872,0.9262935398299154,0,Yes
"[0.32601180853653494, 0.9453656968045422]",24.43859090079573,1036.7948973504188,7,0.14771418529986902,0.9959933916244468,0,Yes
"[0.9957159076123064, 0.09246529796524196]",34.822662473030704,1025.828351649545,2,0.5869175699547519,0.9869062202031783,1,Yes
"[0.9978941031681844, 0.06486415699109156]",18.43124021237195,1022.5677162792537,5,0.7265566808306266,0.955913196749831,1,No
"[0.16586281144257506, 0.9861488365253821]",31.358046748471754,1022.1489303837783,8,0.6011098296621461,0.47516100384037585,0,No
"[0.9340042510732955, 0.3572618913024621]",23.99340268228996,1041.5823408062274,2,0.11509631102425488,0.19589660034404754,0,No
"[0.3943425237824756, 0.9189635324303504]",33.50118810285776,1030.8931797504563,5,0.36949508900534944,0.8837108884063976,1,No
"[0.676375053460911, 0.7365573888406456]",30.927278896713847,1039.6732400614396,4,0.42127465349751503,0.19711484239382415,0,Yes
"[0.9969106355601233, 0.0785441576892327]",18.52033737370348,1042.8683530429098,0,0.7042604683195265,0.13370782517776514,0,Yes
"[0.6173615185538499, 0.7866795760720399]",25.21796209753422,986.8314652615604,5,0.741868525471393,0.589508472109911,0,Yes
"[0.8553511909590791, 0.518048588575324]",19.026913478054265,1044.9226198051742,1,0.01709139110160629,0.6338780780911092,0,No
"[0.9797183796125003, 0.2003793817972718]",19.86631835585115,1008.3421634476168,0,0.4344054146172057,0.718185755206471,0,No
"[0.1447228985626893, 0.9894722242850547]",24.197820760887623,1004.3719321332121,2,0.30267944381987366,0.5391599341212461,0,No
"[0.7264099174603339, 0.6872616909265866]",26.704060800813632,1027.6291229309713,3,0.9852959076320312,0.7096587481950606,0,Yes
"[0.7564980513290316, 0.6539959467270252]",17.135031420385406,998.4424404280134,1,0.7279231506403624,0.09650987551951717,0,No
"[0.7171422500580131, 0.6969268205355066]",31.302725009692892,994.7090940459927,2,0.9670343615824307,0.09021555284361582,1,Yes
"[0.8111911792051744, 0.5847810451611087]",15.053798328722808,1047.3542134715867,5,0.8320502063612222,0.8242847138758032,1,Yes
"[0.7752163908651233, 0.6316957711858235]",27.005041758141026,988.882585525255,3,0.8982334913157967,0.6490839050592152,0,No
"[0.21284138269031913, 0.9770867647320135]",30.61514766890748,1022.8249862318028,0,0.9838293278997822,0.8957782576572062,0,No
"[0.5584316111645656, 0.829550562444597]",22.211286873799047,993.9191449044897,1,0.9519887238618849,0.35239121536934637,1,No
"[0.998257386258075, 0.0590100905032042]",15.190586022173044,985.0124555791903,0,0.38272938935598544,0.26455262447326977,0,Yes
"[0.7600659882783904, 0.6498458997811662]",19.689680852533954,1020.0541492292974,2,0.24438331883548026,0.31558170449801204,0,Yes
"[0.9996605001298214, 0.026055411725692514]",15.065829867068457,989.0163814114354,0,0.08903097973933671,0.8314839171943075,0,No
"[0.6434127095365337, 0.7655194871502986]",28.99447720482129,988.9780782100105,8,0.8394608356023305,0.0954253702472706,0,Yes
"[0.5120367396162093, 0.8589635482854916]",20.632058460695823,998.560451657874,9,0.4930933396595304,0.9954493505667198,0,No
"[0.7574202579663281, 0.6529276780947649]",28.03926080627656,982.8037964609058,9,0.9529089316483377,0.8014056379750626,1,No
"[0.8249865566852256, 0.5651523522809181]",34.51761502856579,1026.6891665273583,8,0.7793623795539334,0.9406319345748614,0,No
"[0.9986233119432969, 0.05245455979608305]",25.274060178670883,1020.7806829551089,6,0.6126954863765419,0.9487709418685124,0,Yes
"[0.38599562960477335, 0.9225006091737905]",27.14185882230368,1028.7032429040935,2,0.6393200965455677,0.7417215958250983,0,Yes
"[0.6000335798183996, 0.7999748140349896]",29.980114369433224,988.0274097116044,3,0.7474238495136569,0.21475394206692122,0,Yes
"[0.6108056595316651, 0.7917805543735509]",34.89660146355244,1023.4169717140757,4,0.8616921145075347,0.8656410577118561,1,Yes
"[0.9982508869391303, 0.05911993509163826]",17.935916886647362,1019.3297043899363,3,0.15159611855659239,0.7230579681446582,0,Yes
"[0.2291211554427686, 0.9733979125355522]",26.070110229551773,1010.8840069920137,6,0.6508144425327345,0.5625028758145879,1,No
"[0.9996714606744065, 0.025631439934162722]",21.66206938195456,995.9872305239668,5,0.7971601141765794,0.3177575875506884,1,Yes
"[0.5788750109643788, 0.8154162873532699]",19.893454522774462,989.2132378884226,0,0.14471139152814239,0.10918423840203173,0,Yes
"[0.7042215626197863, 0.7099802748959626]",33.613738690236104,987.1408132144761,7,0.7467375179456118,0.51832983447884,1,Yes
"[0.421415253620728, 0.906867787505862]",16.229552624067388,1011.329666148616,9,0.2814082463528562,0.946029162270685,0,No
"[0.9037501296703588, 0.42806039658068035]",33.85721239975523,1013.7420948844233,2,0.07318925406602472,0.4317856780075551,1,Yes
"[0.5418442263831919, 0.840478931523688]",15.623859556608373,991.305594026479,8,0.6178012356176028,0.2620103155467395,1,Yes
"[0.37535987289926603, 0.9268791538367053]",24.174062705820774,1020.7800478138877,8,0.14656369738594943,0.23923367158601827,0,Yes
"[0.047745176860382, 0.9988595487287344]",31.16475953981644,1029.6657015350875,3,0.20664486667671433,0.8427832720536786,1,No
"[0.005792899741266633, 0.9999832210155266]",17.54860870960694,1007.3113314868548,7,0.9677146014802644,0.5950004758972715,0,No
"[0.621471853162997, 0.7834364911887562]",34.30910756603626,1031.331798288753,8,0.6872994363520862,0.8584940254170239,0,Yes
"[0.6731386427467055, 0.7395163065417308]",33.463318364356184,980.9675224623878,9,0.2032032417809777,0.3264978677292566,0,No
"[0.4401093420864222, 0.897944189250232]",24.208694753207794,988.1416188664946,1,0.03829275179595748,0.5972422439780474,1,No
"[0.09527111651185213, 0.9954513621260382]",27.34523911227263,982.7900160606983,6,0.7775990565451774,0.5934005914212308,1,Yes
"[0.9764749441238749, 0.21563089643711836]",34.466162208414815,1002.603785790621,4,0.6816612862715782,0.6343248680461379,1,No
"[0.8942011741591784, 0.44766534390362034]",23.24688508774176,1043.4722091107255,6,0.7099406857613717,0.5779527449629345,0,Yes
"[0.5554289746393486, 0.8315639807802415]",17.18134661329366,1011.5390849092568,0,0.10744757553578466,0.7642520639110396,0,Yes
"[0.7091769861989945, 0.7050304973869649]",22.75617416812041,1008.4774597553339,0,0.5716205096635568,0.6251729182576973,0,Yes
"[0.9619328490528047, 0.2732859197125859]",25.268635263153286,1031.4558801017818,8,0.542830553894002,0.9096270371723487,0,No
"[0.7216507742108826, 0.6922572932666248]",15.203576791412107,980.6492522687776,3,0.11881545029303286,0.2804835383728518,0,Yes
"[0.5949618580951636, 0.803753934616777]",22.463685543237418,1039.3711108908444,4,0.2856267246592732,0.3374035256477753,0,Yes
"[0.9999787796062066, 0.0065146248765073]",25.279546706076708,1011.7765536911699,2,0.8146312031074859,0.42383224745709924,0,No
"[0.9992234965687348, 0.03940055716549888]",19.85487902984002,990.3778585474902,6,0.5855350402222816,0.47403011404213125,0,Yes
"[0.9122110329266185, 0.4097206748590455]",31.95956977889393,998.4853075384391,3,0.9134249386861027,0.42125556875204784,1,Yes
"[0.9333021490015372, 0.35909204762722396]",31.269780390054514,1045.9965564549386,9,0.7764827355107871,0.5411795370729001,0,No
"[0.10921051705953713, 0.9940186431670125]",25.609876184514953,982.3980619420831,2,0.6673494306454876,0.6251414944996956,1,No
"[0.9569156235463535, 0.29036612993407745]",28.444679260048503,998.8099669655901,7,0.7692535489599458,0.3353088337886735,1,Yes
"[0.4139143625432247, 0.9103158245798191]",15.807480172155122,1049.0383341471381,7,0.18526223273072073,0.23114289589814607,1,No
"[0.7471214141039096, 0.6646875902161665]",16.07598194705993,1007.9615187237305,3,0.38432112720441647,0.3172845656596065,1,Yes
"[0.9007047784974542, 0.43443170003103104]",30.6081744585965,1010.8318656545526,2,0.7057617885180139,0.27314606009687925,0,Yes
"[0.7423184011394292, 0.6700473052925454]",16.490881921033317,1035.5414705411977,3,0.8293659132406944,0.9794085126340955,0,Yes
"[0.7393118708561535, 0.6733631691822579]",20.489762908271192,1018.2183125356631,8,0.23533110716523908,0.49651689998908277,1,No
"[0.9096885151853362, 0.4152912295484918]",32.8651930786686,1018.2588401853907,3,0.2356295385183984,0.2291550500764613,0,Yes
"[0.8660591172739711, 0.4999416019763007]",18.51927766975933,1032.073990248153,4,0.8084954895448904,0.11830884552260001,0,No
"[0.9324568979678985, 0.36128123869374135]",34.36158510738698,1004.8912524481099,8,0.24605099058811286,0.9209450813018643,0,No
"[0.9265831982757917, 0.37608985186123356]",29.34652250079908,1027.6966822334984,4,0.7799535307675037,0.09060103465179103,1,No
"[0.9996742015944802, 0.025524315200188004]",27.386003568649354,1000.5792340942576,5,0.010642896091336063,0.5438770178177065,1,Yes
"[0.3927978523086983, 0.9196248404766338]",20.977452845776575,1048.1421957917557,6,0.6839128219556485,0.5943668947235473,0,No
"[0.30727668103042977, 0.9516202190448264]",30.08502029963237,992.6619309349625,5,0.6884918540872003,0.28341474238886266,1,Yes
"[0.05199360501649388, 0.9986474177793626]",28.734074460577126,988.1833484332365,6,0.29865898443467886,0.23179237663479557,0,No
"[0.9755170111284862, 0.21992398913930408]",34.02921735206789,1043.3067524673052,2,0.9451689805139709,0.7119321598640689,1,Yes
"[0.4679058087828826, 0.8837783399174459]",21.310092374011738,1040.4072266007258,5,0.2670926815879977,0.21690109708972072,1,Yes
"[0.9122799722534841, 0.40956715227808776]",34.5399731055309,1025.8923315169566,6,0.48886647161175556,0.33092081057197764,1,No
"[0.6021511302055123, 0.798382124294015]",29.20397058012413,1005.8343529506535,5,0.717588791411076,0.461953753183563,1,No
"[0.8849224352855843, 0.46573842822793876]",33.80996689088602,1027.1854869365948,2,0.45356015687327844,0.3030105410060612,1,No
"[0.8090719025974858, 0.5877096701835732]",31.829477399698185,1020.4133530600479,2,0.6668364866299398,0.40136072166301984,1,No
"[0.19789038939400524, 0.98022415486739]",15.02781892052641,1000.8694619818109,8,0.17911635238155055,0.991553571618718,1,Yes
"[0.7195882273056365, 0.6944010247134803]",33.59421567212664,1011.3724874648425,6,0.2858498621978509,0.5125224734470993,1,No
"[0.28700339228266125, 0.9579295656875013]",21.718739937169985,997.0280964318354,7,0.14393524529360213,0.12045777403510016,0,Yes
"[0.106163459834367, 0.9943486912527197]",28.94411749121042,1005.7800638527648,8,0.02658664007171163,0.40464628508656697,0,Yes
"[0.7878530297467791, 0.6158632993764288]",22.08297611615535,985.8023405684265,8,0.629808961922537,0.15213230509038822,1,No
"[0.28339068258076333, 0.9590045469268689]",16.422238813827892,1034.5173510301918,1,0.35210319871726936,0.9259008795418612,1,Yes
"[0.83593860361454, 0.5488229687130203]",23.627316368468765,1005.7040466570195,7,0.27228080708725666,0.34025560920658937,1,Yes
"[0.9263189521294748, 0.37674022737922724]",22.978926782056597,1034.7216456031856,2,0.7251831467440694,0.13363547799025777,0,No
"[0.6753247574258905, 0.7375204892121047]",19.168888071456898,1025.1424397449614,6,0.0599487782132061,0.7990034714229562,0,Yes
"[0.5964440905180474, 0.802654624907936]",18.621324711521893,990.3668380865529,2,0.8087567505865273,0.4163742248616097,1,No
"[0.9994010432208085, 0.034605704864364574]",30.161875572525055,1022.375486332755,9,0.406540639369244,0.05677578182292675,0,Yes
"[0.9593978550437327, 0.28205629887929284]",32.48999511701426,999.8308369614892,4,0.4736801112524047,0.6660028814012844,0,Yes
"[0.8067003941186575, 0.5909606366999435]",22.756939830998633,1024.8801023326394,3,0.19952937056476894,0.8470903523870511,1,Yes
"[0.9572062524994714, 0.28940661736718826]",29.963412457458922,998.6826656654881,7,0.5774417042118256,0.30718602738050105,1,No
"[0.3128591122379079, 0.9497995451092341]",15.664642839878997,984.994505334486,5,0.9722649844200827,0.9304662113340517,0,Yes
"[0.6505450891086948, 0.7594676339624752]",26.064399596260674,996.6647998371733,0,0.031497392907035016,0.8647695493368912,0,Yes
"[0.17645473911998158, 0.9843087549352079]",23.75761746811947,996.6012798897837,9,0.8320789313400411,0.9865040421544055,0,No
"[0.6720596723391219, 0.7404969931170767]",34.633593930560096,1001.1100905380152,7,0.9050837169339894,0.75943483123371,1,Yes
"[0.8863998382548415, 0.46292043240905956]",20.095471855465064,992.3059103077577,8,0.5426792338873115,0.5318524019155961,0,Yes
"[0.7001335467098424, 0.7140119164072103]",25.375367883228208,1046.7722191212933,6,0.5786346855451165,0.306371115508247,1,No
"[0.8968624877956929, 0.4423094821331786]",20.21522465052025,988.1661626646654,7,0.1093246331018699,0.9335892875309777,1,Yes
"[0.9702577124954769, 0.24207430954780074]",18.246667493632074,1018.9768502658467,8,0.9006790067071014,0.5442013807919692,1,No
"[0.4248196554485192, 0.9052780016904206]",20.00000166318106,991.6087767262562,7,0.8338989044626317,0.8177600120265939,1,No
"[0.1517427742474542, 0.9884200172313823]",31.124572638981622,1049.422378130318,0,0.6751986320426449,0.21575014370747503,1,No
"[0.9922470826998258, 0.12428083872297092]",26.75141840344358,1039.4893202757225,6,0.2938379030052941,0.8501535602374994,0,Yes
"[0.997472452295878, 0.07105425329174479]",19.523171391757476,997.0197591696475,9,0.593278694417842,0.9653608035138129,0,Yes
"[0.9682472074582222, 0.24999469044232558]",16.98742561547703,1041.280145851417,7,0.2389027538748324,0.1115197964069129,1,Yes
"[0.6686936304813568, 0.7435380478184441]",20.872922020950604,1016.1553313920601,2,0.3436921205808997,0.8478659468068063,0,Yes
"[0.37568474558616644, 0.9267475232952377]",25.715569861846106,1004.7265752099844,5,0.4803914716850701,0.9945944895271588,1,No
"[0.9792270821609548, 0.20276666777984656]",17.10229662146588,1043.968197060697,5,0.22772848124277545,0.21374336173051456,0,Yes
"[0.5099282926963234, 0.8602169123586287]",20.84400195247212,1008.5701103518807,9,0.9410300744370049,0.6594247590635836,1,No
"[0.3200245081602517, 0.9474092643503066]",30.97621269874506,1022.1777532704025,2,0.0852618929967397,0.6514356192341337,1,No
"[0.597790524970665, 0.8016523487493171]",16.035035907052574,1034.213999760794,0,0.9922316174157795,0.29750642511976855,1,Yes
"[0.06816538009290207, 0.997674035422788]",27.22410830993924,989.0746010668967,2,0.7674401738290814,0.28892744095555434,0,Yes
