Title,Company,Location,Easy Apply,Salary_Lower_Limit,Salary_Upper_Limit
Trainer,Synergy Labs,Remote,TRUE,400000,1200000
Blockchain Developer Intern,Zuvomo,Noida,TRUE,400000,800000
Business Development Associate,REGex Software Services,Gurgaon,FALSE,900000,1500000
Business Development Manager,Sarahna Industries Pvt. Ltd.,India,TRUE,500000,1200000
Blockchain Developer,LCX,Alwar,TRUE,400000,700000
Blockchain Developer,Zuvomo,Remote,TRUE,200000,300000
Field Interviewer,Waterneer Biokube Technologies,Sonipat,TRUE,1200000,1200000
Full Stack Engineer,TeraBlock,New Delhi,TRUE,800000,1800000
Blockchain Developer,Varaha ClimateAg Private Limited,Bangalore,TRUE,100000,100000
Content Manager,QuillHash Technologies Pvt Ltd,New Delhi,TRUE,200000,300000
Trainer,CoinFantasy,Warangal,TRUE,96000,100000
Associate Blockchain Developer,SAVE - NGO,Gurgaon,FALSE,400000,900000
Blockchain Developer,MPACT,Noida,TRUE,500000,700000
Blockchain Developer,LCX,Gurgaon,TRUE,500000,800000
Blockchain Developer,Ably Corporate,Noida,FALSE,500000,2000000
Digital Marketing,Zorang Technologies,Gurgaon,TRUE,100000,200000
Technical Recruiter,Hack2skill,Noida,FALSE,800000,1000000
Blockchain Developer,Panaesha Capital ltd. pvt,Nashik,TRUE,400000,1500000
Blockchain Developer,Lapits Technologies,Noida,TRUE,400000,800000
Blockchain Developer,Sweply Technology Pvt Ltd,Noida,TRUE,800000,800000
Blockchain Developer,ClassHose India Pvt. Ltd.,Pune,TRUE,800000,1100000
Blockchain Developer,SDLC Corporation,Remote,TRUE,500000,800000
Blockchain Developer,Nexonweb Solution Pvt Ltd,New Delhi,TRUE,400000,1200000
Non Title,IBM,Noida,FALSE,400000,800000
Consulting Manager,HRsimpli,Pune,FALSE,900000,1500000
Consultant,Cubicle Crew Pvt Ltd,Bangalore,FALSE,500000,1200000
Blockchain Developer Intern,Sopra Steria,Gurgaon,TRUE,400000,700000
Social Media Manager,Tokyotechie,New Delhi,TRUE,200000,300000
Trainer,Infosys Limited,Remote,TRUE,1200000,1200000
Blockchain Developer Intern,Synergy Labs,Noida,TRUE,800000,1800000
Business Development Associate,Zuvomo,Gurgaon,FALSE,100000,100000
Business Development Manager,REGex Software Services,India,TRUE,200000,300000
Blockchain Developer,LCX,Remote,TRUE,96000,100000
Field Interviewer,Zuvomo,Sonipat,TRUE,400000,900000
Full Stack Engineer,Waterneer Biokube Technologies,New Delhi,TRUE,500000,700000
Blockchain Developer,TeraBlock,Bangalore,TRUE,500000,800000
Content Manager,Varaha ClimateAg Private Limited,New Delhi,TRUE,500000,2000000
Project Manager,QuillHash Technologies Pvt Ltd,Tiruppūr,TRUE,100000,200000
Trainer,Wits Innovation Lab,Warangal,TRUE,800000,1000000
Associate Blockchain Developer,CoinFantasy,Gurgaon,FALSE,400000,1500000
Blockchain Developer,SAVE - NGO,Noida,TRUE,400000,800000
Blockchain Developer,MPACT,Gurgaon,TRUE,800000,800000
Blockchain Developer,LCX,Noida,FALSE,800000,1100000
Digital Marketing,Ably Corporate,Gurgaon,TRUE,500000,800000
Technical Recruiter,Zorang Technologies,Noida,FALSE,400000,1200000
Blockchain Developer,Hack2skill,Nashik,TRUE,400000,800000
Blockchain Developer,Panaesha Capital ltd. pvt,Noida,TRUE,900000,1500000
Blockchain Developer,Lapits Technologies,Noida,TRUE,500000,1200000
Blockchain Developer,Sweply Technology Pvt Ltd,Pune,TRUE,400000,700000
Blockchain Developer,ClassHose India Pvt. Ltd.,Remote,TRUE,200000,300000
Blockchain Developer,SDLC Corporation,New Delhi,TRUE,1200000,1200000
Non Title,Nexonweb Solution Pvt Ltd,Noida,FALSE,800000,1800000
Consulting Manager,IBM,Pune,FALSE,100000,100000
Consultant,HRsimpli,Bangalore,FALSE,200000,300000
Social Media Manager,Sopra Steria,New Delhi,TRUE,400000,900000
Trainer,Tokyotechie,Remote,TRUE,100000,200000
Blockchain Developer Intern,Infosys Limited,Noida,TRUE,96000,100000
Business Development Associate,Synergy Labs,Gurgaon,FALSE,500000,700000
Business Development Manager,Zuvomo,India,TRUE,900000,1500000
Blockchain Developer,REGex Software Services,Alwar,TRUE,800000,800000
Blockchain Developer,Sarahna Industries Pvt. Ltd.,Remote,TRUE,800000,1100000
Field Interviewer,LCX,Sonipat,TRUE,500000,2000000
Full Stack Engineer,Zuvomo,New Delhi,TRUE,400000,800000
Blockchain Developer,Waterneer Biokube Technologies,Bangalore,TRUE,800000,1000000
Content Manager,TeraBlock,New Delhi,TRUE,400000,1500000
Project Manager,Varaha ClimateAg Private Limited,Tiruppūr,TRUE,500000,800000
Trainer,QuillHash Technologies Pvt Ltd,Warangal,TRUE,500000,1200000
Associate Blockchain Developer,Wits Innovation Lab,Gurgaon,FALSE,400000,800000
Blockchain Developer,CoinFantasy,Noida,TRUE,500000,800000
Blockchain Developer,SAVE - NGO,Gurgaon,TRUE,100000,100000
Blockchain Developer,MPACT,Noida,FALSE,200000,300000
Technical Recruiter,Ably Corporate,Noida,FALSE,400000,900000
Blockchain Developer,Zorang Technologies,Nashik,TRUE,100000,200000
Blockchain Developer,Hack2skill,Noida,TRUE,96000,100000
Blockchain Developer,Panaesha Capital ltd. pvt,Noida,TRUE,500000,700000
Blockchain Developer,Lapits Technologies,Pune,TRUE,900000,1500000
Blockchain Developer,Sweply Technology Pvt Ltd,Remote,TRUE,800000,800000
Blockchain Developer,ClassHose India Pvt. Ltd.,New Delhi,TRUE,800000,1100000
Non Title,SDLC Corporation,Noida,FALSE,500000,2000000
Consulting Manager,Nexonweb Solution Pvt Ltd,Pune,FALSE,400000,800000
Database Administrator Leader,IBM,New Delhi,FALSE,800000,1000000
Consultant,HRsimpli,Bangalore,FALSE,400000,1500000
Senior Consultant,Cubicle Crew Pvt Ltd,Bangalore,FALSE,500000,800000
Blockchain Developer Intern,Sopra Steria,Gurgaon,TRUE,500000,1200000
Social Media Manager,Tokyotechie,New Delhi,TRUE,400000,800000
Trainer,IBM,Remote,TRUE,500000,800000
Business Development Associate,Infosys Limited,Gurgaon,FALSE,100000,100000
Field Interviewer,Infosys Limited,Sonipat,TRUE,200000,300000
Technical Recruiter,Zuvomo,Noida,FALSE,400000,900000
Business Development Manager,REGex Software Services,India,TRUE,100000,200000
Digital Marketing,LCX,Gurgaon,TRUE,96000,100000
Project Manager,Varaha ClimateAg Private Limited,Tiruppūr,TRUE,500000,700000
Trainer,IBM,Warangal,TRUE,900000,1500000
Blockchain Developer,Sarahna Industries Pvt. Ltd.,Remote,TRUE,800000,800000
Content Manager,Lapits Technologies,New Delhi,TRUE,800000,1100000
Head Finance Manager,Zuvomo,New Delhi,FALSE,500000,2000000
Full Stack Engineer,Panaesha Capital ltd. pvt,New Delhi,TRUE,400000,800000
Non Title,SAVE - NGO,Noida,FALSE,800000,1000000
Blockchain Developer,MPACT,Bangalore,TRUE,400000,1500000
Associate Blockchain Developer,TeraBlock,Gurgaon,FALSE,500000,800000
Blockchain Developer,CoinFantasy,Nashik,TRUE,500000,1200000
Blockchain Developer,Binance,Noida,FALSE,400000,800000
Blockchain Developer,QuillHash Technologies Pvt Ltd,Alwar,TRUE,500000,800000
Lead Finance Manager,Sopra Steria,Gurgaon,FALSE,300000,300000
Test Engineer,Wits Innovation Lab,Noida,FALSE,100000,100000
Blockchain Developer,LCX,Gurgaon,TRUE,200000,300000
Consultant,Hack2skill,Bangalore,FALSE,400000,900000
Senior Consultant,KiwiTech,Bangalore,FALSE,100000,200000
Blockchain Developer Intern,Waterneer Biokube Technologies,Gurgaon,TRUE,96000,100000
Social Media Manager,IBM,New Delhi,TRUE,500000,700000
Trainer,Lapits Technologies,Remote,TRUE,900000,1500000
Business Development Associate,IBM,Gurgaon,FALSE,800000,800000
Field Interviewer,Zorang Technologies,Sonipat,TRUE,800000,1100000
Blockchain Developer Intern,IBM,Noida,TRUE,500000,2000000
Technical Recruiter,Infosys Limited,Noida,FALSE,400000,800000
Business Development Manager,Infosys Limited,India,TRUE,800000,1000000
Project Manager,Zuvomo,Tiruppūr,TRUE,500000,800000
Trainer,REGex Software Services,Warangal,TRUE,500000,1200000
Blockchain Developer,LCX,Remote,TRUE,400000,800000
Content Manager,Varaha ClimateAg Private Limited,New Delhi,TRUE,500000,800000
Head Finance Manager,IBM,New Delhi,FALSE,300000,300000
Full Stack Engineer,Sarahna Industries Pvt. Ltd.,New Delhi,TRUE,100000,100000
Non Title,Lapits Technologies,Noida,FALSE,200000,300000
Associate Blockchain Developer,Panaesha Capital ltd. pvt,Gurgaon,FALSE,400000,900000
Blockchain Developer,SAVE - NGO,Nashik,TRUE,100000,200000
Blockchain Developer,MPACT,Noida,FALSE,96000,100000
Blockchain Developer,TeraBlock,Alwar,TRUE,500000,700000
Lead Finance Manager,CoinFantasy,Gurgaon,FALSE,900000,1500000
Test Engineer,Binance,Noida,FALSE,800000,800000
Blockchain Developer,QuillHash Technologies Pvt Ltd,Gurgaon,TRUE,800000,1100000
Consultant,Sopra Steria,Bangalore,FALSE,500000,2000000
Blockchain Developer Intern,Wits Innovation Lab,Gurgaon,TRUE,400000,800000
Social Media Manager,LCX,New Delhi,TRUE,800000,1000000
Trainer,Sweply Technology Pvt Ltd,Remote,TRUE,400000,1500000
Business Development Associate,Hack2skill,Gurgaon,FALSE,500000,800000
Field Interviewer,KiwiTech,Sonipat,TRUE,500000,1200000
Blockchain Developer Intern,Waterneer Biokube Technologies,Noida,TRUE,400000,800000
Technical Recruiter,IBM,Noida,FALSE,500000,800000
Business Development Manager,Lapits Technologies,India,TRUE,300000,300000
Digital Marketing,IBM,Gurgaon,TRUE,100000,100000
Project Manager,Zorang Technologies,Tiruppūr,TRUE,200000,300000
Blockchain Developer,Synergy Labs,Remote,TRUE,400000,900000
Content Manager,Zuvomo,New Delhi,TRUE,100000,200000
Head Finance Manager,REGex Software Services,New Delhi,FALSE,96000,100000
Full Stack Engineer,LCX,New Delhi,TRUE,500000,700000
Non Title,Varaha ClimateAg Private Limited,Noida,FALSE,900000,1500000
Blockchain Developer,IBM,Bangalore,TRUE,800000,800000
Associate Blockchain Developer,Sarahna Industries Pvt. Ltd.,Gurgaon,FALSE,800000,1100000
Blockchain Developer,Lapits Technologies,Nashik,TRUE,500000,2000000
Blockchain Developer,Zuvomo,Noida,FALSE,400000,800000
Blockchain Developer,Panaesha Capital ltd. pvt,Alwar,TRUE,800000,1000000
Lead Finance Manager,SAVE - NGO,Gurgaon,FALSE,400000,1500000
Test Engineer,MPACT,Noida,FALSE,500000,800000
Blockchain Developer,TeraBlock,Gurgaon,TRUE,500000,1200000
Business Analyst,CoinFantasy,Noida,TRUE,400000,800000
Senior Blockchain Developer,Binance,Noida,FALSE,500000,800000
Consultant,QuillHash Technologies Pvt Ltd,Bangalore,FALSE,300000,300000
Blockchain Developer Intern,Sopra Steria,Gurgaon,TRUE,100000,100000
Social Media Manager,Wits Innovation Lab,New Delhi,TRUE,200000,300000
Business Development Associate,Sweply Technology Pvt Ltd,Gurgaon,FALSE,400000,900000
Field Interviewer,Hack2skill,Sonipat,TRUE,100000,200000
Blockchain Developer Intern,KiwiTech,Noida,TRUE,96000,100000
Technical Recruiter,Waterneer Biokube Technologies,Noida,FALSE,500000,700000
Business Development Manager,IBM,India,TRUE,900000,1500000
Digital Marketing,Lapits Technologies,Gurgaon,TRUE,800000,800000
Project Manager,IBM,Tiruppūr,TRUE,800000,1100000
Trainer,Zorang Technologies,Warangal,TRUE,500000,2000000
Blockchain Developer,Interwork Software Solutions Pvt.Ltd,Remote,TRUE,400000,800000
Content Manager,Sparx IT Solutions,New Delhi,TRUE,800000,1000000
Head Finance Manager,Infosys Limited,New Delhi,FALSE,400000,1500000
Full Stack Engineer,Synergy Labs,New Delhi,TRUE,500000,800000
Non Title,Zuvomo,Noida,FALSE,500000,1200000
Blockchain Developer,REGex Software Services,Bangalore,TRUE,400000,800000
Associate Blockchain Developer,LCX,Gurgaon,FALSE,500000,800000
Blockchain Developer,Varaha ClimateAg Private Limited,Nashik,TRUE,300000,300000
Blockchain Developer,IBM,Noida,FALSE,100000,100000
Blockchain Developer,Sarahna Industries Pvt. Ltd.,Alwar,TRUE,200000,300000
Test Engineer,Zuvomo,Noida,FALSE,400000,900000
Blockchain Developer,Panaesha Capital ltd. pvt,Gurgaon,TRUE,100000,200000
Business Analyst,SAVE - NGO,Noida,TRUE,96000,100000
Senior Blockchain Developer,MPACT,Noida,FALSE,500000,700000
Consultant,TeraBlock,Bangalore,FALSE,900000,1500000
Blockchain Developer Intern,CoinFantasy,Gurgaon,TRUE,800000,800000
Social Media Manager,Binance,New Delhi,TRUE,800000,1100000
Trainer,QuillHash Technologies Pvt Ltd,Remote,TRUE,500000,2000000
Business Development Associate,Sopra Steria,Gurgaon,FALSE,400000,800000
Field Interviewer,Wits Innovation Lab,Sonipat,TRUE,800000,1000000
Blockchain Developer Intern,LCX,Noida,TRUE,400000,1500000
Technical Recruiter,Sweply Technology Pvt Ltd,Noida,FALSE,500000,800000
Business Development Manager,Hack2skill,India,TRUE,500000,1200000
Digital Marketing,KiwiTech,Gurgaon,TRUE,400000,800000
Project Manager,Waterneer Biokube Technologies,Tiruppūr,TRUE,500000,800000
Trainer,IBM,Warangal,TRUE,300000,300000
Blockchain Developer,Lapits Technologies,Remote,TRUE,100000,100000
Content Manager,IBM,New Delhi,TRUE,200000,300000
Full Stack Engineer,Interwork Software Solutions Pvt.Ltd,New Delhi,TRUE,400000,900000
Non Title,Sparx IT Solutions,Noida,FALSE,100000,200000
Blockchain Developer,Infosys Limited,Bangalore,TRUE,96000,100000
Associate Blockchain Developer,Synergy Labs,Gurgaon,FALSE,500000,700000
Blockchain Developer,Zuvomo,Nashik,TRUE,900000,1500000
Blockchain Developer,REGex Software Services,Noida,FALSE,800000,800000
Blockchain Developer,LCX,Alwar,TRUE,800000,1100000
Lead Finance Manager,Varaha ClimateAg Private Limited,Gurgaon,FALSE,500000,2000000
Test Engineer,IBM,Noida,FALSE,400000,800000
Blockchain Developer,Sarahna Industries Pvt. Ltd.,Gurgaon,TRUE,800000,1000000
Business Analyst,Lapits Technologies,Noida,TRUE,400000,1500000
Senior Blockchain Developer,Zuvomo,Noida,FALSE,500000,800000
Consultant,Panaesha Capital ltd. pvt,Bangalore,FALSE,500000,1200000
Blockchain Developer Intern,SAVE - NGO,Gurgaon,TRUE,400000,800000
Social Media Manager,MPACT,New Delhi,TRUE,500000,800000
Trainer,TeraBlock,Remote,TRUE,300000,300000
Business Development Associate,CoinFantasy,Gurgaon,FALSE,100000,100000
Field Interviewer,Binance,Sonipat,TRUE,200000,300000
Technical Recruiter,Sopra Steria,Noida,FALSE,400000,900000
Business Development Manager,Wits Innovation Lab,India,TRUE,100000,200000
Digital Marketing,LCX,Gurgaon,TRUE,96000,100000
Project Manager,Sweply Technology Pvt Ltd,Tiruppūr,TRUE,500000,700000
Trainer,Hack2skill,Warangal,TRUE,900000,1500000
Blockchain Developer,KiwiTech,Remote,TRUE,800000,800000
Content Manager,Waterneer Biokube Technologies,New Delhi,TRUE,800000,1100000
Head Finance Manager,IBM,New Delhi,FALSE,500000,2000000
Full Stack Engineer,Lapits Technologies,New Delhi,TRUE,400000,800000
Non Title,IBM,Noida,FALSE,800000,1000000
Blockchain Developer,Zorang Technologies,Bangalore,TRUE,400000,1500000
Associate Blockchain Developer,Interwork Software Solutions Pvt.Ltd,Gurgaon,FALSE,500000,800000
Blockchain Developer,Sparx IT Solutions,Nashik,TRUE,500000,1200000
Blockchain Developer,Infosys Limited,Noida,FALSE,400000,800000
Blockchain Developer,Synergy Labs,Alwar,TRUE,500000,800000
Lead Finance Manager,Zuvomo,Gurgaon,FALSE,300000,300000
Test Engineer,REGex Software Services,Noida,FALSE,100000,100000
Blockchain Developer,LCX,Gurgaon,TRUE,200000,300000
Senior Blockchain Developer,IBM,Noida,FALSE,400000,900000
Consultant,Sarahna Industries Pvt. Ltd.,Bangalore,FALSE,100000,200000
Senior Consultant,Lapits Technologies,Bangalore,FALSE,96000,100000
Blockchain Developer Intern,Zuvomo,Gurgaon,TRUE,500000,700000
Social Media Manager,Panaesha Capital ltd. pvt,New Delhi,TRUE,900000,1500000
Trainer,SAVE - NGO,Remote,TRUE,800000,800000
Business Development Associate,MPACT,Gurgaon,FALSE,800000,1100000
Field Interviewer,TeraBlock,Sonipat,TRUE,500000,2000000
Blockchain Developer Intern,CoinFantasy,Noida,TRUE,400000,800000
Technical Recruiter,Binance,Noida,FALSE,800000,1000000
Business Development Manager,QuillHash Technologies Pvt Ltd,India,TRUE,400000,1500000
Digital Marketing,Sopra Steria,Gurgaon,TRUE,500000,800000
Project Manager,Wits Innovation Lab,Tiruppūr,TRUE,500000,1200000
Trainer,LCX,Warangal,TRUE,400000,800000
Blockchain Developer,Sweply Technology Pvt Ltd,Remote,TRUE,500000,800000
Content Manager,Hack2skill,New Delhi,TRUE,300000,300000
Head Finance Manager,KiwiTech,New Delhi,FALSE,100000,100000
Full Stack Engineer,Waterneer Biokube Technologies,New Delhi,TRUE,200000,300000
Blockchain Developer,Lapits Technologies,Bangalore,TRUE,400000,900000
Associate Blockchain Developer,IBM,Gurgaon,FALSE,100000,200000
Blockchain Developer,Zorang Technologies,Nashik,TRUE,96000,100000
Blockchain Developer,Interwork Software Solutions Pvt.Ltd,Noida,FALSE,500000,700000
Blockchain Developer,Sparx IT Solutions,Alwar,TRUE,900000,1500000
Lead Finance Manager,Infosys Limited,Gurgaon,FALSE,800000,800000
Test Engineer,Infosys Limited,Noida,FALSE,800000,1100000
Blockchain Developer,Synergy Labs,Gurgaon,TRUE,500000,2000000
Consultant,REGex Software Services,Bangalore,FALSE,800000,1000000
Senior Consultant,LCX,Bangalore,FALSE,400000,1500000
Blockchain Developer Intern,Varaha ClimateAg Private Limited,Gurgaon,TRUE,500000,800000
Social Media Manager,IBM,New Delhi,TRUE,500000,1200000
Trainer,Sarahna Industries Pvt. Ltd.,Remote,TRUE,400000,800000
Business Development Associate,Lapits Technologies,Gurgaon,FALSE,500000,800000
Field Interviewer,Zuvomo,Sonipat,TRUE,300000,300000
Blockchain Developer Intern,Panaesha Capital ltd. pvt,Noida,TRUE,100000,100000
Technical Recruiter,SAVE - NGO,Noida,FALSE,200000,300000
Digital Marketing,TeraBlock,Gurgaon,TRUE,400000,900000
Project Manager,CoinFantasy,Tiruppūr,TRUE,100000,200000
Trainer,Binance,Warangal,TRUE,96000,100000
Blockchain Developer,QuillHash Technologies Pvt Ltd,Remote,TRUE,500000,700000
Content Manager,Sopra Steria,New Delhi,TRUE,900000,1500000
Head Finance Manager,Wits Innovation Lab,New Delhi,FALSE,800000,800000
Full Stack Engineer,LCX,New Delhi,TRUE,800000,1100000
Non Title,Sweply Technology Pvt Ltd,Noida,FALSE,500000,2000000
Blockchain Developer,Hack2skill,Bangalore,TRUE,400000,800000
Associate Blockchain Developer,KiwiTech,Gurgaon,FALSE,800000,1000000
Blockchain Developer,Waterneer Biokube Technologies,Nashik,TRUE,400000,1500000
Blockchain Developer,IBM,Noida,FALSE,500000,800000
Blockchain Developer,Lapits Technologies,Alwar,TRUE,500000,1200000
Lead Finance Manager,IBM,Gurgaon,FALSE,400000,800000
Test Engineer,Zorang Technologies,Noida,FALSE,500000,800000
Blockchain Developer,Interwork Software Solutions Pvt.Ltd,Gurgaon,TRUE,300000,300000
Business Analyst,Infosys Limited,Noida,TRUE,100000,100000
Consultant,Infosys Limited,Bangalore,FALSE,200000,300000
Blockchain Developer Intern,Zuvomo,Gurgaon,TRUE,400000,900000
Social Media Manager,REGex Software Services,New Delhi,TRUE,100000,200000
Trainer,LCX,Remote,TRUE,96000,100000
Business Development Associate,Varaha ClimateAg Private Limited,Gurgaon,FALSE,500000,700000
Field Interviewer,IBM,Sonipat,TRUE,900000,1500000
Blockchain Developer Intern,Sarahna Industries Pvt. Ltd.,Noida,TRUE,800000,800000
Technical Recruiter,Lapits Technologies,Noida,FALSE,800000,1100000
Business Development Manager,Zuvomo,India,TRUE,500000,2000000
Digital Marketing,Panaesha Capital ltd. pvt,Gurgaon,TRUE,400000,800000
Project Manager,SAVE - NGO,Tiruppūr,TRUE,800000,1000000
Trainer,MPACT,Warangal,TRUE,400000,1500000
Blockchain Developer,TeraBlock,Remote,TRUE,500000,800000
Content Manager,CoinFantasy,New Delhi,TRUE,500000,1200000
Head Finance Manager,Binance,New Delhi,FALSE,400000,800000
Full Stack Engineer,QuillHash Technologies Pvt Ltd,New Delhi,TRUE,500000,800000
Non Title,Sopra Steria,Noida,FALSE,300000,300000
Blockchain Developer,Wits Innovation Lab,Bangalore,TRUE,100000,100000
Associate Blockchain Developer,LCX,Gurgaon,FALSE,200000,300000
Blockchain Developer,Hack2skill,Noida,FALSE,400000,900000
Blockchain Developer,KiwiTech,Alwar,TRUE,100000,200000
Lead Finance Manager,Waterneer Biokube Technologies,Gurgaon,FALSE,96000,100000
Test Engineer,IBM,Noida,FALSE,500000,700000
Blockchain Developer,Lapits Technologies,Gurgaon,TRUE,900000,1500000
Business Analyst,IBM,Noida,TRUE,800000,800000
Consultant,Zorang Technologies,Bangalore,FALSE,800000,1100000
Senior Consultant,Interwork Software Solutions Pvt.Ltd,Bangalore,FALSE,500000,2000000
Blockchain Developer Intern,Infosys Limited,Gurgaon,TRUE,400000,800000
Social Media Manager,Infosys Limited,New Delhi,TRUE,800000,1000000
Trainer,Synergy Labs,Remote,TRUE,400000,1500000
Business Development Associate,Zuvomo,Gurgaon,FALSE,500000,800000
Field Interviewer,REGex Software Services,Sonipat,TRUE,500000,1200000
Blockchain Developer Intern,LCX,Noida,TRUE,400000,800000
Technical Recruiter,Varaha ClimateAg Private Limited,Noida,FALSE,500000,800000
Business Development Manager,IBM,India,TRUE,300000,300000
Digital Marketing,Sarahna Industries Pvt. Ltd.,Gurgaon,TRUE,100000,100000
Project Manager,Lapits Technologies,Tiruppūr,TRUE,200000,300000
Trainer,Zuvomo,Warangal,TRUE,400000,900000
Blockchain Developer,Panaesha Capital ltd. pvt,Remote,TRUE,100000,200000
Head Finance Manager,MPACT,New Delhi,FALSE,900000,1500000
Full Stack Engineer,TeraBlock,New Delhi,TRUE,96000,100000
Non Title,CoinFantasy,Noida,FALSE,800000,1100000
Blockchain Developer,Binance,Bangalore,TRUE,500000,800000
Associate Blockchain Developer,QuillHash Technologies Pvt Ltd,Gurgaon,FALSE,500000,2000000
Blockchain Developer,Sopra Steria,Nashik,TRUE,500000,800000
Blockchain Developer,Wits Innovation Lab,Noida,FALSE,500000,1200000
Blockchain Developer,LCX,Alwar,TRUE,400000,1500000
Lead Finance Manager,Sweply Technology Pvt Ltd,Gurgaon,FALSE,400000,800000
Test Engineer,Hack2skill,Noida,FALSE,500000,700000
Blockchain Developer,KiwiTech,Gurgaon,TRUE,800000,1000000
Business Analyst,Waterneer Biokube Technologies,Noida,TRUE,800000,800000
Consultant,IBM,Bangalore,FALSE,400000,800000
Senior Consultant,Lapits Technologies,Bangalore,FALSE,300000,300000
Blockchain Developer Intern,IBM,Gurgaon,TRUE,1200000,1200000
Social Media Manager,Zorang Technologies,New Delhi,TRUE,100000,100000
Trainer,Interwork Software Solutions Pvt.Ltd,Remote,TRUE,200000,300000
Business Development Associate,Infosys Limited,Gurgaon,FALSE,400000,900000
Field Interviewer,Infosys Limited,Sonipat,TRUE,100000,200000
Technical Recruiter,Zuvomo,Noida,FALSE,900000,1500000
Business Development Manager,REGex Software Services,India,TRUE,96000,100000
Digital Marketing,LCX,Gurgaon,TRUE,800000,1100000
