CCA3,Continent,Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,
BRA,South America,Brazil,"215,313,498","213,196,304","205,188,205","196,353,492","175,873,720","150,706,446","122,288,383","96,369,875","8,515,767",25 km²,100%,270.0%,
VGB,North America,British Virgin Islands,"31,305","30,910","29,366","27,556","20,104","15,617","11,109","9,581",151,207 km²,101%,0.0%,
BRN,Asia,Brunei,"449,002","441,725","421,437","396,053","333,926","261,928","187,921","133,343","5,765",78 km²,101%,1.0%,
BGR,Europe,Bulgaria,"6,781,953","6,979,175","7,309,253","7,592,273","8,097,691","8,767,778","8,980,606","8,582,950","110,879",61 km²,98%,9.0%,
BFA,Africa,Burkina Faso,"22,673,762","21,522,626","18,718,019","16,116,845","11,882,888","9,131,361","6,932,967","5,611,666","272,967",83 km²,103%,28.0%,
BDI,Africa,Burundi,"12,889,576","12,220,227","10,727,148","9,126,605","6,307,659","5,483,793","4,312,834","3,497,834","27,834",463 km²,103%,16.0%,
KHM,Asia,Cambodia,"16,767,842","16,396,860","15,417,523","14,363,532","12,118,841","8,910,808","6,198,959","6,708,525","181,035",93 km²,101%,21.0%,
CMR,Africa,Cameroon,"27,914,536","26,491,087","23,012,646","19,878,036","15,091,594","11,430,520","8,519,891","6,452,787","475,442",59 km²,103%,35.0%,
CAN,North America,Canada,"38,454,327","37,888,705","35,732,126","33,963,412","30,683,313","27,657,204","24,511,510","21,434,577","9,984,670",4 km²,101%,48.0%,
CPV,Africa,Cape Verde,"593,149","582,640","552,166","521,212","458,251","364,563","317,234","287,262","4,033",147 km²,101%,1.0%,
CYM,North America,Cayman Islands,"68,706","67,311","60,911","54,074","39,658","26,027","17,100","10,533",264,260 km²,101%,0.0%,
CAF,Africa,Central African Republic,"5,579,144","5,343,020","4,819,333","4,660,067","3,759,170","2,809,221","2,415,276","2,067,356","622,984",9 km²,102%,7.0%,
TCD,Africa,Chad,"17,723,315","16,644,701","14,140,274","11,894,727","8,259,137","5,827,069","4,408,230","3,667,394","1,284,000",14 km²,103%,22.0%,
CHL,South America,Chile,"19,603,733","19,300,315","17,870,124","17,004,162","15,351,799","13,342,868","11,469,828","9,820,481","756,102",26 km²,101%,25.0%,
CHN,Asia,China,"1,425,887,337","1,424,929,781","1,393,715,448","1,348,191,368","1,264,099,069","1,153,704,252","982,372,466","822,534,450","9,706,961",147 km²,100%,1788.0%,
COL,South America,Colombia,"51,874,024","50,930,662","47,119,728","44,816,108","39,215,135","32,601,393","26,176,195","20,905,254","1,141,748",45 km²,101%,65.0%,
COM,Africa,Comoros,"836,774","806,166","730,216","656,024","536,758","431,119","328,328","242,351","1,862",449 km²,102%,1.0%,
COK,Oceania,Cook Islands,"17,011","17,029","17,695","17,212","15,897","17,123","17,651","20,470",236,72 km²,100%,0.0%,
CRI,North America,Costa Rica,"5,180,829","5,123,105","4,895,242","4,622,252","3,979,193","3,158,253","2,414,303","1,855,697","51,100",101 km²,101%,6.0%,
HRV,Europe,Croatia,"4,030,358","4,096,868","4,254,815","4,368,682","4,548,434","4,873,707","4,680,144","4,492,638","56,594",71 km²,99%,5.0%,
CUB,North America,Cuba,"11,212,191","11,300,698","11,339,894","11,290,417","11,105,791","10,626,680","9,809,107","8,869,636","109,884",102 km²,100%,14.0%,
CUW,North America,Curacao,"191,163","189,288","169,572","159,380","141,424","155,446","156,851","150,385",444,431 km²,100%,0.0%,
CYP,Europe,Cyprus,"1,251,488","1,237,537","1,187,280","1,129,686","948,237","788,500","679,327","640,804","9,251",135 km²,101%,2.0%,
CZE,Europe,Czech Republic,"10,493,986","10,530,953","10,523,798","10,464,749","10,234,710","10,301,192","10,270,060","9,795,744","78,865",133 km²,100%,13.0%,
DNK,Europe,Denmark,"5,882,261","5,825,641","5,677,796","5,550,849","5,340,655","5,144,623","5,125,392","4,922,963","43,094",136 km²,100%,7.0%,
DJI,Africa,Djibouti,"1,120,849","1,090,156","1,006,259","919,199","742,033","577,173","324,121","144,379","23,200",48 km²,101%,1.0%,
DMA,North America,Dominica,"72,737","71,995","70,007","68,755","68,346","69,481","72,978","68,895",751,97 km²,100%,0.0%,
DOM,North America,Dominican Republic,"11,228,821","10,999,664","10,405,832","9,775,755","8,540,791","7,129,004","5,755,800","4,475,871","48,671",231 km²,101%,14.0%,
COD,Africa,DR Congo,"99,010,212","92,853,164","78,656,904","66,391,257","48,616,317","35,987,541","26,708,686","20,151,733","2,344,858",42 km²,103%,124.0%,
ECU,South America,Ecuador,"18,001,000","17,588,595","16,195,902","14,989,585","12,626,507","10,449,837","8,135,845","6,172,215","276,841",65 km²,101%,23.0%,
EGY,Africa,Egypt,"110,990,103","107,465,134","97,723,799","87,252,413","71,371,371","57,214,630","43,748,556","34,781,986","1,002,450",111 km²,102%,139.0%,
SLV,North America,El Salvador,"6,336,392","6,292,731","6,231,066","6,114,034","5,958,482","5,367,179","4,508,992","3,619,090","21,041",301 km²,100%,8.0%,
GNQ,Africa,Equatorial Guinea,"1,674,908","1,596,049","1,346,973","1,094,524","684,977","465,549","282,509","316,955","28,051",60 km²,102%,2.0%,
ERI,Africa,Eritrea,"3,684,032","3,555,868","3,340,006","3,147,727","2,392,880","2,149,960","1,657,982","1,272,748","117,600",31 km²,102%,5.0%,
EST,Europe,Estonia,"1,326,062","1,329,444","1,314,657","1,331,535","1,396,877","1,570,674","1,476,983","1,361,999","45,227",29 km²,100%,2.0%,
SWZ,Africa,Eswatini,"1,201,670","1,180,655","1,133,936","1,099,920","1,030,496","854,011","598,564","442,865","17,364",69 km²,101%,2.0%,
ETH,Africa,Ethiopia,"123,379,924","117,190,911","102,471,895","89,237,791","67,031,867","47,878,073","34,945,469","28,308,246","1,104,300",112 km²,103%,155.0%,
FLK,South America,Falkland Islands,"3,780","3,747","3,408","3,187","3,080","2,332","2,240","2,274","12,173",0 km²,100%,0.0%,
FRO,Europe,Faroe Islands,"53,090","52,415","48,816","48,410","45,660","47,479","43,054","38,416","1,393",38 km²,100%,0.0%,
FJI,Oceania,Fiji,"929,766","920,422","917,200","905,169","832,509","780,430","644,582","527,634","18,272",51 km²,101%,1.0%,
FIN,Europe,Finland,"5,540,745","5,529,468","5,479,461","5,363,271","5,176,209","4,986,545","4,779,418","4,606,621","338,424",16 km²,100%,7.0%,
FRA,Europe,France,"64,626,628","64,480,053","63,809,769","62,444,567","58,665,453","56,412,897","53,713,830","50,523,586","551,695",117 km²,100%,81.0%,
GUF,South America,French Guiana,"304,557","290,969","257,026","228,453","164,351","113,931","66,825","46,484","83,534",4 km²,102%,0.0%,
PYF,Oceania,French Polynesia,"306,279","301,920","291,787","283,788","250,927","211,089","163,591","117,891","4,167",74 km²,101%,0.0%,
GAB,Africa,Gabon,"2,388,992","2,292,573","2,028,517","1,711,105","1,272,935","983,028","749,078","597,192","267,668",9 km²,102%,3.0%,
GMB,Africa,Gambia,"2,705,992","2,573,995","2,253,133","1,937,275","1,437,539","1,040,616","718,586","528,731","10,689",253 km²,103%,3.0%,
GEO,Asia,Georgia,"3,744,385","3,765,912","3,771,132","3,836,831","4,265,172","5,391,636","5,145,843","4,800,426","69,700",54 km²,100%,5.0%,
DEU,Europe,Germany,"83,369,843","83,328,988","82,073,226","81,325,090","81,551,677","79,370,196","77,786,703","78,294,583","357,114",233 km²,100%,105.0%,
GHA,Africa,Ghana,"33,475,870","32,180,401","28,870,939","25,574,719","19,665,502","15,446,982","11,865,246","8,861,895","238,533",140 km²,102%,42.0%,
GIB,Europe,Gibraltar,"32,649","32,709","32,520","31,262","27,741","27,317","28,734","26,685",6,"5,442 km²",100%,0.0%,
GRC,Europe,Greece,"10,384,971","10,512,232","10,806,641","11,033,783","11,038,109","10,302,255","9,307,148","8,544,873","131,990",79 km²,99%,13.0%,
GRL,North America,Greenland,"56,466","56,026","55,895","56,351","56,184","55,599","50,106","45,434","2,166,086",0 km²,100%,0.0%,
GRD,North America,Grenada,"125,438","123,663","118,980","114,039","107,432","99,047","94,838","98,794",344,365 km²,101%,0.0%,
GLP,North America,Guadeloupe,"395,752","395,642","399,089","403,072","424,067","391,951","334,234","318,310","1,628",243 km²,100%,0.0%,
GUM,Oceania,Guam,"171,774","169,231","167,978","164,905","160,188","138,263","110,286","88,300",549,313 km²,101%,0.0%,
GTM,North America,Guatemala,"17,843,908","17,362,718","16,001,107","14,543,121","11,735,894","9,084,780","6,987,767","5,453,208","108,889",164 km²,101%,22.0%,
GGY,Europe,Guernsey,"63,301","62,794","61,629","60,782","59,114","57,727","52,860","52,656",78,812 km²,100%,0.0%,
GIN,Africa,Guinea,"13,859,341","13,205,153","11,625,998","10,270,728","8,336,967","6,354,145","4,972,609","4,222,374","245,857",56 km²,102%,17.0%,
GNB,Africa,Guinea-Bissau,"2,105,566","2,015,828","1,788,919","1,567,220","1,230,849","973,551","831,462","591,663","36,125",58 km²,102%,3.0%,
GUY,South America,Guyana,"808,726","797,202","755,031","747,932","759,051","747,116","778,176","705,261","214,969",4 km²,101%,1.0%,
HTI,North America,Haiti,"11,584,996","11,306,801","10,563,757","9,842,880","8,360,225","6,925,331","5,646,676","4,680,812","27,750",417 km²,101%,15.0%,
HND,North America,Honduras,"10,432,860","10,121,763","9,294,505","8,450,933","6,656,725","5,053,234","3,777,990","2,782,753","112,492",93 km²,102%,13.0%,
HKG,Asia,Hong Kong,"7,488,865","7,500,958","7,399,838","7,132,438","6,731,195","5,838,574","4,978,544","3,955,072","1,104","6,783 km²",100%,9.0%,
HUN,Europe,Hungary,"9,967,308","9,750,573","9,844,246","9,986,825","10,202,055","10,375,989","10,698,679","10,315,366","93,028",107 km²,103%,12.0%,
ISL,Europe,Iceland,"372,899","366,669","331,060","318,333","281,462","255,019","228,263","204,468","103,000",4 km²,101%,0.0%,
IND,Asia,India,"1,417,173,173","1,396,387,127","1,322,866,505","1,240,613,620","1,059,633,675","870,452,165","696,828,385","557,501,301","3,287,590",431 km²,101%,1777.0%,
IDN,Asia,Indonesia,"275,501,339","271,857,970","259,091,970","244,016,173","214,072,421","182,159,874","148,177,096","115,228,394","1,904,569",145 km²,101%,345.0%,
IRN,Asia,Iran,"88,550,570","87,290,193","81,790,841","75,373,855","65,544,383","55,793,629","38,520,664","28,449,705","1,648,195",54 km²,101%,111.0%,
IRQ,Asia,Iraq,"44,496,122","42,556,984","37,757,813","31,264,875","24,628,858","17,658,381","13,653,369","9,811,347","438,317",102 km²,102%,56.0%,
IRL,Europe,Ireland,"5,023,109","4,946,119","4,665,760","4,524,585","3,768,950","3,485,374","3,391,387","2,937,637","70,273",71 km²,101%,6.0%,
IMN,Europe,Isle of Man,"84,519","84,046","83,593","83,828","75,562","68,865","64,022","55,298",572,148 km²,100%,0.0%,
ISR,Asia,Israel,"9,038,309","8,757,489","8,007,778","7,328,445","6,116,958","4,803,254","3,744,608","2,907,307","20,770",435 km²,102%,11.0%,
ITA,Europe,Italy,"59,037,474","59,500,579","60,232,906","59,822,450","56,966,397","56,756,561","56,329,482","53,324,036","301,336",196 km²,100%,74.0%,
CIV,Africa,Ivory Coast,"28,160,542","26,811,790","23,596,741","21,120,042","16,799,670","11,910,540","8,303,809","5,477,086","322,463",87 km²,102%,35.0%,
JAM,North America,Jamaica,"2,827,377","2,820,436","2,794,445","2,733,896","2,612,205","2,392,030","2,135,546","1,859,091","10,991",257 km²,100%,4.0%,
JPN,Asia,Japan,"123,951,692","125,244,761","127,250,933","128,105,431","126,803,861","123,686,321","117,624,196","105,416,839","377,930",328 km²,99%,155.0%,
JEY,Europe,Jersey,"110,778","108,319","100,561","96,151","86,192","82,874","75,124","68,347",116,955 km²,101%,0.0%,
JOR,Asia,Jordan,"11,285,869","10,928,721","9,494,246","6,931,258","5,056,174","3,480,587","2,216,903","1,557,374","89,342",126 km²,101%,14.0%,
KAZ,Asia,Kazakhstan,"19,397,998","18,979,243","17,835,909","16,627,837","15,236,253","16,866,563","14,172,710","12,265,305","2,724,900",7 km²,101%,24.0%,
KEN,Africa,Kenya,"54,027,487","51,985,780","46,851,488","41,517,895","30,851,606","23,162,269","16,187,124","11,473,087","580,367",93 km²,102%,68.0%,
KIR,Oceania,Kiribati,"131,232","126,463","116,707","107,995","88,826","75,124","60,813","57,437",811,162 km²,102%,0.0%,
KWT,Asia,Kuwait,"4,268,873","4,360,444","3,908,743","2,943,356","1,934,901","1,674,938","1,493,870","802,786","17,818",240 km²,100%,5.0%,
KGZ,Asia,Kyrgyzstan,"6,630,623","6,424,874","5,914,980","5,483,774","4,935,182","4,394,734","3,691,209","3,016,384","199,951",33 km²,102%,8.0%,
LAO,Asia,Laos,"7,529,475","7,319,399","6,787,419","6,323,418","5,430,853","4,314,443","3,297,519","2,675,283","236,800",32 km²,101%,9.0%,
LVA,Europe,Latvia,"1,850,651","1,897,052","1,991,955","2,101,530","2,392,530","2,689,391","2,572,037","2,397,414","64,559",29 km²,99%,2.0%,
LBN,Asia,Lebanon,"5,489,739","5,662,923","6,398,940","4,995,800","4,320,642","3,593,700","2,963,702","2,381,791","10,452",525 km²,98%,7.0%,
LSO,Africa,Lesotho,"2,305,825","2,254,100","2,118,521","2,022,747","1,998,630","1,798,997","1,407,672","1,023,481","30,355",76 km²,101%,3.0%,
LBR,Africa,Liberia,"5,302,681","5,087,584","4,612,329","4,019,956","2,895,224","2,209,731","1,932,169","1,463,563","111,369",48 km²,102%,7.0%,
LBY,Africa,Libya,"6,812,341","6,653,942","6,192,235","6,491,988","5,154,790","4,236,983","2,962,720","1,909,177","1,759,540",4 km²,101%,9.0%,
LIE,Europe,Liechtenstein,"39,327","38,756","37,355","35,926","33,026","28,765","25,003","21,089",160,246 km²,101%,0.0%,
LTU,Europe,Lithuania,"2,750,055","2,820,267","2,963,765","3,139,019","3,599,637","3,785,847","3,521,206","3,210,147","65,300",42 km²,99%,3.0%,
LUX,Europe,Luxembourg,"647,599","630,399","569,408","507,070","435,628","381,267","363,741","339,342","2,586",250 km²,101%,1.0%,
MAC,Asia,Macau,"695,168","676,283","615,239","557,297","431,896","350,227","245,332","247,284",30,"23,172 km²",101%,1.0%,
MDG,Africa,Madagascar,"29,611,714","28,225,177","24,850,912","21,731,053","16,216,431","11,882,762","8,948,162","6,639,751","587,041",50 km²,102%,37.0%,
MWI,Africa,Malawi,"20,405,317","19,377,061","16,938,942","14,718,422","11,229,387","9,539,665","6,267,369","4,625,141","118,484",172 km²,103%,26.0%,
MYS,Asia,Malaysia,"33,938,221","33,199,993","31,068,833","28,717,731","22,945,150","17,517,054","13,215,707","10,306,508","330,803",103 km²,101%,43.0%,
MDV,Asia,Maldives,"523,787","514,438","435,582","361,575","282,507","224,957","164,887","123,243",300,"1,746 km²",100%,1.0%,
MLI,Africa,Mali,"22,593,590","21,224,040","18,112,907","15,529,181","11,239,101","8,945,026","7,372,581","6,153,587","1,240,192",18 km²,103%,28.0%,
MLT,Europe,Malta,"533,286","515,357","456,579","418,755","399,212","365,392","333,587","315,414",316,"1,688 km²",101%,1.0%,
MHL,Oceania,Marshall Islands,"41,569","43,413","49,410","53,416","54,224","46,047","31,988","23,969",181,230 km²,99%,0.0%,
MTQ,North America,Martinique,"367,507","370,391","383,515","392,181","432,543","374,271","333,786","326,428","1,128",326 km²,100%,0.0%,
MRT,Africa,Mauritania,"4,736,139","4,498,604","3,946,220","3,419,461","2,695,003","2,006,027","1,506,694","1,122,198","1,030,700",5 km²,103%,6.0%,
MUS,Africa,Mauritius,"1,299,469","1,297,828","1,293,153","1,283,330","1,215,930","1,090,290","954,865","830,115","2,040",637 km²,100%,2.0%,
MYT,Africa,Mayotte,"326,101","305,587","249,545","211,786","159,215","92,659","52,233","35,383",374,872 km²,103%,0.0%,
MEX,North America,Mexico,"127,504,125","125,998,302","120,149,897","112,532,401","97,873,442","81,720,428","67,705,186","50,289,306","1,964,375",65 km²,101%,160.0%,
FSM,Oceania,Micronesia,"114,164","112,106","109,462","107,588","111,709","98,603","76,299","58,989",702,163 km²,101%,0.0%,
MDA,Europe,Moldova,"3,272,996","3,084,847","3,277,388","3,678,186","4,251,573","4,480,199","4,103,240","3,711,140","33,846",97 km²,107%,4.0%,
MCO,Europe,Monaco,"36,469","36,922","36,760","33,178","32,465","30,329","27,076","24,270",2,"18,235 km²",99%,0.0%,
MNG,Asia,Mongolia,"3,398,366","3,294,335","2,964,749","2,702,520","2,450,979","2,161,433","1,697,780","1,293,880","1,564,110",2 km²,102%,4.0%,
MNE,Europe,Montenegro,"627,082","629,048","633,966","631,044","633,324","621,442","589,324","530,268","13,812",45 km²,100%,1.0%,
MSR,North America,Montserrat,"4,390","4,500","5,059","4,938","5,138","10,805","11,452","11,402",102,43 km²,99%,0.0%,
MAR,Africa,Morocco,"37,457,971","36,688,772","34,680,458","32,464,865","28,554,415","24,570,814","19,678,444","15,274,351","446,550",84 km²,101%,47.0%,
MOZ,Africa,Mozambique,"32,969,517","31,178,239","26,843,246","23,073,723","17,768,505","13,303,459","11,413,587","8,411,676","801,590",41 km²,103%,41.0%,
MMR,Asia,Myanmar,"54,179,306","53,423,198","51,483,949","49,390,988","45,538,332","40,099,553","33,465,781","27,284,112","676,578",80 km²,101%,68.0%,
NAM,Africa,Namibia,"2,567,012","2,489,098","2,282,704","2,099,271","1,819,141","1,369,011","975,994","754,467","825,615",3 km²,101%,3.0%,
NRU,Oceania,Nauru,"12,668","12,315","11,185","10,241","10,377","9,598","7,635","6,663",21,603 km²,101%,0.0%,
NPL,Asia,Nepal,"30,547,580","29,348,627","27,610,325","27,161,567","24,559,500","19,616,530","15,600,442","12,501,285","147,181",208 km²,102%,38.0%,
NLD,Europe,Netherlands,"17,564,014","17,434,557","17,041,107","16,617,116","15,899,135","14,944,548","14,130,387","13,037,686","41,850",420 km²,100%,22.0%,
NCL,Oceania,New Caledonia,"289,950","286,403","283,032","261,426","221,537","177,264","148,599","110,982","18,575",16 km²,101%,0.0%,
NZL,Oceania,New Zealand,"5,185,288","5,061,133","4,590,590","4,346,338","3,855,266","3,397,389","3,147,168","2,824,061","270,467",19 km²,101%,7.0%,
NIC,North America,Nicaragua,"6,948,392","6,755,895","6,298,598","5,855,734","5,123,222","4,227,820","3,303,309","2,444,767","130,373",53 km²,101%,9.0%,
NER,Africa,Niger,"26,207,977","24,333,639","20,128,124","16,647,543","11,622,665","8,370,647","6,173,177","4,669,708","1,267,000",21 km²,104%,33.0%,
NGA,Africa,Nigeria,"218,541,212","208,327,405","183,995,785","160,952,853","122,851,984","95,214,257","72,951,439","55,569,264","923,768",237 km²,102%,274.0%,
NIU,Oceania,Niue,"1,934","1,942","1,847","1,812","2,074","2,533","3,637","5,185",260,7 km²,100%,0.0%,
PRK,Asia,North Korea,"26,069,416","25,867,467","25,258,015","24,686,435","23,367,059","20,799,523","17,973,650","14,996,879","120,538",216 km²,100%,33.0%,
MKD,Europe,North Macedonia,"2,093,599","2,111,072","2,107,962","2,093,828","2,037,936","2,044,174","1,907,023","1,656,783","25,713",81 km²,100%,3.0%,
NFK,Oceania,Northern Mariana Islands,"49,551","49,587","51,514","54,087","80,338","48,002","17,613","10,143",464,107 km²,100%,0.0%,
NOR,Europe,Norway,"5,434,319","5,379,839","5,190,356","4,889,741","4,491,202","4,241,636","4,085,776","3,875,546","323,802",17 km²,101%,7.0%,
OMN,Asia,Oman,"4,576,298","4,543,399","4,191,776","2,881,914","2,344,253","1,804,524","1,017,462","670,693","309,500",15 km²,101%,6.0%,
PAK,Asia,Pakistan,"235,824,862","227,196,741","210,969,298","194,454,498","154,369,924","115,414,069","80,624,057","59,290,872","881,912",267 km²,102%,296.0%,
PLW,Oceania,Palau,"18,055","17,972","17,794","18,540","19,726","15,293","12,252","11,366",459,39 km²,100%,0.0%,
PSE,Asia,Palestine,"5,250,072","5,019,401","4,484,614","3,992,278","3,139,954","2,124,609","1,453,620","1,118,241","6,220",844 km²,102%,7.0%,
PAN,North America,Panama,"4,408,581","4,294,396","3,957,099","3,623,617","3,001,731","2,449,968","1,956,987","1,516,188","75,417",58 km²,101%,6.0%,
PNG,Oceania,Papua New Guinea,"10,142,619","9,749,640","8,682,174","7,583,269","5,508,297","3,864,972","3,104,788","2,489,059","462,840",22 km²,102%,13.0%,
PRY,South America,Paraguay,"6,780,744","6,618,695","6,177,950","5,768,613","5,123,819","4,059,195","3,078,912","2,408,787","406,752",17 km²,101%,9.0%,
PER,South America,Peru,"34,049,588","33,304,756","30,711,863","29,229,572","26,654,439","22,109,099","17,492,406","13,562,371","1,285,216",26 km²,101%,43.0%,
PHL,Asia,Philippines,"115,559,009","112,190,977","103,031,365","94,636,700","77,958,223","61,558,898","48,419,546","37,435,586","342,353",338 km²,101%,145.0%,
POL,Europe,Poland,"39,857,145","38,428,366","38,553,146","38,597,353","38,504,431","38,064,255","35,521,429","32,482,943","312,679",127 km²,104%,50.0%,
PRT,Europe,Portugal,"10,270,865","10,298,192","10,365,435","10,588,401","10,300,626","10,007,346","9,785,252","8,683,631","92,090",112 km²,100%,13.0%,
PRI,North America,Puerto Rico,"3,252,407","3,271,564","3,497,335","3,717,922","3,827,108","3,543,776","3,214,568","2,737,619","8,870",367 km²,100%,4.0%,
QAT,Asia,Qatar,"2,695,122","2,760,385","2,414,573","1,713,504","645,937","441,675","277,450","118,007","11,586",233 km²,100%,3.0%,
COG,Africa,Republic of the Congo,"5,970,424","5,702,174","5,064,386","4,437,884","3,134,030","2,385,435","1,829,256","1,396,989","342,000",17 km²,102%,7.0%,
REU,Africa,Reunion,"974,052","957,822","922,495","890,130","785,424","658,992","551,674","473,925","2,511",388 km²,101%,1.0%,
ROU,Europe,Romania,"19,659,267","19,442,038","19,906,079","20,335,211","21,919,876","22,836,234","22,125,224","19,922,618","238,391",82 km²,102%,25.0%,
RUS,Europe,Russia,"144,713,314","145,617,329","144,668,389","143,242,599","146,844,839","148,005,704","138,257,420","130,093,010","17,098,242",8 km²,100%,181.0%,
RWA,Africa,Rwanda,"13,776,698","13,146,362","11,642,959","10,309,031","8,109,989","7,319,962","5,247,532","3,896,367","26,338",523 km²,102%,17.0%,
BLM,North America,Saint Barthelemy,"10,967","10,681","9,643","8,988","7,082","5,168","2,983","2,417",21,522 km²,101%,0.0%,
KNA,North America,Saint Kitts and Nevis,"47,657","47,642","47,790","47,403","45,461","40,636","43,097","44,968",261,183 km²,100%,0.0%,
LCA,North America,Saint Lucia,"179,857","179,237","175,623","170,935","159,500","142,301","121,633","103,090",616,292 km²,100%,0.0%,
MAF,North America,Saint Martin,"31,791","32,552","35,020","36,458","29,610","28,127","7,776","5,802",53,600 km²,100%,0.0%,
SXM,North America,Saint Martin,"44,175","43,621","40,205","33,034","30,489","27,845","12,243","6,260",34,"1,299 km²",100%,0.0%,
SPM,North America,Saint Pierre and Miquelon,"5,862","5,906","5,978","6,052","6,274","6,324","6,106","5,537",242,24 km²,100%,0.0%,
VCT,North America,Saint Vincent and the Grenadines,"103,948","104,632","106,482","109,308","113,813","112,487","107,480","98,459",389,267 km²,100%,0.0%,
WSM,Oceania,Samoa,"222,382","214,929","203,571","194,672","184,008","168,186","164,905","142,771","2,842",78 km²,102%,0.0%,
SMR,Europe,San Marino,"33,660","34,007","33,570","31,608","26,823","23,132","21,346","18,169",61,552 km²,100%,0.0%,
STP,Africa,Sao Tome and Principe,"227,380","218,641","201,124","182,138","143,714","120,343","97,210","77,583",964,236 km²,102%,0.0%,
SAU,Asia,Saudi Arabia,"36,408,820","35,997,107","32,749,848","29,411,929","21,547,390","16,004,763","10,171,710","6,106,191","2,149,690",17 km²,101%,46.0%,
