Comment,Anonymized Author,Published At,Likes,Reply Count
"I can’t take this pain anymore, but I’m strong!",3486c93f79b0bdd7bb7ff1e723683308,2023-12-06T21:09:49Z,1,0
6.1 mr !!!!,4bd5f3cd5abd0fe7a9a207ba7227d0c5,2023-12-06T20:05:58Z,0,0
Fim de 2023,1286f4614a0c385d16af5f6d1f15963b,2023-12-06T19:51:36Z,0,0
This song gets daily viewers ❤,8dbfa41200ee43ed838c1cf3ba6df1f7,2023-12-06T19:44:54Z,0,0
"""This song never gets old... """,8dbfa41200ee43ed838c1cf3ba6df1f7,2023-12-06T19:42:34Z,1,0
https://youtube.com/shorts/zzZicwsdpcM?si=FketU1--wXh7-f6R,6912bcae777bb3bc5cecb4bcf3cc82c6,2023-12-06T19:35:43Z,0,0
"Edd $hearen - shape of you ft. Lil wayne , young thug -official music video",41b1e9af852754ea7534a5399cfa5829,2023-12-06T19:25:14Z,0,0
"Still listening..,😊",b9adf43d35e4c4f342b6a8b8a3b8f09c,2023-12-06T19:15:05Z,0,0
I love dis song ❤,b70ac2fa8aabccf8ff3b2e32665b0661,2023-12-06T18:49:19Z,1,0
6 years after…,87303f0d64d8d4e0eecf21750950516d,2023-12-06T18:49:13Z,0,0
2024 to check views,f400b304e1a44ce1c8f145b0a1be7874,2023-12-06T18:37:42Z,0,0
is there anyone in 2024?🌍,3bc981f44acaacbe784981e5e9a8c097,2023-12-06T18:36:40Z,2,1
I want 1000 pounds for my daughter’s medication bills. 😢,b7dc66f532e8e31d17c0241e82121f8e,2023-12-06T17:49:46Z,0,1
🙋🙋🙋,d79d057242524125473532ab479a7675,2023-12-06T17:49:12Z,0,0
❤❤❤❤❤❤❤❤❤❤,09bac651f642a2a15d53fd17a5c5a6ad,2023-12-06T17:45:33Z,0,0
It's been 6 years of Memories that doesn't fade...,2331210274cd0d0c65fb4a58e6f26e63,2023-12-06T17:41:01Z,3,0
बढ़िया कुश्ती वाला गेम,5b94049eccdfeadb39fadd9d2c03efce,2023-12-06T17:24:44Z,0,0
かっこいい声羨まし,3086e17575f1e5683bd37b1258b78946,2023-12-06T17:02:46Z,1,0
"You look a superheroe, those real not the Marvel shit. thank you",17a2d7334ffe0a7b5c968858aaec9eb9,2023-12-06T16:59:57Z,1,0
6 years,5bd83ee625992824346c449c8af6e086,2023-12-06T16:57:39Z,0,0
This song will age like a wine. It gets better as it gets older.,6b5fd0c7fa645952adf79990d9bf2e38,2023-12-06T16:12:16Z,2,0
6 years ago i loved this song now the same time never changes love i guess !❤❤❤,9a95d89194a89ab80eaadddd04610d12,2023-12-06T16:10:28Z,0,0
Anybody 😂 in 2023,724a80a2d7c3959e44752fd12811c50e,2023-12-06T16:06:59Z,3,0
Nailed it... 🔥,6b5fd0c7fa645952adf79990d9bf2e38,2023-12-06T16:06:05Z,0,0
Old but gold,6b5fd0c7fa645952adf79990d9bf2e38,2023-12-06T16:05:37Z,0,0
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,9c1f5d19ec25312caea969901b7eff5f,2023-12-06T15:31:18Z,0,0
"""Wow"" What An Amazing Song 
Ed Sheeran You Gem❤",e5d327c7be1060de691926398b76e4b1,2023-12-06T15:28:16Z,0,0
The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Warr Is Only Won With Love” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕,74d4bdae74f64e408fce5d80bb58e5cb,2023-12-06T15:26:35Z,1,0
Pra Mim essa e a Segunda Melhor Música Inglês de Todas ❤🎶🥈 *Authentic views*  Dawt Cawm have elevated him to a prominent position in the community.,9c42b7e95e5eb025b0027ce2e8eec6ba,2023-12-06T15:18:18Z,2,0
Who is seeing this in 6 dec 2023 who are legend let's see,bbe4d6f5fb24cd9354b2da2430ad8ae1,2023-12-06T15:17:34Z,0,0
Lets see who is from 7 December 2023,fa8b1f08fa347514f0e2210bea4e9ae4,2023-12-06T15:03:27Z,2,0
Halo im back,fcc455d902c5e5ec3cc30fea14893dae,2023-12-06T14:53:56Z,2,0
I am listening now in 2023. I never know that  song is the best.,cce4d17a4cb756be62eec8de9e82e653,2023-12-06T14:38:15Z,1,0
Man i remembering listening to this song in 2018,7dcbba37015b59ebeec726532bc5b5bc,2023-12-06T14:33:56Z,1,0
Helo,2dc867c29b35a9b90c239365a4b31929,2023-12-06T14:23:40Z,0,0
Its me,1636a0c423424dc88e0e253712f00075,2023-12-06T14:10:23Z,0,0
I LOVE THIS SONG,0da644f8770a4a87f1188d17fb2d224c,2023-12-06T14:05:40Z,0,0
she really did a Dynamic Entry,656598f2ca4cfbee9cb9e3b09fec2cb5,2023-12-06T13:42:26Z,0,0
Yes I see,ff96bf51b4c1961f8315cad3eea3f4d9,2023-12-06T13:32:05Z,0,0
"December 2023 Anyone?❤

 👇",1a2001b254fc54c2e2d4c71a0eb66969,2023-12-06T13:29:46Z,2,0
2024 anyone?,8a944f3986f34a7c723c6458a504161b,2023-12-06T13:27:40Z,2,0
굿,94d35efd3dc1c0c182029788f541c2eb,2023-12-06T13:15:30Z,0,0
Hi every body 😂😂😂😂,8fc59481c2dbd42e746125e19568e5a2,2023-12-06T13:09:43Z,1,0
Real Madrid 💫🔥,dd5127ef53d072f6ff3b8fa3736725c1,2023-12-06T13:06:19Z,0,0
Never tire of listening to it-Merry Christmas,8a45ebd1057973561e9a22e36765fb0d,2023-12-06T12:57:24Z,0,0
06 /12/2023,91302e712b63e72cb7429d7419c54b1f,2023-12-06T12:56:04Z,0,0
❤❤❤,91302e712b63e72cb7429d7419c54b1f,2023-12-06T12:51:29Z,0,0
Here on 6th December 2023 it still my favorite,cc96588d772a95830dd83d8ee1c16bac,2023-12-06T12:35:37Z,0,0
"Hello, is anyone still here?",cee59e905c6341fccd13b728f5fe2dc4,2023-12-06T12:31:19Z,0,0
Brother its 20023 december 6😮❤,76b2c286a965c6186fcb8cdb564b5a31,2023-12-06T12:25:37Z,0,0
Love you 3001,9c345e0764724e09ce0943bff3568857,2023-12-06T12:20:39Z,0,0
https://youtu.be/p2QzqC_PykU?si=q6LQ5cOGyerfXGCE,3f72c9ef8af622c03583d0fa0c5e1d95,2023-12-06T11:36:08Z,0,0
"Anyone here in dec? 
Im here on 6dec 2023",deaee1bf91b6372070d4e2b98fd8fa7d,2023-12-06T11:25:41Z,2,0
"Are you agree,Music is the soul can be heard by universe...",8e356680b15f0c95e1c48d1d6cdb4aae,2023-12-06T11:11:36Z,1,0
कोन कोन india se hai,9604dea5a81b671382b5acec3735aa7e,2023-12-06T10:18:23Z,0,0
Who's back here after loving Ed and Adele on 7 tv 🎉 Merry Christmas all 🙏🏼,7a36d450a48b159c5c6b8185c69b184f,2023-12-06T10:08:03Z,0,0
Master 1,d0fc85cdf1654d55fc06a9358bbb1500,2023-12-06T09:44:25Z,2,1
It's Wednesday 6th December,ea2e483e1011c20e21f4a51ab58efa1f,2023-12-06T09:28:35Z,2,0
2024😂😢😮😅😊😊,78ab50d9e7adcef8f3175d48ec8e037a,2023-12-06T09:27:45Z,2,0
6 years but this music everyday   hits,1a565ba5a53de73dc2d641b0ae060efe,2023-12-06T09:26:20Z,2,0
"6 dec 2023 after a  year here again,any one",123b8b752daffd87b0f7929210370551,2023-12-06T09:17:36Z,3,0
Listening to this song is like taking a musical vacation for my mind.💕💕,56aee2d887f19b64a0cfc11b33780e57,2023-12-06T09:12:29Z,0,0
❤,e973f1bff8fff13c866ac07588937179,2023-12-06T09:10:27Z,0,0
❤,e973f1bff8fff13c866ac07588937179,2023-12-06T09:10:10Z,0,0
December 2023 anyone 🙋,cf445a2a50c26a5a085bcc12fd8d267a,2023-12-06T08:20:54Z,2,2
Thai  06/12/2023,08fee563f92c48eaebef6cbcd520e470,2023-12-06T08:09:26Z,0,0
Its 2023 december 5,a2c88078f12917b5ea5c8edc2745a76a,2023-12-06T08:06:13Z,0,0
Iine ❤,7f858badecdd9c9b2e9f0816dff1dd6a,2023-12-06T07:45:15Z,0,0
いい曲,50e3488f0365580eef9432c5a4815eb2,2023-12-06T07:22:28Z,1,0
Thi song still hits different,3ead9d9c029fdec8cfa63c517d2cbb71,2023-12-06T06:38:27Z,1,0
TREMENDOOOO,caa980c92898bfaf079c44f33eeeae9f,2023-12-06T06:32:12Z,0,0
Who is watching 2023 last,a20ced8a0ae6347d79a74c39ec8170ad,2023-12-06T06:06:09Z,0,0
Damn 32M likes,431e54a48aeee5461d6e1b1dd88102f9,2023-12-06T05:52:35Z,0,0
De❤🎉,84313985a9c21dc9b7d0630f6ced0c29,2023-12-06T04:16:43Z,1,0
❤❤❤,8ab21de5686d96daec0460ba84f78bf9,2023-12-06T03:46:16Z,0,0
Today Dec 6,777890017859b3f873d7e1681a2d6a8b,2023-12-06T03:36:23Z,0,1
"We don’t search for old songs..
we search for old memories.",138ee7703ad4d9c4a14c260589d73ca5,2023-12-06T03:01:15Z,0,0
"No matter how many years pass, this song will stay in our hearts forever",138ee7703ad4d9c4a14c260589d73ca5,2023-12-06T03:01:07Z,22,0
“It's December 2023 Lets see how many legends are listening to this masterpiece. By far one of the most popular songs ever even after 6 years.”,138ee7703ad4d9c4a14c260589d73ca5,2023-12-06T03:00:59Z,0,0
Forestella's cover is better,b373e4572213f40149c218665841f81f,2023-12-06T01:54:51Z,2,0
Yo,b8695334fdf2ad4335004f17c870e802,2023-12-06T01:24:20Z,1,0
From this song,4b52e086e80e7328b121e88c40cbb8ff,2023-12-06T01:19:59Z,0,0
Thank you Ed Sheeran,4b52e086e80e7328b121e88c40cbb8ff,2023-12-06T01:19:46Z,0,0
6 December 2023 lets see I love this song ❤❤,4b52e086e80e7328b121e88c40cbb8ff,2023-12-06T01:19:27Z,0,0
I like Ed music videos,b8038ec80b2cec3274c937b27cadcf7b,2023-12-06T00:48:40Z,0,0
Vim hoje pelo vídeo do Windersson Nunes,02ce2be970d235d92a23824a61dbecdf,2023-12-06T00:38:51Z,0,0
https://youtu.be/DuSnkV1HQOk?si=UjoUZKgp4FJ6NYkD,8bd098f37c718b45e749258a6f109e08,2023-12-06T00:24:35Z,0,0
Im here on december 5 2023 this is still great,45560c2da8dfd56d5cca446ef7eafd3c,2023-12-05T23:54:24Z,0,0
"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing like
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
One week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
And leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play, and I'm singing like
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on (I'm in love with your body), be my baby, come on
Come on, be my baby, come on
Come on (I'm in love with your body), be my baby, come on
Come on, be my baby, come on
Come on (I'm in love with your body), be my baby, come on
Every day discovering something brand new
I'm in love with the shape of you",2711acab29f25fc3fdb6843f430682e8,2023-12-05T23:25:55Z,2,0
"I love this song
I'm in love with this song",6a9142a4e3a5d1d28c743c0d0de17040,2023-12-05T22:47:27Z,0,0
"How this song is the most streamed Song Ever I do not know, the songs not bad, but to be the most streamed ever😂😂😂😂",3f88af7bd61bfcdd331ef3ecf765c296,2023-12-05T21:41:51Z,0,0
I'm listening to this now and singing and my mom is amazed,3cea96d3aab4a27bbfd0ce84eaf2cf75,2023-12-05T21:19:07Z,0,1
About 7 years later thé same emotions,b97f3f92367f4639173cebbfc4729625,2023-12-05T20:50:02Z,1,1
6B views,8b20b7a15309bdad1aa99d352fd20709,2023-12-05T20:30:00Z,1,0
@jhaber1609 bro it’s 2023 and that’s what exactly thought,34ce2eb30c715c24c76cb4472737e964,2023-12-05T19:58:59Z,0,0
2023🇺🇦🇺🇦🇺🇦,b314fc2f8c651664b9570fd0a23804da,2023-12-05T19:36:30Z,1,0
Listening to it right now,54827f50f64db5da671fccfbf8b5fd33,2023-12-05T19:28:26Z,2,0
"I LOVE THIS MUSIC 
DEZ 2023 
MARISA - BRASIL 😊",6cb84e3861e286da6f272bc00a160164,2023-12-05T19:26:55Z,0,0
"it's  been 6 years nd on 6th dec 2023 and i suddenly remember it.🙂❤️ , It's very nostalgic to me , it comes at the time when English songs not so known in India. I loved this song nd learned  it all .",a4ea0c15a3f384c922575f7f1d814341,2023-12-05T19:13:13Z,0,0
6 December lets see how many legends are listening this song on this day,1f9769c98be05cc72659be3d674cdfd7,2023-12-05T18:16:02Z,1,0
quee,023be5a771cd581cefecf9300d97bc22,2023-12-05T18:15:46Z,0,0
🎉🎉,567ab81ab43355cb70f66341f5073f7d,2023-12-05T18:08:30Z,0,0
❤,b82c2536e835a9c6c5525a7c194178b4,2023-12-05T18:06:06Z,0,0
HELLO EVERYONE WE NEED TO MAKE GTA 6 TRAILER GET 100 MILLION VIEWS BEFORE 24 HOURS IT'S CLOSED NOW THOUGH!!,9e7d67f09821e5d5c1a362ca7096e7e0,2023-12-05T17:35:04Z,1,0
Me ❤,cfe656aa8d16461b074aee11122cc74c,2023-12-05T17:22:56Z,0,0
"الحمد للە

استغفر اللە

اللە اکبر 

سبحان اللە

لا إله إلا الله

اللهم صل علي محمد وعلي ال محمد كما صليت علي ابراهيم وعلي ال ابراهيم",6eac9a258d666051525348df53813790,2023-12-05T16:55:32Z,0,0
U all know ki fready sir ki death ho gayi 😢 (from c.i.d.),933304c81d9f0157c1990d71baec0382,2023-12-05T16:40:48Z,0,0
6 years later now many people watching this song ❤️,933304c81d9f0157c1990d71baec0382,2023-12-05T16:39:13Z,0,0
6 years later and still makes me want to end myself ❤❤,ccd310dafd4dae8d32f0f8bf729b7df0,2023-12-05T16:29:17Z,0,0
I'm listening,9f934bc0d68720c5ec18787471952071,2023-12-05T16:27:58Z,0,0
The last fight is soo funny 😂😂,a5a46e33bd342023d710e39a1d340d21,2023-12-05T16:22:51Z,0,0
5 dec 2023 how many lengend watch this song 5 dec 2024,e5aa9381194f93e2756f6866fb680c48,2023-12-05T16:18:21Z,2,0
❤,261ed9131bb8ca3f9911bd1b7b6187c6,2023-12-05T16:13:20Z,0,0
Bro its 2023,1cfb1442ab284a53f5f78bd59a638b08,2023-12-05T15:43:38Z,0,0
อะไรเอ้ย  ที่เรียกว่า เรา.....ความเข้าใจกรือผู้นำประเทศ🆔🪬,65ba6746502dd6f8bb2bb7807ff2c71a,2023-12-05T15:17:55Z,0,0
❤❤,2c7f9060d081fb01b8479815ab5acece,2023-12-05T15:15:04Z,0,0
@jhaber1609   5dec2023 Bro wtf 💀,28de43bc46b4ca0bc51386bb329d5816,2023-12-05T15:11:02Z,1,0
Who listening this masterpiece in 2024,66f3979e109a7a188ad92967235f4178,2023-12-05T15:02:09Z,1,0
6年経っても神曲なのには変わりない神曲,d853f6693183a5d4bb6aa4ad313ab5e7,2023-12-05T14:57:23Z,40,0
Man this is nostalgia...,b34454cd6ca47993ecce72f3cc94c367,2023-12-05T14:36:22Z,1,0
"The best ever song made on this planet ""Earth"" 💕🖤",4af59539dd476cb3bc53f158f1d30250,2023-12-05T14:18:57Z,2,0
Me,dc675d64e6d017ad484b041d1c411086,2023-12-05T14:05:05Z,0,0
Real Madrid 2017/2018,4e3e3dae2112ce3fbab810f9a26d3fab,2023-12-05T14:00:41Z,1,0
Legends in December 2023❤,9f589828a0bb6273f3588e95724a0b9c,2023-12-05T13:47:34Z,1,0
"I've been wanting to listen to this music for a long time but can't remember the title😅, oh yeah this is 2023-05-12",95a5f5d8c5a102d1d5c4e01d8746cf07,2023-12-05T13:25:55Z,0,0
Reminds me of someone 😢,7cce3858605818ce4d1279f7ebc78d40,2023-12-05T13:16:55Z,1,1
https://youtube.com/shorts/_NOk8B3UlVA?si=5njZDqgPIPY1smuH,1a0bd20c8129a1cf70301acd2d8cd40e,2023-12-05T13:14:36Z,0,0
Bro toDay 5 deCember,64c9842a0f9e2432adb1b6ee7735a731,2023-12-05T13:14:21Z,0,0
经典,45756c664b5d55d545dca536465f6d7c,2023-12-05T13:05:33Z,0,0
Bu şarkıya herkesin dili dönüyor,0c00e98fd329a25874ba6e84bf8bb5e9,2023-12-05T13:02:20Z,0,0
この曲を聴かないと大切な思い出を忘れてしまう気がする,2ec1a030d7a3411274e863b217ccd166,2023-12-05T12:49:40Z,1,0
I sang this song and got 1 place ❤ i love this song and i will love it more and more ❤❤,945a963dcae806b50e1370a7a7900c8e,2023-12-05T12:41:03Z,0,0
who is hereeeeeeeeeeeee? gooosebumps!! cheeeeck it,5e90d6a5820d9e9c4abd7961ff724693,2023-12-05T12:32:11Z,0,0
5 December 2023 now,acef3bfeac953d39b952eab4d630a038,2023-12-05T12:26:27Z,0,0
Love From Bangladesh ❣️🇧🇩,84e72b002625f4186b5b25d64292f594,2023-12-05T12:15:35Z,0,0
I don't like this song but l listening because of my craze learning English anyhow,8788e396ce7ac5b81cde26be0ceae091,2023-12-05T12:03:37Z,0,0
洋楽が好きになったきっかけの曲がこの曲,fc719ddfe3961d614a50e471c296c1ad,2023-12-05T11:58:25Z,2,1
Hey there so I'm watching here,0eab0be3cb2061f0f6b007eb8a03845a,2023-12-05T11:17:24Z,2,0
Essa música é foda só que é Brasileiro sabe disso,70a5ae6456a26f0c848dca99b7256f84,2023-12-05T10:58:40Z,0,0
I used to hear this song  .i forgot it  then I listen  Again,c3410276717bdf59ee6e2f410206e67e,2023-12-05T10:56:35Z,0,0
5th December 2023 and this song is still fire,a50c63b1e2b21400cd0bdd03f755dc79,2023-12-05T09:53:30Z,4,0
Shadow fight 2,197e935d619c08aaac84d46bc67dd554,2023-12-05T09:31:19Z,0,0
December 6 2023 tets how many legends are listening to this masterpiece by far one of the most popular songs ever even after 6 years,012536357163a8174266b752c30d7b8e,2023-12-05T08:51:01Z,0,0
6 years later and this song is still lit ❤️❤️❤️,dbccd688a164ab17c23357fa1262ef50,2023-12-05T08:46:53Z,0,0
この曲好きすぎて毎日聴いてます。！！あと、学校の子たちに広めておきました。！😅😂🎉,f01c825ef7c14501a71d31bd38e9d758,2023-12-05T08:45:44Z,0,0
Anyone in 2024 ?,fd5e0f6ae6a95665110ab4f2e4282a38,2023-12-05T07:45:59Z,2,0
Who is watching this in 2023 ❤❤,e128378bd3374c0cebc687266d4e9cd4,2023-12-05T07:06:16Z,0,0
Amo esa música 👩‍🎤 😍,8a831fca0b693c3fc7e5d5ba8373f8bf,2023-12-05T06:54:50Z,1,0
"Lust, having a very strong sexual desire for someone.",e30a5c73b61f8f190fcf0d05fbfef70e,2023-12-05T06:38:21Z,0,0
Goosebumps Vibes 🔥😍,7d4d1aeb149cab29ba281bd4f7e6f0f2,2023-12-05T06:03:07Z,1,0
5 December 2023🎉,8f06356c779f7a61ab16b848b487b440,2023-12-05T05:44:15Z,0,0
The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Warr Is Only Won With Love” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ❤️,dc1299a2bbd57875010af3b4f940a220,2023-12-05T05:37:41Z,2,0
🤩🤩🤩🤩❣️😇,a87e2a633dad10e97bcfba58b10cfd7e,2023-12-05T05:35:47Z,0,0
🤩🤩🤩🤩❣️😇,a87e2a633dad10e97bcfba58b10cfd7e,2023-12-05T05:35:47Z,0,0
🤩🤩🤩🤩❣️😇,a87e2a633dad10e97bcfba58b10cfd7e,2023-12-05T05:35:46Z,0,0
🤩🤩🤩🤩❣️😇,a87e2a633dad10e97bcfba58b10cfd7e,2023-12-05T05:35:25Z,0,0
Here after GTA 6 trailer,5b5df98e597093b2d7dc15c1456fb5b8,2023-12-05T05:05:34Z,0,0
日本人反応してくれー！,8916ef727b73612b09f70c50c9eb21e2,2023-12-05T04:43:33Z,3,1
Me,1e014aeef7664e466d0589ab1cae90a0,2023-12-05T04:34:31Z,0,0
I am still listening  to this song,f4e16201599135b47d30059540b11ba0,2023-12-05T04:27:17Z,0,0
❤❤,69485177063eef37544c77f642c89842,2023-12-05T03:58:14Z,0,0
It's 5th December 2023,75b0987f5b4f0e92398abbafba5c380f,2023-12-05T03:09:25Z,0,0
Legends never die.,c074ed1a8d37f3db2f812f5b359ea3af,2023-12-05T01:54:49Z,1,0
Hello from future 🎉,6e15d1e71273b5b4d428a960c08112b8,2023-12-05T00:24:15Z,0,0
4 de diciembre y aun escuchando esta obra maestra,d4380481440f9b37b91f4577e166f2d1,2023-12-05T00:09:55Z,4,0
It's excellent 💜❤️💜,bb77918d237b5e583a6b76a6c2bc0103,2023-12-04T23:55:18Z,0,0
Real Madrid 2017,5aaf9d4531b3d6eee1b6ffed5e4a6875,2023-12-04T23:07:23Z,0,0
Black and Asian Mix ?,3caba247dd7b6b0efed068ff01cfeff5,2023-12-04T22:50:39Z,0,0
Beautiful song ❤❤,2eeb8e56c7b4afdfa82b23225c26e939,2023-12-04T22:32:18Z,1,0
Yup,ab3bfdb3110217f78b4929633cdc0192,2023-12-04T22:28:15Z,0,0
5 December 2023 ! Anyone !,1f36b25f2b7d495f1e17efb47b9e6cc3,2023-12-04T21:18:42Z,3,0
