Lobbyist Name,Report,Report Type,Date Filed,Period Start Date,Period End Date,Activity,Termination,Amendment Filing,Amendment to Report Filed,Type of Expenditure Lobbyist,Total Amount Spent to Influence,Filing
"Airbnb, Inc.","{'file_id': 'a66e00b9-2a85-45d4-9960-68de44d2e176', 'content_type': 'application/pdf; charset=binary', 'filename': '20170914_20170915_2110B_Airbnb_Inc._Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-09-15T00:00:00.000,2017-07-01T00:00:00.000,2017-07-31T00:00:00.000,,,,,,,
"Airbnb, Inc.","{'file_id': '3b1870b8-e317-4d79-983c-07b9356895f8', 'content_type': 'application/pdf; charset=binary', 'filename': '20170615_20170615_2110B_Airbnb, Inc._Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-06-15T00:00:00.000,2017-05-01T00:00:00.000,2017-05-31T00:00:00.000,,,,,,,
Brian Daniels,"{'file_id': '603facd6-7e8b-4d36-a5ea-e03ae44fd1e7', 'content_type': 'application/pdf; charset=binary', 'filename': '20170713_20170713_2110A_Daniels_Brian_Redacted.pdf'}",Registration Form SFEC 2110A,2017-07-13T00:00:00.000,2017-07-13T00:00:00.000,2017-07-13T00:00:00.000,,,,,Individual,,
Brian Daniels,"{'file_id': '25e5712e-657c-40f2-8ad2-9fabd6bb4845', 'content_type': 'application/pdf; charset=binary', 'filename': '20170831_20170913_2110B_Daniels_Brian_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-09-13T00:00:00.000,2017-08-01T00:00:00.000,2017-08-31T00:00:00.000,,,,,Individual,,
Brian Daniels,"{'file_id': '4d234a78-15a5-4fd4-8888-d710883505a2', 'content_type': 'application/pdf; charset=binary', 'filename': '20170601_20170713_2110B_Daniels_Brian_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-07-13T00:00:00.000,2017-06-01T00:00:00.000,2017-06-30T00:00:00.000,True,,,,Individual,4075.77,
Brian Daniels,"{'file_id': '5a07aa95-4449-4ac3-8560-02e6d2e5506c', 'content_type': 'application/pdf', 'filename': '20181231_20180110_2110B_Daniels_Brian_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-01-10T00:00:00.000,2017-12-01T00:00:00.000,2017-12-31T00:00:00.000,,,,,Individual,,
Brian Daniels,"{'file_id': '85071380-730f-49a6-b4f8-bb89a9e0d206', 'content_type': 'application/pdf; charset=binary', 'filename': '20170917_20171010_2110B_Daniels_Brian_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-10-10T00:00:00.000,2017-08-01T00:00:00.000,2017-08-31T00:00:00.000,,,,,,,
Brian Daniels,"{'file_id': 'a3d63559-68bf-4a52-aaa3-7e2abb8517ef', 'content_type': 'application/pdf; charset=binary', 'filename': '20171031_20171109_2110B_Daniels_Brian_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-11-09T00:00:00.000,2017-10-01T00:00:00.000,2017-10-31T00:00:00.000,,,,,Individual,,
Brian Daniels,"{'file_id': 'a0f8f595-c732-4a68-8d9d-7a428c8ab14d', 'content_type': 'application/pdf; charset=binary', 'filename': '20171130_20171206_2110B_Daniels_Brian_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-12-06T00:00:00.000,2017-11-01T00:00:00.000,2017-11-30T00:00:00.000,,,,,Individual,,
Mission for All LLC,"{'file_id': '471ffe0c-126f-4906-8b12-e09c3686b394', 'content_type': 'application/pdf; charset=binary', 'filename': '20170601_20170713_2110B_Mission_For_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-07-13T00:00:00.000,2017-06-01T00:00:00.000,2017-06-30T00:00:00.000,True,,,,Partnership,99328.30,
Mission for All LLC,"{'file_id': '84f57070-f0ca-4887-871d-5239b40eefe3', 'content_type': 'application/pdf; charset=binary', 'filename': '20170109_2110A_Mission_for_All_LLC_Redacted.pdf'}",Registration Form SFEC 2110A,2017-01-09T00:00:00.000,2017-01-09T00:00:00.000,2017-01-09T00:00:00.000,,,,,Partnership,,
Mission for All LLC,"{'file_id': 'e2fd5f31-a11f-456e-90fb-98f207441223', 'content_type': 'application/pdf; charset=binary', 'filename': '20170401_20170516_2110B_Mission_for_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-05-15T00:00:00.000,2017-04-01T00:00:00.000,2017-04-30T00:00:00.000,True,,,,Partnership,,
Mission for All LLC,"{'file_id': '9cf1c4ce-a68f-4514-b6ee-9efb2f908025', 'content_type': 'application/pdf; charset=binary', 'filename': '20170301_20170417_2110B_Mission_for_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-04-17T00:00:00.000,2017-03-01T00:00:00.000,2017-03-31T00:00:00.000,True,,,,Partnership,62275.04,
Mission for All LLC,"{'file_id': 'f871b8fa-a817-45fb-afe1-a01ed164e699', 'content_type': 'application/pdf; charset=binary', 'filename': '20170731_20170811_2110B_Mission_For_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-08-11T00:00:00.000,2017-07-01T00:00:00.000,2017-07-31T00:00:00.000,True,,,,Corporation,51060.52,
Mission for All LLC,"{'file_id': '056c048a-d2b7-487b-942c-694ce2519b86', 'content_type': 'application/pdf; charset=binary', 'filename': '20170501_20170615_2110B_Mission_for_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-06-15T00:00:00.000,2017-05-01T00:00:00.000,2017-05-31T00:00:00.000,True,,,,Partnership,71789.68,
"Mission for All, LLC","{'file_id': '7592ea7b-2f56-478d-8dcd-50dd29ac58e9', 'content_type': 'application/pdf; charset=binary', 'filename': '20170107_20170109_2110A_Mission for All, LLC_Redacted.pdf'}",Registration Form SFEC 2110A,2017-01-09T00:00:00.000,2017-01-07T00:00:00.000,2017-01-07T00:00:00.000,,,,,Partnership,,
"Mission for All, LLC","{'file_id': 'ba29af88-f65d-4851-a3cd-3e029a644d75', 'content_type': 'application/pdf; charset=binary', 'filename': '20170107_20170109_2110A_Mission for All, LLC_Redacted.pdf'}",Registration Form SFEC 2110A,2017-01-09T00:00:00.000,2017-01-06T00:00:00.000,2017-01-06T00:00:00.000,True,,,,Corporation,,
"Mission for All, LLC","{'file_id': '31b7cf40-5417-4968-804e-9fa879b35086', 'content_type': 'application/pdf; charset=binary', 'filename': '20170915_20170915_2110B_Mission for All, LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-09-15T00:00:00.000,2017-08-01T00:00:00.000,2017-08-30T00:00:00.000,,,,,,,
"Mission for All, LLC","{'file_id': 'c7a37513-4b5b-4463-acb3-9bf6fdaec967', 'content_type': 'application/pdf; charset=binary', 'filename': '20170713_YYYYMMDD_2110B_Mission for All, LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-11-13T00:00:00.000,2017-06-01T00:00:00.000,2017-06-30T00:00:00.000,,,,,,,
"Mission for All, LLC","{'file_id': '21c547a6-a568-4cc2-84b8-8dc2d7041cc1', 'content_type': 'application/pdf', 'filename': 'yyyymmdd_20170109_2110A_Mission for All, LLC_Redacted.pdf'}",Registration Form SFEC 2110A,2017-01-09T00:00:00.000,2017-01-07T00:00:00.000,2017-01-07T00:00:00.000,,,True,2017-01-07T00:00:00.000,Partnership,,
"Mission for All, LLC","{'file_id': 'd8a1386d-aadd-4c48-8199-414c1be72878', 'content_type': 'application/pdf; charset=binary', 'filename': '20180331_20180411_2110B_Mission for All, LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-04-11T00:00:00.000,2018-03-01T00:00:00.000,2018-03-31T00:00:00.000,True,,,,,84290.23,
"Mission for All, LLC","{'file_id': 'e717ca14-30bb-4e09-9a91-a53f64897b5e', 'content_type': 'application/pdf', 'filename': '20170930_20171013_2110B_Mission for All, LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-10-13T00:00:00.000,2017-09-01T00:00:00.000,2017-09-30T00:00:00.000,True,,,,,96831.25,
"Mission for All, LLC","{'file_id': '22bc747d-f77d-4eb0-a92e-aaa1a5346d24', 'content_type': 'application/pdf', 'filename': '20171231_20180111_2110B_Mission for All, LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-01-11T00:00:00.000,2017-12-01T00:00:00.000,2017-12-31T00:00:00.000,True,,,,,107258.34,
"Mission for All, LLC","{'file_id': '5ff02b2a-3cf2-4d71-b620-8b618d8b21b0', 'content_type': 'application/pdf', 'filename': '20180131_20180215_2110B_Airbnb, Inc_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-02-13T00:00:00.000,2018-01-01T00:00:00.000,2018-01-31T00:00:00.000,True,,,,,86445.42,
"Mission for All, LLC","{'file_id': '3f37a7c0-31d1-447f-bd18-cc0fcb4aff24', 'content_type': 'application/pdf', 'filename': '20180630_20180713_2110B_Mission_for_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-07-13T00:00:00.000,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,True,,,,,84151.23,
"Mission for All, LLC","{'file_id': 'c67a26d6-470f-4d97-aabe-e1901ebb893b', 'content_type': 'application/pdf; charset=binary', 'filename': '20180501_20180612_2110B_Mission_for_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-06-12T00:00:00.000,2018-05-01T00:00:00.000,2018-05-31T00:00:00.000,True,False,False,,Other entity,64797.79,
"Mission for All, LLC","{'file_id': '6c8f34ab-d2bd-4a6b-8a2e-d757b1096848', 'content_type': 'application/pdf; charset=binary', 'filename': '20181101_20181213_2110B_Mission_for_All_LLC_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-12-13T00:00:00.000,2018-11-01T00:00:00.000,2018-11-30T00:00:00.000,True,False,False,,Other entity,104005.74,
RAI Services Company,"{'file_id': '4313fb1a-9eb7-47e4-9ee2-5cf9a3c34d5d', 'content_type': 'application/pdf; charset=binary', 'filename': '20170915_20170915_2110B_RAI_Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-09-15T00:00:00.000,2017-08-01T00:00:00.000,2017-08-31T00:00:00.000,,,,,,,
RAI Services Company,"{'file_id': '215a3120-e314-4a2d-b575-1a1ced7e46db', 'content_type': 'application/pdf; charset=binary', 'filename': '20171128_2017MMDD_2110B_RAI Services Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-11-28T00:00:00.000,2017-10-01T00:00:00.000,2017-10-31T00:00:00.000,,True,,,,,
RAI Services Company,"{'file_id': '74b39732-428f-47ca-ab91-e50d167791e0', 'content_type': 'application/pdf', 'filename': '20171128_20171129_2110B_RAI_Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-11-29T00:00:00.000,2017-10-01T00:00:00.000,2017-10-31T00:00:00.000,,True,,,Corporation,0.00,
RAI Services Company,"{'file_id': '54ebdcb5-f544-4e94-a0ed-45fb1d960555', 'content_type': 'application/pdf; charset=binary', 'filename': '20170731_20170814_2110B_RAI_Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-08-14T00:00:00.000,2017-07-01T00:00:00.000,2017-07-31T00:00:00.000,True,,,,Corporation,4932.53,
RAI Services Company,"{'file_id': '7c11179a-933f-488d-972e-307585d56623', 'content_type': 'application/pdf; charset=binary', 'filename': '20171016_20171016_2110B_RAI Services Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-10-16T00:00:00.000,2017-09-01T00:00:00.000,2017-09-30T00:00:00.000,,,,,,,
RAI Services Company,"{'file_id': '652256af-9a0d-4f9e-909f-7224c15ef352', 'content_type': 'application/pdf; charset=binary', 'filename': '20170630_20170717_2110B_A_RAI_Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-07-17T00:00:00.000,2017-06-01T00:00:00.000,2017-06-30T00:00:00.000,True,,,,Corporation,125454.15,
RAI Services Company,"{'file_id': '8f12cc6d-7608-4e64-9df2-52b8be33d1b1', 'content_type': 'application/pdf; charset=binary', 'filename': '20170501_20170615_2110B_RAI_Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-06-15T00:00:00.000,2017-05-01T00:00:00.000,2017-05-31T00:00:00.000,True,,,,Corporation,60538.53,
RAI Services Company,"{'file_id': 'ce1f1f97-6945-49f3-a026-b28f6d4779e0', 'content_type': 'application/pdf', 'filename': '20170508_2110A_RAI_Services_Company_Redacted.pdf'}",Registration Form SFEC 2110A,2017-05-08T00:00:00.000,2017-05-08T00:00:00.000,2017-05-08T00:00:00.000,,,,,Corporation,,
RAI Services Company,"{'file_id': '9c543d2f-3cea-4e8c-87c9-5ab9b81a2174', 'content_type': 'application/pdf; charset=binary', 'filename': '20170915_20170915_2110B_RAI Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-09-15T00:00:00.000,2017-07-01T00:00:00.000,2017-07-30T00:00:00.000,True,,True,2017-08-15T00:00:00.000,,,
RAI Services Company,"{'file_id': '3d9ec755-05e5-4bfd-bf36-ddde662d763c', 'content_type': 'application/pdf; charset=binary', 'filename': '20170531_20170717_2110B_A_RAI_Services_Company_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-07-17T00:00:00.000,2017-05-01T00:00:00.000,2017-05-31T00:00:00.000,True,,True,2017-06-15T00:00:00.000,Corporation,38200.00,
Richard Drury,"{'file_id': 'ef57c590-2e77-4e73-bd23-a8ba49e4f6f2', 'content_type': 'application/pdf', 'filename': '20180630_20180716_2110B_Drury_Richard_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-07-16T00:00:00.000,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,True,,,,,240,
Richard Drury,"{'file_id': '5a77c594-2aa5-4e84-b696-be8c5ea5a79b', 'content_type': 'application/pdf', 'filename': '20180731_20180814_2110B_Drury_Richard_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-08-14T00:00:00.000,2018-07-01T00:00:00.000,2018-07-31T00:00:00.000,True,,,,,1205.00,
Richard Drury,"{'file_id': '42eb7fd5-0548-420c-88bf-cda4fddb8cc7', 'content_type': 'application/pdf', 'filename': '20180801_20180914_2110B_Richard_Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-09-14T00:00:00.000,2018-08-01T00:00:00.000,2018-08-31T00:00:00.000,True,,,,,515.00,
Richard Drury,"{'file_id': 'b4d83b18-9466-4ea6-a451-9dbe3b26cc10', 'content_type': 'application/pdf', 'filename': '20180331_20180416_2110B_ Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-04-16T00:00:00.000,2018-03-01T00:00:00.000,2018-03-31T00:00:00.000,True,,,,,50.00,
Richard Drury,"{'file_id': '55f32fa0-8dcf-4682-bcf0-9da47cbb0f37', 'content_type': 'application/pdf', 'filename': '20180430_20180521_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-05-21T00:00:00.000,2018-04-01T00:00:00.000,2018-04-30T00:00:00.000,True,,,,,125.00,
Richard Drury,"{'file_id': '6a2ebce2-7d5f-4ee9-85ba-1b9d284137b3', 'content_type': 'application/pdf', 'filename': '20171130_20171218_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-12-18T00:00:00.000,2017-11-01T00:00:00.000,2017-11-30T00:00:00.000,,,,,,0.00,
Richard Drury,"{'file_id': 'b9d84d9f-cc55-4496-b606-341e6eb8e06c', 'content_type': 'application/pdf; charset=binary', 'filename': '20171110_20171115_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-11-15T00:00:00.000,2017-10-01T00:00:00.000,2017-10-31T00:00:00.000,,,,,,,
Richard Drury,"{'file_id': '0581af49-920c-4701-96bb-a63529d3c454', 'content_type': 'application/pdf', 'filename': '20180131_20180215_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-02-15T00:00:00.000,2018-01-01T00:00:00.000,2018-01-31T00:00:00.000,True,,,,,1710.00,
Richard Drury,"{'file_id': '9966d1c3-7d7f-4366-8cc8-48dcad395391', 'content_type': 'application/pdf', 'filename': '20171231_20180116_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-01-16T00:00:00.000,2017-12-01T00:00:00.000,2017-12-31T00:00:00.000,True,,,,,510.00,
Richard Drury,"{'file_id': '0d6b7c0b-c20d-42dd-b291-80e6c6149629', 'content_type': 'application/pdf', 'filename': '20180228_20180416_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-04-16T00:00:00.000,2018-02-01T00:00:00.000,2018-02-28T00:00:00.000,True,,True,2018-03-16T00:00:00.000,,3375.00,
Richard Drury,"{'file_id': '7c44153c-cba9-4010-9f0b-403cd351f787', 'content_type': 'application/pdf', 'filename': '20180228_20180316_2110B_Richard Drury_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-03-16T00:00:00.000,2018-02-01T00:00:00.000,2018-02-28T00:00:00.000,True,,,,,2700.00,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': '0e3ea5f7-0a41-4f3f-9325-d4520cdb3362', 'content_type': 'application/pdf; charset=binary', 'filename': '20171004_20171016_2110B_San Francisco Alliance for Jobs & Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-10-16T00:00:00.000,2017-08-01T00:00:00.000,2017-08-31T00:00:00.000,,,,,,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': 'c367d983-3994-4a28-8cd0-b9fe9dfa67cb', 'content_type': 'application/pdf; charset=binary', 'filename': '20171115_20171116_2110B_San Francisco CommunityAlliance for Jobs & Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-11-16T00:00:00.000,2017-10-01T00:00:00.000,2017-10-31T00:00:00.000,,,,,,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': 'fbf6a9c1-01d1-40fd-873f-2cfdd330e99a', 'content_type': 'application/pdf', 'filename': '20171130_20171218_2110B_San Francisco Community Alliance for Jobs and Housing_Redacted.pdf'}",Registration Form SFEC 2110A,2017-12-18T00:00:00.000,2017-11-01T00:00:00.000,2017-11-30T00:00:00.000,,,,,,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': '8402f7eb-816b-4566-a538-67495731f1e9', 'content_type': 'application/pdf', 'filename': '20171231_20180117_2110B_San Francisco Community Alliance for Jobs and Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-01-17T00:00:00.000,2017-12-01T00:00:00.000,2017-12-31T00:00:00.000,,True,,,,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': 'a54bcf99-f012-4595-8dcb-71a341768bb2', 'content_type': 'application/pdf; charset=binary', 'filename': '20170501_20170616_2110B_San_Francisco_Community_Alliance_for_Job&Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-06-16T00:00:00.000,2017-05-01T00:00:00.000,2017-05-31T00:00:00.000,True,,,,Corporation,10375.52,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': 'b6ce955e-31c5-4ca4-9717-8d4a9e2ac277', 'content_type': 'application/pdf; charset=binary', 'filename': '20170731_20170816_2110B_San Francisco Community Alliance for Jobs_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-08-16T00:00:00.000,2017-07-01T00:00:00.000,2017-07-31T00:00:00.000,True,,,,Corporation,0.00,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': 'e71949af-199b-4757-9577-30c496a1d377', 'content_type': 'application/pdf; charset=binary', 'filename': '20170630_20170718_2110B_San_Francisco_Community_Alliance_for_Jobs &  Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-07-18T00:00:00.000,2017-06-01T00:00:00.000,2017-06-30T00:00:00.000,,,,,Corporation,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': '7e12d56f-dca8-4e9d-a086-35928b87a6ca', 'content_type': 'application/pdf; charset=binary', 'filename': '20170630_20170718_2110B_San_Francisco_Community_Alliance_for_Jobs &  Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-07-18T00:00:00.000,2017-05-01T00:00:00.000,2017-05-31T00:00:00.000,True,,,2017-06-15T00:00:00.000,,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': '9f468254-1b8e-47c2-a68a-54cfb554e521', 'content_type': 'application/pdf', 'filename': '20170517_2110A_San_Francisco_Community_Alliance_for_Job&Housing_Redacted.pdf'}",Registration Form SFEC 2110A,2017-05-17T00:00:00.000,2017-05-17T00:00:00.000,2017-05-17T00:00:00.000,,,,,Corporation,,
San Francisco Community Alliance for Jobs & Housing,"{'file_id': '55f83c81-7dc1-447f-b64a-201a6b03b9ba', 'content_type': 'application/pdf; charset=binary', 'filename': '20170918_20170919_2110B_San Francisco Community Alliance for Jobs & Housing_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-09-18T00:00:00.000,2017-07-01T00:00:00.000,2017-07-30T00:00:00.000,,,,,,,
San Francisco Italian Athletic Club Foundation,"{'file_id': '385ac67f-450d-40bf-a8cc-2486d9622258', 'content_type': 'application/pdf', 'filename': '20180331_20180411_2110B_San Francisco Italian Athletic Club Foundation_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-04-11T00:00:00.000,2018-03-01T00:00:00.000,2018-03-31T00:00:00.000,True,True,,,,4800.00,
San Francisco Italian Athletic Club Foundation,"{'file_id': '4b849d5b-1ad9-44b6-857f-e096dfb80c4c', 'content_type': 'application/pdf; charset=binary', 'filename': 'yyyymmdd_20180330_2110A_San Francisco Italian Athletic Club Foundation_Redacted.pdf'}",Registration Form SFEC 2110A,2018-03-30T00:00:00.000,,,,,,,Corporation,,
