Tank Power Water Filter - 5 Stages+ 2 Extra Cartridge TP1,"EGP 1,225.00","Tank Power Plus Filter, Stages Labeled MicroShield®, Odor, Acidity Neutralizes and Removes 99.9% of Impurities, Silt, Insects, Rust, Chlorine, Gases, Organic Matter, Taste, Odor, Neutralizes Water Acidity and Increases Alkalinity Plus The last stage that spreads the water gradient, so the water returns to its natural taste
Tank Power 1:
Tank Power 1 Pet Blue Ring Cartridge, 3 layers of filtration, Tank Power 1 Cartridge filters 10 times smaller impurities than regular cartridges.Three consecutive layers.It starts from 5 microns and narrows to 1 micron, which purifies 10 times smaller impurities than normal cartridges, thus ensuring water purification of up to 99.9% of impurities.Raw materials for drinking water approved by the international FDACandle filtration efficiency lasts up to 3 monthsTank Power 2:
Pure materials with MircoPores technology, which guarantees the absorption of up to 99.9% of chlorine, color, taste and odor.It is designed in a distinctive streamlined shape and is kept inside a distinctive blue plastic package to preserve the components of the candle.The candle is designed in a way that makes the base of the candle wider than its top, and this is an indication of how to install the candle correctly.Raw materials for drinking water approved by the international FDACandle absorption efficiency lasts up to 6 monthsTank Power 3 candle:
Tank Power 3 is made with MircoPores® technology that works with Power 2 to purify water from 99.9% of chlorine, color, taste, gases and the smallest impurities.Streamlined design in a distinctive green colorPreserved inside a plastic package to protect the candle from any crack or carbon block breakage, in order to purify the water efficiently.The candle is designed in a way that makes the base of the candle wider than its top, and this is an indication of how to install the candle correctly.Raw materials for drinking water approved by the international FDACandle absorption efficiency lasts up to 6 months.  Tank Power Post Carbon (PC):
Tank Power Post Carbon is made with MicroPores® technology, which guarantees 99.9% absorption of chlorine, color, taste and odor.Raw materials for drinking water approved by the international FDACandle absorption efficiency lasts up to 12 months.Tank Power Calcite (CAL):
Tank Power Calcite High quality calcite  Calcite is concentrated with an increase of 10% of ordinary calcite to remove the bitterness of the water and improve its tasteAcidity test in water.It increases the alkalinity of the waterRaw materials for drinking water approved by the international FDACandle efficiency lasts up to 12 months.
• Perfect for under-arrangement installation
Filter Dimensions: 39cm L x 10cm W x 35cm H.",4.2/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"3pcs Color Reusable Straw, Metal Drinking Set With Brush",EGP 49.99,in our market place we have a collection of the best products that are made of the best quality materials.,4.8/5
LC Waikiki Crew Neck Sleeveless Girl Dress,EGP 409.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",4/5
N/A,N/A,N/A,N/A
Defacto Woman Woven Wide Leg Trousers,"EGP 1,299.00","Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",4.8/5
Disaar Vitamin C Glow Whitening Cream Moisturizing Nourishing Hyaluronic Acid - Multifunctional Essence - 50ml,EGP 155.00,"Description: Brand: Disaar. Ingredients: Vitamin C. Skin type: General. Efficacy: Moisturizing, oil control, shrink pores, moisturizing, moisturizing, lightening skin tone, moisturizing, firming Emulsion / Facial Cream Category: Emulsion Cream. Category: Facial cream. Origin: China. Suitable people: general. Specifications: normal specifications. Shelf life: 5 years. Product Name: Vitamin C Activating Cream. Net content: 50 ml cream. Availability  Especially moisturizing gels moisturize and make the skin look soft day after day. Hyaluronic acid is a humectant naturally found in the skin, and it can lock moisture into the skin. Non-greasy moisturizer provides deep hydration to your skin, smoothing fine lines and wrinkles. It nourishes, repairs and regenerates the skin and restores its natural water juice. Facial Moisturizers: Highly hydrating and brightening fillers for the skin, yet daily powerful moisturizers help build the dough of fine lines and wrinkles, help restore moisture and make skin fuller and plumper. Inflammation method: 1. After cleaning the skin day and night. 2. Put a small amount of product on",4.5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Lime Eye-Contour Gel - 40 Gm,EGP 89.00,"It comprises Hyaluronic acid and Caffeine. Lime Eye Contour Gel is Brightening and Anti-Puff Eye Cream. It's a perfect routine gel to fight wrinkles and dark circles around your eyes. It accelerates skin regeneration and natural collagen production.
Ingredients: Hyaluronic acid, Caffeine, Vitamin C, A. Grapeseed oil, and cucumber extract.
Suitable for All skin types.",3.7/5
Defacto Man Belt,EGP 299.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",4.3/5
OSSUM Appeal Perfume body spray for women - 120 ml,EGP 78.00,"Suitable for women
Makes you feel fresh and rejuvenated
It is refreshing fragrance ensures your refreshed and gentle experience all through the day by giving you 100 percent protection from body odors and perspiration",4.6/5
Defacto Boy Regular Fit Crew Neck Knitted Pyjamas - 2 Pieces,EGP 419.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",N/A
Maxell Magic Crystal Liquid Window Cleaner - Rose Scent - 700ml,EGP 39.00,"Grocery to your Doorstep!
If you're too busy to get to the grocery store, there are many ways for the grocery store to come to you! We are offering different food bundles providing all your everyday basics essentials to be shipped right to you.",4.7/5
Dice - Set Of (3) Shorts - Pure Cotton - White,EGP 279.99,"Dice . Co. was found in 1996 in Cairo, Egypt. The company specializes in the manufacturing and trade of circular knitting based products. For nearly 20 years, Dice . Co. continued to add to its core competencies operating in dire competition in the cotton products marketplace in Egypt.",3.6/5
Mesery Basic Round Neck Full Sleeves - White,EGP 119.00,"Comfortable full sleevesare a women' best friend, so Mesery  madethese from the softest cotton. They are super soft and have a comfy feel. Theyfeature Full sleeves with round neck and solid pattern so they are stillperfect for layering",3.9/5
American Eagle AE Super Soft Logo Graphic T-Shirt,EGP 650.00,"Since 1977, American Eagle has offered an assortment of specialty apparel and accessories for men and women that enables self-expression and empowers our customers to celebrate their indivduality. The brand has broadened its leadership in jeans by producing innovative fabric with options for all styles and fits for all at a value. We aren’t just passionate about making great clothing, we’re passionate about making real connections with the people who wear them.",4.5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Defacto Woman Regular Fit Crew Neck Long Sleeve Knitted Sweat Shirt,EGP 699.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Nokia C10 - 6.52-inch 32GB/2GB Dual Sim Mobile Phone - Gray,"EGP 2,599.99","NETWORK Technology
GSM / HSPA
2G bands GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2
3G bands HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
Speed HSPA 42.2/5.76 Mbps
BODY Dimensions 169.9 x 77.9 x 8.8 mm (6.69 x 3.07 x 0.35 in)
Weight 191 g (6.74 oz)
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type IPS LCD, 400 nits (typ)
Size 6.52 inches, 102.6 cm2 (~77.5% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~269 ppi density)
Protection Panda Glass
PLATFORM OS Android 11 (Go edition)
Chipset Unisoc SC7331E (28nm)
CPU Quad-core 1.3 GHz Cortex-A7
GPU Mali-400 MP2
MEMORY Card slot microSDXC (dedicated slot)
Internal 32GB 2GB RAM
eMMC 5.1
MAIN CAMERA Single 5 MP, f/2.2
Features LED flash, HDR
Video 720p@30fps
SELFIE CAMERA Single 5 MP, f/2.2
Features LED flash
Video 720p
SOUND Loudspeaker Yes
3.5mm jack Yes
COMMS WLAN Wi-Fi 802.11 b/g/n
Bluetooth 4.2, A2DP
Positioning GPS
NFC No
Radio FM radio
USB microUSB 2.0
FEATURES Sensors Accelerometer, proximity
BATTERY Type Li-Ion 3000 mAh, removable",3.5/5
N/A,N/A,N/A,N/A
Desert Sportive Canvas Lace-up Sneakers For Kids,EGP 189.00,"Desert Shoes was established in 1975. We started to manufacture easy-to-manufacture shoes, and after they gained great popularity in the popular markets, production lines were developed and now Desert owns the largest production lines in Egypt and China on the highest quality standards to provide all kinds of shoes for men, women, and children
Definitely, Desert Shoes is your best choice",4.4/5
SHEIN 3pairs Square Frame Sunglasses-6466,EGP 319.99,"MODEL: SHEIN
Brand : SHEIN
Targeted Group : Women
Occasion : Casual
Type : Sunglasses
MODEL: SHEIN
Brand : SHEIN
Targeted Group : Women
Occasion : Casual
Type : Sunglasses",4.4/5
N/A,N/A,N/A,N/A
Young Slimming Shirt - BLACK,EGP 144.99 - EGP 149.99,We are committed to providing the best products with the best quality and lowest prices,3.4/5
Diadora Camaro 11559 Lifestyle Sneaker - Black/White,"EGP 1,345.00",Camaro was designed as a retro shoe for the 1985 sports catalogue. It affirms its status as a shoe with genuine style.sports traditionshock-absorbing e.v.a. midsolewide range of colours availableCamaro is a unisex trainer with nylon and suede upper that stands out for its comfort and stylish colour combination. Its sporty elegance makes it an ideal choice to take you from work to play.,4.3/5
Bubblzz Vanilla Crush Body Splash,EGP 250.00,Spray all over your body and pulse points for a long lasting fragrance.,5/5
Defacto Woman Regular Fit Halfzip Long Sleeve Knitted Sweat Shirt,EGP 999.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",3.7/5
American Eagle Pleat Front Pull-On Pant,EGP 675.00,"Since 1977, American Eagle has offered an assortment of specialty apparel and accessories for men and women that enables self-expression and empowers our customers to celebrate their individuality. The brand has broadened its leadership in jeans by producing innovative fabric with options for all styles and fits for all at a value. We aren’t just passionate about making great clothing, we’re passionate about making real connections with the people who wear them.",5/5
Andora Lime Green Comfy Buttons Down Shirt,EGP 399.00,"Andora fashion store for men and women offer a wide range of clothing, They may have various categories such as tops, bottoms, dresses, suits, and more.",4.5/5
SHEIN Rhinestone & Butterfly Decor Earring Jackets-40465,EGP 99.99,"Brand : SHEIN
MODEL: SHEIN
Targeted Group : Women
Occasion : Casual
Type : Sets
Brand : SHEIN
MODEL: SHEIN
Targeted Group : Women
Occasion : Casual
Type : Sets",3.8/5
N/A,N/A,N/A,N/A
Bourjois Le Petite Strober Highlighter - Universal Glow,EGP 115.00,"Universal pearly champagne shade to bring glow for all skin types and colors
Allows to highlight features of face and sculpt it through strobing
Soft and lightweight texture makes product easy to use
Adds a natural healthy glow effect
Applying on the appropriate parts of the face helps to achieve a radiant look",3.7/5
Andora Plain Pattern Hidden Buttons Shirt - Yellow,EGP 349.00,"Andora fashion store for men and women offer a wide range of clothing, They may have various categories such as tops, bottoms, dresses, suits, and more.",4.9/5
Defacto Man Regular Fit Woven Long Sleeve Shirt,EGP 439.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",4.7/5
Mesery Bundle Of Two Cotton Spaghetti Strap With Dantel Lace - Color May Vary,EGP 119.00,"Comfortable tank tops area women' best friend, so Mesery  madethese from the softest cotton. They are super soft and have a comfy feel. Theyfeature spaghetti sleeveless with round neck and solid pattern so they arestill perfect for layering",3.4/5
Defacto Boy Knitted New Regular Fit Hooded Long Sleeve Sweat Shirt..,EGP 699.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",4.3/5
Fiesta Sensation Condoms - Ultra Thin For Maximum Feeling - 4 Packs Of 3,EGP 95.00,"100% natural rubber latex condoms, 53 mm nominal width. Fiesta are 100% electronically tested and manufactured to meet the highest international quality standards (EN ISO 4047:2002) to provide the ultimate in protection.",4.3/5
Mesery Bundle OF (3) Cotton Panties Dantel,EGP 89.00,"Upgrade your inner wear collection with this pack of six pairs of hipster panties from Mesery . They come with a solid pattern that makes them look simple yet stylish. Moreover, they come with an elastic waistband that ensures a proper fit. Above all, the use of cotton stretch fabric promises maximum comfort throughout the day.",3.9/5
Decathlon Men's Hiking Sandals - NH50,EGP 599.00,"Our designers have camp sandals to accompany your occasional hikes on the plain, in the forest or on the coast, in hot and dry weather.",4.5/5
Kyiv For Men - Navy,EGP 160.00,in onda we have alot of different slippers with alot of colours and sizes Brand : Onda - Color: Navy  - Material:EVA & PVC  - Style: Slides,4.1/5
Product Name,Price,Details,Rating
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Luna Emollient Cocoa Butter Hand And Body Soother 75g.,EGP 63.99,"Introducing our Daily Cream for Deep Hydration, featuring an exceptionally rich cocoa butter formula. This moisturizing blend not only softens the skin but also ensures lasting hydration throughout the day. Elevate your skincare routine with this deeply nourishing cream for a soft and supple skin experience.",5/5
Sunsilk Shine and Strength Hair Shampoo – 350ml,EGP 61.00,"Nourish and restore natural moisture of the scalp
Strengthen hair from the roots so it is deeply nourished
Enriched with moisture serum,which makes hair soft and smooth",3.7/5
Tinkle Feather Razor For Eyebrow - 3 Pcs - Multi-color,EGP 47.00,"Useful design and high quality
Professional eyebrow trimmer razors shaving blade,sharp enough to provide smooth eyebrow shaping
Safety edge net,even beginners can easily and safely use it
With safety cover, protecting the blade and preventing the skin scratch
Good item in daily life
Create perfectly shaped eyebrows
Great for fine hair and detail work
3-pack assorted colors
New and sealed package
Specifications:
Size: 15 cm*1 cm
Material: plastic+metal
Weight: 25 g
Color: pink, yellow and baby blue
Package include:
3 x eyebrow shaver",4.3/5
Yoko Feminine Soap With Red Rose Extract - 80 GM,EGP 90.00,This soap is for cleansing the most sensitive area of a women. Gently protect the skin from dirt and unpleasing odor as well as helping to maintain moisture of skin. Give you even more fresh feeling,4.8/5
Sunsilk Shampoo Instant Restore 350ML,EGP 61.00,"Ready for a new adventure? This exclusive formula is rich in calcium and Keratin and removes accumulated residue to prepare your hair for the next adventure. Massage onto wet hair and then rinse thoroughly. For best results, repeat application. Share the love! Leave a review for Sunsilk Instant Restore Shampoo.",4.1/5
Rimmel Provocalips 16HR Kiss Proof Lip Colour - 500 Kiss Me You,EGP 169.00,"Provocalips delivers hi-impact 16HR endless colour with a delectably glossy finish. and transfer-proof, only coming off when you want it to. An exclusive two step product so incredibly lightweight and flexible and adapts to the movement of your lips. One intense colour two lock and shine. Fun, flirty, fearless kiss and try your lips won’t tell. Live the London look.Kiss hello to Provocalips 16hr Kiss-Proof Lip Colour. If lipstick that stays on is your goal, this long-lasting, double-ended lip color has you covered. On one end, you have the intense lip pigment that glides on effortlessly. Then, the other end holds a clear top coat that delivers moisture, shine and 16 hours of flawless wear in one. The dream.",N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Rockstar Games Grand Theft Auto V: Premium Edition (PS4),"EGP 1,900.00","Includes the complete Grand Theft Auto V story experience
Free access to ever-evolving Grand Theft Auto online and all existing gameplay upgrades and content
With added Criminal Enterprise Starter Pack, the fast way to jumpstart your criminal career
GTAUSD1,000,000 to spend however you want in GTA online
The highly exciting and popular content, valued at over GTAUSD10,000,000 if purchased separately, including:
Ownership of buildings allowing access to business ventures, powerful weapons research and counterfeit cash operations
Fleet of powerful vehicles including a supercar, motorcycles, weaponised dune buggy, rally car and more…
Weapons, clothing and tattoos",4.2/5
Kenwood JE280 Citrus Juicer – 40W – White,"EGP 1,399.00","Brand: Kenwood
Type: Citrus juicer
Power: 40 Watt
Color: White
Model No.: JE280
Product life span: 7 Years
Brand: Kenwood
Type: Citrus juicer
Power: 40 Watt
Color: White
Model No.: JE280
Product life span: 7 Years",3.5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Luna Emollient Soft Cream Glycerin & Jojoba For Hand And Body- 50 Gm - 2 Pcs,EGP 72.00,EMOLLIENT Glycerin & Jojoba Oil Daily Soft & Moisturizing Cream Concentrated formula enriched with glycerin & Jojoba Oil that smooth and moisturize skin.,4/5
"Sokany SK-SH-1045 Electric Kettle , 2 Liters, 1500 Watts",EGP 639.00,Brand: SokanyModel: SK-SH-1045Power: 1500 wattsClear glass body with water level indicatorElectric kettle capacity: 2 liters360 degree split baseAutomatic shutdown when boilingAutomatic shutdown when running without water,4/5
N/A,N/A,N/A,N/A
Sokany Big Size Lint Remover,EGP 345.00,"machine for removing lint from clothes and fabricsCompletely removes lint from clothes. He restores woolen clothes as if they were new.Suitable for most types of fabrics.It can be used with fabric sofas and chairs.Carburetor removal device.The device removes lint..Lint remover for clothes and bubble remover for clothes with powerful motor for high speed action.Stylish and Ergonomic Design Ergonomically designed, the clothes ball remover features an easy-to-grip handle that provides users with a comfortable experience.Easy to use and clean, this fabric remover shaver is corded and easy to use anytime, anywhere. It also has a detachable collection container that can be cleaned easily and quicklyGreat for effective removal and comes with a brush as a cleanserEasily remove fabric fuzz, fluff, bobbins, pills, burrs or roe from all types of wool and cotton garments and fabrics. It is a ROA remover machineFabric fuzz removing machine, small and portable, an ideal garment care tool.The upgraded floating blade can also effectively shave lint and lint remover to protect your clothes when the direction of the blade changes up and down, according to the lint size",3.8/5
Izor Cotton Slip On Comfy Hooded T-Shirt - Dark Grey,EGP 299.00,Step up your daily style with our casual and home wear Clothes ! Featuring great and comfy designs that fit all your occasions,4.4/5
Zak Intense For Men Edge Eau De Parfum - 150 Ml,EGP 328.00,"ZAK Intense for Men Edge Eau de Parfum is a fragrance created specifically for the modern, confident man. With its unique blend of notes, this perfume exudes an aura of power and sophistication.

The bottle contains 150 ml of this exquisite fragrance, ensuring that you have an ample supply to last for a long time. The sleek and masculine design of the bottle adds a touch of elegance to your grooming routine.

When you first apply ZAK Intense for Men Edge Eau de Parfum, you will be greeted by the invigorating top notes of bergamot and grapefruit. These citrusy notes provide a fresh and energetic opening to the fragrance, setting the stage for what's to come.

As the fragrance settles on your skin, the heart notes of lavender and violet leaf begin to emerge. These floral notes add a touch of refinement and sophistication to the scent, creating a well-balanced composition.

Finally, the base notes of amber, leather, and patchouli come forward, adding depth and sensuality to the fragrance. These warm and earthy notes give ZAK Intense for Men Edge Eau de Parfum its distinctive character and leave a lasting impression.

Whether you're heading to a business meeting, a formal event, or a night out in the town, ZAK Intense for Men Edge Eau de Parfum is the perfect companion. Its long-lasting formula ensures that you'll be enveloped in its captivating scent throughout the day or night, leaving a trail of allure wherever you go.

In conclusion, ZAK Intense for Men Edge Eau de Parfum is a captivating fragrance that embodies the essence of modern masculinity. With its blend of invigorating citrus, refined floral, and warm woody notes, this perfume is an essential addition to any man's grooming collection. Experience the power and sophistication of ZAK Intense for Men Edge Eau de Parfum and make a lasting impression wherever you go.",N/A
Katron 32 Inch HD Android Smart LED TV.,"EGP 5,859.00","32 inch HD Android Smart LED TV.
Android 9.
Wifi.
Internet entrance.
RF terrestrial broadcast input.
USB port: 2 ports.
HDMI input: three inputs.
Computer input: VGA.
Entrance: YP/PB/PR.
AV input.
Entrance permission.
Computer audio input (PC AUDIO).
One year warranty against manufacturing
Made in Egypt",3.5/5
N/A,N/A,N/A,N/A
Skipping Jump Rope With Wooden Handles - Red,EGP 125.00,Skipping ropes are the best form of exercise. They are cheap and portable and can burn more calories than you think. This skipping rope  is made of high-quality material and does not break easily. It is a great way to tone your muscles and good for your hand and eye co-ordination,4.2/5
N/A,N/A,N/A,N/A
Ona - Dish Detergent - 650ml - Lemon& Mint,EGP 24.00,ONA Dishwashing liquid detergent with a superpower on grease that keeps hands soft and is available in more than one size,3/5
N/A,N/A,N/A,N/A
Temporary Tattoo Sticker Waterprooft Small,EGP 50.00,Temporary Tattoo StickerHigh quality and the latest materials at a reasonable priceUnbreakableIt lasts for lifeSuitable for all agesCan be in the salonsIt gives an amazing and beautiful look,N/A
Vaseline Lip Therapy - Original - 20 Gm,EGP 92.00,"Relieves dry and cracked lips, while locking in moisture to help them heal",4.5/5
N/A,N/A,N/A,N/A
Sokany Sk-866 Rechargeable Lint Remover - White Blue,EGP 235.00,"This item Lint Remover For Clothes Fabric Shaver will make your garments recur to their elegant look. For Clothes, Bedding and Furniture - Perfect pill remover for wool & cable sweaters, scarves, cotton, lycra, linen, blankets, bedsheets, comforters, duvets, couches, chairs, cushions curtains, drapes, and sofas, Make them looking new again.",4.5/5
Rimmel Lasting Finish 1000 Kisses Lip Pencil -063 Black Tulip,EGP 145.00,Long lasting formula stays put and does not fade for extended period of timeProfoundly pigmented to conceal lips in rich color with a velvety matte glazeRenders a natural-looking definition to lips,3.5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Splash Pink Blend Body Splash,EGP 140.00,Body spalsh long lasting for females.from natural oilsdoesn't make allergy,3.8/5
N/A,N/A,N/A,N/A
Smoky Egypt Straight Leg Tergal Lycra Pants With Side Pockets - Mocha,EGP 540.00,"Experience the perfect blend of style and comfort with Smoky Egypt’s Women’s Straight Leg Pants With Pockets. Crafted from high-quality Tergal Lycra, these pants offer a soft feel that makes them ideal for all-day wear.
The regular fit design ensures a comfortable fit that flatters all body types, while the straight leg cut adds a touch of classic style. These pants feature convenient side pockets for your essentials.
Suitable for all seasons, these versatile pants can be paired with a variety of tops for different looks. Whether you’re heading to work, running errands, or enjoying a casual day out, these pants are a reliable choice. These pants were crafted by skilled artisans in Egypt from the finest available materials and designed for maximum comfort and style. Our pants are made by Smoky Egypt, an established Cairo based fashion house for high end ladies and menswear since 1986. With over 30 years of experience, we continuously strive to provide our customers with the highest quality products at the best value.

Key Features:

Fabric Type: Tergal Lycra
Product Style: Regular Fit Straight Leg Pants with Side Pockets
Season: Suitable for All Seasons
Brand: Smoky Egypt
Country of Origin: Egypt
Step into comfort and style with Smoky Egypt’s Straight Leg Pants. Order yours today!",N/A
Mesery Bundle Of Three Cotton Stretch Plain Tank Tops - White,EGP 179.00,"This item cannot be exchanged or returned
Comfortable tank tops area women' best friend, so Mesery  madethese from the softest cotton. They are super soft and have a comfy feel. Theyfeature spaghetti sleeveless with round neck and solid pattern so they arestill perfect for layering",4.5/5
LC Waikiki Standard Fit Men's Sports Shorts,EGP 312.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, styl",5/5
"Modern Home Bedside Table, Side Table With Storage - Black - 40×40×43",EGP 499.00,"▲ Wear-resistant veneer: fashion wear-resistant veneer, clear wood grain, wear-resistant and scratch-resistant.▲ Thickened plate: use thicker and thicker plates, the bearing capacity is greatly enhanced and more stable.▲ Fine edge sealing: smooth edge design, smooth table corner, smooth feel, care for your daily life.▲ Applicable - Can be used as a bedroom/living room/kitchen/office/cafe, etc, ideal for home storage.▲ The product comes disassembled with screws and an assembly guide",4.3/5
Might Cinema Ultra Moisturizing Might Cinema,EGP 108.00,Ultra moisturizing Might Cinema,N/A
Izor Mandarin Collar Pastel Yellow With Touch Of Black Polo Shirt,EGP 299.00,Step up your daily style with our casual and home wear Clothes ! Featuring great and comfy designs that fit all your occasions,N/A
LC Waikiki Crew Neck Mickey Mouse Printed Long Sleeve Oversized Tunic For Women,"EGP 1,099.00","LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, styl",4.8/5
Sokany Multi-Function Stainless Pressure Cooker 13.0 L /1600w (Sk-2404),"EGP 3,699.00","Power 1600 Watt
Capacity 13 L
Large panel operation
Touch Screen
Multi-Function menu
Stainless steel body
Anti-scalding handle
Scheduled appointment
Safety valve design
Nonstick aluminum cooking pot
Removable sealing ring
Non slip foot pad design",3.9/5
Sani Adult Diapers 24-meduim,EGP 655.00,"I am an egyption seller,providing customers with high-quality and low-cost products.
The types of products we sell include Health & Beauty, so on. We keep up with the most popular fashion trends. If you like our products, please follow us and become our followers and fans.
Sincerely at your service .Please feel free to contact us if you have any questions. 100% and high quality.",1/5
N/A,N/A,N/A,N/A
Les Karites Shea Butter Hair Serum 60 Ml,EGP 185.00,Brand: Les karites Item Type: Hair Serum Size: 60 ml Avoid contact with eyes Rich in Shea Butter Leaves hair silky and shiny Suitable for normal and dry hair Keep out of reach of children. This serum is a rich mixture of shea butter specially designed to soften the cuticles Protects the ends of the hair and gives it a sweet and silky effect Healthy packaging Carefully formulated,3.5/5
N/A,N/A,N/A,N/A
LC Waikiki Hoodie Marvel Printed Long Sleeve Boys Sweatshirts & Sweatpants.,"EGP 1,099.00","LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, styl",5/5
N/A,N/A,N/A,N/A
