index,FID,PROJECT,GEOGRAPHIC REGION,SITE TYPE,ASSESSMENT TYPE,SITE ID,DATE COLLECTED,TIME COLLECTED,LATITUDE,LONGITUDE,NORTHING,EASTING,DEPTH,URL LINK,CORAL REEF,PAVEMENT,RHODOLITH,SAND,HARD CORAL,SOFT CORAL,MACROALGAE,SPONGE,SEAGRASS,ARTIFICIAL,UNKNOWN,NOTES
10,10,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_011,1/31/2017,9:50:12,18.1228048,-65.21644426,2051927.649,-7259861.366,-39.85520172,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_011.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
11,11,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_012,1/31/2017,10:57:55,18.13932323,-65.22984757,2053862.545,-7261353.416,-37.57089996,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_012.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
12,12,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_013,1/31/2017,13:46:44,18.17067079,-65.22774152,2057534.963,-7261118.972,-34.27330017,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_013.mp4,Present,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Camera on edge of agg reef/sand in spur and groove habitat
13,13,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_014,1/31/2017,10:40:32,18.13236683,-65.22536209,2053047.681,-7260854.095,-40.8321991,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_014.mp4,Absent,Absent,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
14,14,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_015,1/31/2017,13:56:07,18.17465637,-65.22099917,2058001.928,-7260368.417,-34.70589828,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_015.mp4,Present,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Camera on edge of agg reef/sand in spur and groove habitat
15,15,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_016,1/31/2017,10:49:21,18.13226984,-65.21710906,2053036.32,-7259935.372,-38.99089813,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_016.mp4,Absent,Absent,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,meandrina meandrites
16,16,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_017,1/31/2017,14:05:15,18.18085906,-65.21591735,2058728.678,-7259802.711,-33.75960159,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_017.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
17,17,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_018,1/31/2017,14:53:24,18.19724497,-65.21613909,2060648.689,-7259827.395,-34.93320084,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_018.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent,Colpophyllia natans
18,18,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_019,1/31/2017,14:13:17,18.17374176,-65.21544807,2057894.768,-7259750.471,-41.69889832,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_019.mp4,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent, 
19,19,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_020,1/31/2017,8:40:41,18.16063288,-65.2100431,2056358.934,-7259148.793,-36.34999847,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_020.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent, 
20,20,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_021,1/31/2017,14:20:45,18.16820145,-65.21295281,2057245.652,-7259472.7,-40.24340057,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_021.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent, 
21,21,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_022,1/31/2017,8:56:20,18.14665783,-65.21178554,2054721.747,-7259342.76,-40.4618988,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_022.mp4,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent, 
22,22,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_023,1/31/2017,8:48:34,18.15387659,-65.21408723,2055567.413,-7259598.983,-41.55339813,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_023.mp4,Present,Present,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent, 
23,23,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_024,1/31/2017,14:30:05,18.17321425,-65.2068613,2057832.963,-7258794.596,-41.38579941,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_024.mp4,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent, 
24,24,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_025,1/31/2017,14:46:11,18.18813012,-65.20450272,2059580.638,-7258532.04,-38.60419846,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_025.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
25,25,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_026,1/31/2017,8:34:07,18.16114056,-65.20418432,2056418.412,-7258496.596,-38.0163002,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_026.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,1 lionfish
26,26,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_027,1/31/2017,9:07:40,18.13804503,-65.20090996,2053712.816,-7258132.096,-36.54000092,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_027.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,1 lionfish; montasteria cavernosa
27,27,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_028,1/31/2017,9:42:38,18.12758263,-65.19982359,2052487.284,-7258011.162,-22.78899956,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_028.mp4,Absent,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
28,28,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_029,2/2/2017,12:25:38,18.21135747,-65.19971961,2062302.458,-7257999.587,-30.55200005,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_029.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
29,29,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_030,1/31/2017,14:39:58,18.18254328,-65.19946476,2058926.017,-7257971.217,-37.84370041,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_030.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
30,30,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_031,2/1/2017,13:15:16,18.16622558,-65.19681254,2057014.16,-7257675.973,-37.52000046,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_031.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,30% live hard coral
31,31,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_032,2/2/2017,12:15:29,18.2035708,-65.19512509,2061389.963,-7257488.127,-34.31579971,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_032.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
32,32,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_033,1/31/2017,9:15:27,18.14304863,-65.19555248,2054298.948,-7257535.704,-37.72380066,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_033.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,pseudodiploria strigosa
33,33,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_034,2/1/2017,13:26:38,18.17551078,-65.19412366,2058102.035,-7257376.649,-41.51369858,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_034.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
34,34,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_035,2/2/2017,12:07:05,18.20793029,-65.19179996,2061900.833,-7257117.975,-30.81839943,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_035.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent, 
35,35,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_036,1/31/2017,9:23:07,18.14178459,-65.1924405,2054150.874,-7257189.28,-41.16930008,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_036.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent, 
36,36,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_037,2/2/2017,12:33:52,18.22329415,-65.19425565,2063701.36,-7257391.342,-26.99110031,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_037.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent, 
37,37,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_038,2/2/2017,10:24:52,18.19390382,-65.18999967,2060257.177,-7256917.568,-35.85039902,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_038.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
38,38,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_040,1/31/2017,9:30:44,18.13674675,-65.18710941,2053560.736,-7256595.826,-47.23770142,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_040.mp4,Present,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Camera dropped on agg reef/rhodo boundary.  GPS points look to be on rhodos
39,39,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_041,2/2/2017,10:56:25,18.20404056,-65.18761895,2061445.012,-7256652.548,-33.58959961,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_041.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent, 
40,40,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_042,2/1/2017,13:37:08,18.18100293,-65.18662921,2058745.535,-7256542.37,-38.43230057,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_042.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,Isophyllia rigida
41,41,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_043,2/1/2017,13:01:50,18.16889562,-65.18605764,2057326.982,-7256478.743,-37.37440109,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_043.mp4,Present,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,40-50% live hard coral
42,42,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_044,2/2/2017,10:17:24,18.19662479,-65.18281047,2060576.016,-7256117.27,-34.59109879,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_044.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
43,43,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_045,2/2/2017,10:36:23,18.21212612,-65.18255946,2062392.536,-7256089.328,-41.11619949,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_045.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,This site is on the edge of agg reef.  GPS point in agg reef.  Reassess when doing AA.
44,44,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_047,2/2/2017,10:49:15,18.2082291,-65.18130476,2061935.85,-7255949.655,-34.61930084,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_047.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
45,45,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_048,2/1/2017,13:49:02,18.17996355,-65.17839068,2058623.752,-7255625.261,-39.44869995,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_048.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent, 
46,46,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_049,2/1/2017,12:53:40,18.16743751,-65.17738314,2057156.149,-7255513.102,-43.40999985,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_049.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
47,47,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_050,2/2/2017,12:46:06,18.23036214,-65.17726519,2064529.728,-7255499.972,-32.36220169,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_050.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Sand visible on decent
48,48,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_051,2/2/2017,9:51:24,18.19917464,-65.17617978,2060874.809,-7255379.145,-41.79050064,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_051.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
49,49,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_052,2/2/2017,10:08:14,18.20793334,-65.17472332,2061901.19,-7255217.013,-37.98460007,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_052.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
50,50,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_053,2/1/2017,13:59:05,18.18482781,-65.17350963,2059193.698,-7255081.905,-38.2580986,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_053.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent, 
51,51,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_054,2/2/2017,10:00:35,18.20959388,-65.17091066,2062095.785,-7254792.589,-36.99919891,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_054.mp4,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent, 
52,52,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_055,2/2/2017,12:56:17,18.22181874,-65.17008645,2063528.446,-7254700.839,-38.06769943,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_055.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent, 
53,53,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_057,2/2/2017,9:36:48,18.18200846,-65.16211936,2058863.352,-7253813.946,-40.24909973,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_057.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
54,54,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_058,2/1/2017,12:33:57,18.1708677,-65.15965372,2057558.034,-7253539.472,-47.0625,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_058.mp4,Present,Absent,Present,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
55,55,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_059,2/2/2017,13:44:27,18.24087282,-65.16122472,2065761.641,-7253714.355,-34.46409988,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_059.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent, 
56,56,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_060,2/2/2017,13:07:03,18.21632465,-65.16004563,2062884.568,-7253583.1,-35.2806015,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_060.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Sand visible on decent
57,57,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_061,2/1/2017,12:42:46,18.17427942,-65.15899631,2057957.763,-7253466.29,-45.29130173,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_061.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
58,58,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_062,2/2/2017,9:08:09,18.19540323,-65.1575891,2060432.875,-7253309.64,-42.37889862,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_062.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
59,59,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_063,2/2/2017,13:35:31,18.22752069,-65.15711627,2064196.706,-7253257.005,-36.00939941,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_063.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent, 
60,60,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_064,2/1/2017,12:23:50,18.17256266,-65.15258379,2057756.62,-7252752.451,-45.06380081,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_064.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent, 
61,61,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_065,2/2/2017,8:57:19,18.20996105,-65.15200011,2062138.813,-7252687.476,-39.13180161,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_065.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
62,62,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_066,2/2/2017,9:28:47,18.18110965,-65.15141448,2058758.039,-7252622.284,-45.29499817,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_066.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
