Index,category,description,nagari,word
145,animal,mule,अश्वतर,ashvatar
146,animal,"sheep, and also wool",अवि,avi
147,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),बलाय,balay
148,animal,goat,बस्त,bast
149,animal,the name of a noxious animal,भरूजी,bharuji
150,animal,the name of an animal,भौमक,bhaumak
151,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),भौमी,bhaumi
152,animal,the name of an animal,चराचर,charachar
153,animal,quadruped,चतुष्पद,chatushpad
154,animal,goat,छग,chhag
155,animal,the name of an animal,चिलवटि,chilvati
156,animal,suckling calf,धरुण,dharun
157,animal,milch cow,धेनु,dhenu
158,animal,cow that has stopped giving milk,धेनुष्टरी,dhenushtari
159,animal,camel,धूम्र,dhumr
160,animal,two-year-old cow,दित्यौही,dityauhi
161,animal,two-year-old bull,दित्यवाह,dityavah
162,animal,milk-yielding cow,दुघ,dugh
163,animal,wild boar,दुर्वराह,durvarah
164,animal,"biped, denotes a human as opposed to quadrupeds",द्विपाद,dvipad
165,animal,panther or leopard,द्वीपिन,dvipin
166,animal,having double seed; an epithet of mare and ass (because they birth the mule),द्विरेतस,dviretas
167,animal,a vicious ram,एडक,edak
168,animal,female antelope,एणी,eni
169,animal,a species of swift deer but probably not gazelles,एत,et
170,animal,elephant,गज,gaj
171,animal,ass,गर्दभ,gardabh
172,animal,a species of ox (Bos gavaeus),गवय,gavay
173,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),घृणिवन्त,ghrnivant
174,animal,an ox or a cow,गो,go
175,animal,a crocodile or a large lizard,गोधा,godha
176,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),गोलत्तिका,golattika
177,animal,a young cow that has calved only once,गृष्टि,grishti
178,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),हलिक्ष्ण,halikshn
179,animal,gazelle,हरिण,harin
180,animal,elephant,हस्तिन,hastin
181,animal,horse,हय,hay
182,animal,elephant,इभ,ibh
183,animal,"the polecat, mentioned  in the list of victims at the ashwamedh (horse sacrifice)",जहका,jahaka
184,animal,"bat, mentioned in the list of victims at the ashwamedh (horse sacrifice)",जतू,jatu
185,animal,ape,कपि,kapi
186,animal,white cow,कर्की,karki
187,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),कश,kash
188,animal,"weasel, polecat, or female ichneumon",कशीका,kashika
189,animal,tortoise,कश्यप,kashyap
190,animal,rhinoceros,खड्ग,khadga
191,animal,rhinoceros,खंग,khang
192,animal,ass,खर,khar
193,animal,"ape, literally, 'what sort of a man?'",किम्पुरुष,kimpurush
194,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),कीर्शा,kirsha
195,animal,"chameleon, mentioned in the list of victims at the ashwamedh (horse sacrifice)",कृकलास,krikalas
196,animal,the name of an animal,कुभ्र,kubhr
197,animal,"name of an animal, possibly gazelle, mentioned in the list of victims at the ashwamedh (horse sacrifice)",कुलुंग,kulung
198,animal,"the name of an animal, possibly some sort of a snake, mentioned in the list of victims at the ashwamedh (horse sacrifice)",कुम्भीनासा,kumbhinasa
199,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),कुण्डृनाची,kundranachi
200,animal,"a crested animal, probably a peacock",कुरीरिन,kuririn
201,animal,dog,कुर्कुर,kurkur
202,animal,tortoise,कूर्म,kurm
203,animal,red goat,लोध,lodh
204,animal,"the name of an animal, possibly jackal or fox, mentioned in the list of victims at the ashwamedh (horse sacrifice)",लोपाश,lopash
205,animal,"a kind of dog found in Vidarbh, can kill tigers",माचल,machal
206,animal,"great castrated ox, mentioned as a dakshina (sacrificial fee) at the rajasuya yagna (royal consecration)",महानिरष्ट,mahanirasta
207,animal,"a high-spirited horse from the Indus region, capable of tearing away the peg of its hobble",महासुहय,mahasuhay
208,animal,buffalo,महिष,mahish
209,animal,great bull,महोक्ष,mahoksh
210,animal,"crocodile, mentioned in the list of victims at the ashwamedh (horse sacrifice)",मकर,makar
211,animal,frog,मण्डूक,manduk
212,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),मांथालव,manthalav
213,animal,"ape, mentioned in the list of victims at the ashwamedh (horse sacrifice)",मर्कट,markat
214,animal,stallion,मर्य,marya
215,animal,a bull that's separated from cows,मर्यक,maryak
216,animal,horse,मय,may
217,animal,"ape, mentioned in the list of victims at the ashwamedh (horse sacrifice)",मयु,mayu
218,animal,"peacock, mentioned in the list of victims at the ashwamedh (horse sacrifice)",मयूर,mayur
219,animal,"ram or sheep; also, the wool of the sheep as used in the soma filter",मेष,mesh
220,animal,wild beast,मृग,mrig
221,animal,elephant,मृगहस्तिन,mrigahastin
222,animal,"elephant , literally, a wild or dangerous animal",मृगवरण,mrigavaran
223,animal,mouse,मूषिक,mushik
224,animal,a small animal or insect,मुष्कर,mushkar
225,animal,a snake or an elephant,नग,nag
226,animal,"the name of an animal, possibly crocodile, mentioned in the list of victims at the ashwamedh (horse sacrifice)",नाक्र,nakra
227,animal,"ichneumon, mentioned in the list of victims at the ashwamedh (horse sacrifice)",नकुल,nakul
228,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),नीलशीर्षणी,nilashirshani
229,animal,"a cow with a calf to which she has to be won over, that is, with a calf substituted for one of her own that's died",निवान्या,nivanya
230,animal,"a cow with a calf to which she has to be won over, that is, with a calf substituted for one of her own that's died",निवान्यावत्सा,nivanyavatsa
231,animal,"the name of an animal, possibly gazelle but could be bear as well, mentioned in the list of victims at the ashwamedh (horse sacrifice)",न्यंकु,nyanku
232,animal,the name of an animal,पदि,padi
233,animal,"the name of an animal, possibly field rat, mentioned in the list of victims at the ashwamedh (horse sacrifice)",पांक्त्र,panktra
234,animal,wild ass,परस्वंत,parasvant
235,animal,cow,पष्ठौही,pashthauhi
236,animal,ox,पष्ठवाह,pashthavah
237,animal,"animal (any animal, including human)",पशु,pashu
238,animal,"ram, mentioned in the list of victims at the ashwamedh (horse sacrifice)",पेत्व,petv
239,animal,deer,पिश,pish
240,animal,"side horse running beside the yoke horses, or a third horse yoked in the front as a leader",प्रष्टि,prashti
241,animal,draught animal,प्रयोग्य,prayogya
242,animal,"the name of an animal, possibly dappled antelope or gazelle, mentioned in the list of victims at the ashwamedh (horse sacrifice)",पृषत,prishat
243,animal,"the name of an animal, possibly dappled antelope, speckled cow, or speckled mare, mentioned in the list of victims at the ashwamedh (horse sacrifice)",पृषति,prishati
244,animal,ape,पुरुषहस्तिन,purushahastin
245,animal,ape,पुरुषमृग,purushamrig
246,animal,"horse, either one yoked to the front as a leader or one drawing a chariot for the first time",पूर्ववह,purvavah
247,animal,ass,रासभ,rasabh
248,animal,bear,ऋक्ष,riksh
249,animal,bull,ऋषभ,rishabh
250,animal,stag,ऋश्य,rishya
251,animal,red cow,रोहिणी,rohini
252,animal,"red mare, red doe, or red horse",रोहित,rohit
253,animal,"deer, mentioned in the list of victims at the ashwamedh (horse sacrifice)",रुरु,ruru
254,animal,hyaena or wild dog,सालावृक,salavrik
255,animal,the name of an animal,संश्लिष्टका,samslishtak
256,animal,swift steed,सप्ति,sapti
257,animal,dog,सारमेय,saramey
258,animal,reptile,सरीसृप,sarisrip
259,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),शका,shaka
260,animal,locust,शलभ,shalabh
261,animal,porcupine,शल्यक,shalyak
262,animal,"a wild animal, akin to a goat, probably a kind of deer",शरभ,sharabh
263,animal,a serpent or a scorpion,शर्कोट,sharkot
264,animal,hare,शश,shash
265,animal,foal,शिशुक,shishuk
266,animal,cat,शित्पुट,shitput
267,animal,jackal,शृगाल,shrigal
268,animal,"the horn of an animal; also, the barb of an arrow",श्रृंग,shring
269,animal,wild boar,शूकर,shukar
270,animal,"white-tusked, elephant",शुक्लदन्त,shukladant
271,animal,bitch,शुनी,shuni
272,animal,dog,श्वान,shvan
273,animal,"beast of prey, savage animal",श्वापद,shvapad
274,animal,porcupine,श्वाविध,shvavidh
275,animal,lion,सिंह,sinh
276,animal,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),सृजय,srijay
277,animal,barren cow,स्तरी,stari
278,animal,wild boar,सूकर,sukar
279,animal,a cow barren after having one calf,सूतवशा,sutavasha
280,animal,"vermin of all sorts, such as flies, mosquitos, lice, and bugs",स्वेदज,svedaj
281,animal,"hyaena, mentioned in the list of victims at the ashwamedh (horse sacrifice)",तरक्षु,tarakshu
282,animal,the name of an animal,तयादर,tayadar
283,animal,three-year-old ox,त्रिवत्स,trivats
284,animal,eighteen-month-old ox,त्र्यवि,tryavi
285,animal,crawling animal,त्सरु,tsaru
286,animal,four-year-old cow,तुर्यौही,turyauhi
287,animal,four-year-old ox,तुर्यवाह,turyavah
288,animal,"otter, mentioned in the list of victims at the ashwamedh (horse sacrifice)",उद्र,udr
289,animal,jackal possibly,उल,ul
290,animal,camel,उष्टि,ushti
291,animal,"a beast of burden, either humped bull, buffalo, or camel, yoked in fours",उष्ट्र,ushtr
292,animal,bull,उस्र,usr
293,animal,mare,वडवा,vadava
294,animal,castrated stallion,वध्रि,vadhri
295,animal,the name of a noxious animal,वघा,vagha
296,animal,an ox that pulls the plough,वाह,vah
297,animal,"beast of burden, usually, but sometimes, a cart",वाहन,vahan
298,animal,draught animal,वहनि,vahani
299,animal,"boa constrictor, mentioned in the list of victims at the ashwamedh (horse sacrifice)",वाहस,vahas
300,animal,a bull that leads herds,वंसग,vamsag
301,animal,boar,वराह,varah
302,animal,elephant,वरण,varan
303,animal,"rhinoceros, mentioned in the list of victims at the ashwamedh (horse sacrifice)",वार्ध्राणस,vardhranasa
304,animal,"cow, possibly barren",वशा,vasha
305,animal,a cow desiring a bull,वाशिता,vashita
306,animal,calf,वत्स,vats
307,animal,young calf,वत्सतर,vatsatar
308,animal,a cow that miscarries,वेहत,vehat
309,animal,wolf,वृक,vrik
310,animal,bull,वृषभ,vrishabh
311,animal,"cat, mentioned in the list of victims at the ashwamedh (horse sacrifice)",वृषदंश,vrishadansh
312,animal,scorpion,वृश्चिक,vrishchik
313,animal,gnawing animal,व्यद्वर,vyadvar
314,animal,yoke animals,यु,yu
315,animal,herd,यूथ,yuth
316,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),अलज,alaj
317,bird,a carrion bird,अलिक्लव,aliklav
318,bird,"an aquatic bird, possibly swan, mentioned in the list of victims at the ashwamedh (horse sacrifice)",आति,ati
319,bird,"crane, mentioned in the list of victims at the ashwamedh (horse sacrifice)",बलाका,balaka
320,bird,the name of a bird of prey,भास,bhas
321,bird,"the brahmany duck (Anas casarca), mentioned in the list of victims at the ashwamedh (horse sacrifice)",चक्रवाक,chakravak
322,bird,"the blue woodpecker (Coractas indica), mentioned in the list of victims at the ashwamedh (horse sacrifice)",चाष,chash
323,bird,"woodpecker, mentioned in the list of victims at the ashwamedh (horse sacrifice)",दार्वाघात,darvaghat
324,bird,"the woodpecker, mentioned in the list of victims at the ashwamedh (horse sacrifice)",दर्विदा,darvida
325,bird,"the gallinule, mentioned in the list of victims at the ashwamedh (horse sacrifice)",दात्यौह,datyauh
326,bird,the name of a bird mentioned in the list of victims at the ashwamedh (horse sacrifice),धुंक्षा,dhunksha
327,bird,crow,ध्वांक्ष,dhvansksh
328,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),गोषादी,goshadi
329,bird,vulture,गृध्र,gridhra
330,bird,"the gander, credited with the ability to separate soma from water; mentioned in the list of victims at the ashwamedh (horse sacrifice)",हंस,hans
331,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),हंससाचि,hansasachi
332,bird,the yellow water-wagtail,हारिद्रव,haridrav
333,bird,name of a bird in the list of victims at the ashwamedh (horse sacrifice),ककर,kakar
334,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),कालका,kalaka
335,bird,sparrow,कलविंक,kalavink
336,bird,"heron, probably",कंक,kank
337,bird,francoline partridge or hazel-cock,कपिंजल,kapinjal
338,bird,pigeon,कपोत,kapot
339,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),कौलीक,kaulik
340,bird,owl or another nocturnal bird,खर्गला,kharagala
341,bird,"blue jay, probably, or maybe partridge",किकिदीवि,kikidivi
342,bird,"cock, mentioned in the list of victims at the ashwamedh (horse sacrifice)",कृकवाकु,krikavaku
343,bird,"curlew or snipe, can extract milk from water when the two fluids are mixed",क्रुञ्च,krunch
344,bird,cock,कुक्कुट,kukkut
345,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),कुलीक,kulika
346,bird,sea crow,कुषीटक,kusitak
347,bird,cock,कुटरु,kutaru
348,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),कुवय,kuvay
349,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),क्वयि,kvayi
350,bird,"quail (Perdix chinensis), mentioned in the list of victims at the ashwamedh (horse sacrifice)",लब,lab
351,bird,"the name of a bird, possibly carrion crow, in the list of victims at the ashwamedh (horse sacrifice)",लोपा,lopa
352,bird,the name of an aquatic bird in the list of victims at the ashwamedh (horse sacrifice),मद्गु,madgu
353,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),पैंगराज,paingaraj
354,bird,"winged creature, more particularly a bird",पक्षिन,pakshin
355,bird,"turtle dove, mentioned in the list of victims at the ashwamedh (horse sacrifice)",पारावात,paravat
356,bird,"wing of a bird, feather of an arrow, and leaf of a tree",पर्ण,parn
357,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),पारूष्णा,parusna
358,bird,"fyling creature, more particularly a bird",पतत्रिन,patatrin
359,bird,"cuckoo, mentioned in the list of victims at the ashwamedh (horse sacrifice)",पिक,pik
360,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),पिप्पक,pippak
361,bird,"the name of an aquatic bird, possibly pelican, in the list of victims at the ashwamedh (horse sacrifice)",प्लव,plav
362,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),पुलीका,pulika
363,bird,the name of an animal in the list of victims at the ashwamedh (horse sacrifice),पुष्करसाद,pushkarasad
364,bird,"the name of a bird, probably falcon",रघत,raghat
365,bird,thrush,रोपणाका,ropanaka
366,bird,eagle or vulture,सघन,saghan
367,bird,"a large bird, or a bird which gives omens",शकुन,shakun
368,bird,"bird, foretold ill luck; possibly falcon, raven or crow; mentioned in the list of victims at the ashwamedh (horse sacrifice)",शकुनि,shakuni
369,bird,bird,शकुन्त,shakunt
370,bird,little bird,शकुन्तक,shakuntak
371,bird,bird of omen,शकुन्ति,shakunti
372,bird,"wild chatak, mentioned in the list of victims at the ashwamedh (horse sacrifice)",शार्ग,sharg
373,bird,"the name of a bird, possibly starling, in the list of victims at the ashwamedh (horse sacrifice)",शारि,shari
374,bird,"some sort of a bird or, possibly, a chameleon",शयण्डक,shayandak
375,bird,parrot,शुक,shuk
376,bird,"small owl, mentioned in the list of victims at the ashwamedh (horse sacrifice)",शुशुलूक,shushuluk
377,bird,"a strong bird of prey, most probably eagle but also possibly falcon or hawk",श्येन,shyen
378,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),सीचापू,sichapu
379,bird,"a large bird of prey, specifically an eagle or vulture",सुपर्ण,suparn
380,bird,swift flying bird,तक्वन,takvan
381,bird,owl,उलूक,uluk
382,bird,"quail, mentioned in the list of victims at the ashwamedh (horse sacrifice)",वर्तिका,vartika
383,bird,a common name for birds,वयस,vayas
384,bird,large bird,वायस,vayas
385,bird,the name for a bird,वि,vi
386,bird,cock or white heron,विदीगय,vidigay
387,bird,the name of a bird in the list of victims at the ashwamedh (horse sacrifice),विककर,vikakar
388,cattle,"draught ox, usually (but not always) castrated",अनडवाह,anadvah
389,cattle,suckling calf,धरुण,dharun
390,cattle,milch cow,धेनु,dhenu
391,cattle,cow that has stopped giving milk,धेनुष्टरी,dhenushtari
392,cattle,two-year-old cow,दित्यौही,dityauhi
393,cattle,two-year-old bull,दित्यवाह,dityavah
394,cattle,milk-yielding cow,दुघ,dugh
395,cattle,an ox or a cow,गो,go
396,cattle,grazing ground,गोष्ठ,goshth
397,cattle,a young cow that has calved only once,गृष्टि,grishti
398,cattle,white cow,कर्की,karki
399,cattle,"great castrated ox, mentioned as a dakshina (sacrificial fee) at the rajasuya yagna (royal consecration)",महानिरष्ट,mahanirasta
400,cattle,buffalo,महिष,mahish
401,cattle,great bull,महोक्ष,mahoksh
402,cattle,a bull that's separated from cows,मर्यक,maryak
403,cattle,"a cow with a calf to which she has to be won over, that is, with a calf substituted for one of her own that's died",निवान्या,nivanya
404,cattle,"a cow with a calf to which she has to be won over, that is, with a calf substituted for one of her own that's died",निवान्यावत्सा,nivanyavatsa
405,cattle,cow,पष्ठौही,pashthauhi
406,cattle,ox,पष्ठवाह,pashthavah
407,cattle,"animal (any animal, including human)",पशु,pashu
408,cattle,draught animal,प्रयोग्य,prayogya
409,cattle,bull,ऋषभ,rishabh
410,cattle,red cow,रोहिणी,rohini
411,cattle,cowshed where cows gathered at midday during teh heat of the day,संगविनी,samgavini
412,cattle,"forenoon, the time when grazing cows are driven together for milking",संगव,sangav
413,cattle,barren cow,स्तरी,stari
414,cattle,a cow barren after having one calf,सूतवशा,sutavasha
415,cattle,good pasture,सुयवस,suyavasa
416,cattle,three-year-old ox,त्रिवत्स,trivats
417,cattle,eighteen-month-old ox,त्र्यवि,tryavi
418,cattle,four-year-old cow,तुर्यौही,turyauhi
419,cattle,four-year-old ox,तुर्यवाह,turyavah
420,cattle,salt ground suited for cattle,उषा,usha
421,cattle,bull,उस्र,usr
422,cattle,an ox that pulls the plough,वाह,vah
423,cattle,draught animal,वहनि,vahani
424,cattle,a bull that leads herds,वंसग,vamsag
425,cattle,"cow, possibly barren",वशा,vasha
426,cattle,a cow desiring a bull,वाशिता,vashita
427,cattle,calf,वत्स,vats
428,cattle,young calf,वत्सतर,vatsatar
429,cattle,a cow that miscarries,वेहत,vehat
430,cattle,bull,वृषभ,vrishabh
431,cattle,"yoke animal, mostly oxen",युग,yug
432,cattle,herd,यूथ,yuth
433,fish,"an aquatic animal, probably dolphin",जष,jash
434,fish,"an aquatic animal, probably dolphin",झाष,jhash
435,fish,crab,कर्कट,karkat
436,fish,the name of a fish,कर्वर,karvar
437,fish,the name of a fish,कुलीकय,kulikay
438,fish,fish,मत्स्य,matsya
439,fish,the name of a fish,रजस,rajas
440,fish,the name of a fish,शकुल,shakul
441,fish,"probably crocodile, alligator, or porpoise (Delphinus gangeticus)",शिंशुमार,shimshumar
442,fish,"probably crocodile, alligator, or porpoise (Delphinus gangeticus)",शिशुमार,shishumar
443,insect,the name of an insect,अल्पसयु,alpasayu
444,insect,bee,आरंगर,arangar
445,insect,"bee, large and black, mentioned in the list of victims at the ashwamedh (horse sacrifice)",भृण्गा,bhringa
446,insect,gadfly,दंश,dansh
447,insect,the name of an insect,एजत्क,ejatk
448,insect,a cochineal insect,इन्द्रगोप,indragop
449,insect,a grain insect,जभ्य,jabhya
450,insect,scorpion,कंकपर्वन,kankaparvan
451,insect,"scorpion, probably",कंकट,kankata
452,insect,firefly,खद्योत,khadyot
