Genotype,GW,Genotype,GW,
CV1,37.1,CV2,39.5,
CV1,59,CV2,38,
CV1,57.9,CV2,11.8,
CV1,61.5,CV2,39,
CV1,46.5,CV2,49.7,
CV1,59.8,CV2,40.3,
CV1,47.2,CV2,36,
CV1,56.6,CV2,39.3,
CV1,44.7,CV2,24.9,
CV1,57.2,CV2,21.3,
CV1,58.6,CV2,36,
CV1,53.5,CV2,40,
CV1,22.8,CV2,49.1,
CV1,43.7,CV2,24.7,
CV1,44,CV2,48.6,
CV1,41.8,CV2,30,
CV1,41.4,CV2,19.4,
CV1,34.9,CV2,14.4,
CV1,59.1,CV2,42,
CV1,41,CV2,29.6,
CV1,60.5,CV2,46.3,
CV1,53.1,CV2,34.6,
CV1,51.6,CV2,32.1,
CV1,32.4,CV2,35.7,
CV1,37.9,CV2,41.6,
CV1,61,CV2,49.4,
CV1,50.8,CV2,4,
CV1,46.7,CV2,35,
CV1,56.8,CV2,51.7,
CV1,51.6,CV2,52.1,
CV1,43.5,CV2,36.5,
CV1,22.4,CV2,44,
CV1,51.9,CV2,34.9,
CV1,31.2,CV2,21,
CV1,55,CV2,33,
CV1,57.9,CV2,35,
CV1,54.5,CV2,47.5,
CV1,50.9,CV2,48.4,
CV1,43,CV2,14.7,
CV1,37,CV2,25,
CV1,45,CV2,38.9,
CV1,50.2,CV2,48.7,
CV1,50,CV2,33,
CV1,27.8,CV2,24,
CV1,43,CV2,40.6,
CV1,51.7,CV2,36,
CV1,31.8,CV2,35.2,
CV1,32.3,CV2,38,
CV1,62.7,CV2,44,
CV1,24.7,CV2,46,
CV1,60.5,CV2,16.2,
CV1,48,CV2,38.6,
CV1,51.4,CV2,41.5,
CV1,60.6,CV2,29.3,
CV1,65.3,CV2,47.5,
CV1,50.9,CV2,45,
CV1,50.9,CV2,44,
CV1,44.3,CV2,41,
CV1,30.8,CV2,45.8,
CV1,58.5,CV2,43.6,
CV1,46.4,CV2,42.9,
CV1,51.8,CV2,42,
CV1,29.4,CV2,31.7,
CV1,52.2,CV2,43.8,
CV1,61.8,CV2,43,
CV1,43.7,CV2,38.8,
CV1,56.7,CV2,22,
CV1,39,CV2,20.1,
CV1,40.2,CV2,41.6,
CV1,36.2,CV2,48.4,
CV1,41.6,CV2,33.8,
CV1,48.5,CV2,26.4,
CV1,51,CV2,36.4,
CV1,50.6,CV2,38.3,
CV1,57.8,CV2,52.4,
CV1,47.5,CV2,51.7,
CV1,63.3,CV2,47,
CV1,49.6,CV2,48.3,
CV1,50.4,CV2,49.6,
CV1,44.3,CV2,52.8,
CV1,54.3,CV2,36,
CV1,46.9,CV2,42,
CV1,51.1,CV2,26.1,
CV1,48.8,CV2,48,
CV1,47.7,CV2,48.8,
CV1,59.4,CV2,45.3,
CV1,57.8,CV2,45,
CV1,38.1,CV2,43.7,
CV1,35.5,CV2,44,
CV1,50.9,CV2,51.4,
CV1,39.5,CV2,49.7,
CV1,60.4,CV2,49.2,
CV1,62.1,CV2,46.9,
CV1,38.8,CV2,7,
CV1,64.6,CV2,27.5,
CV1,57.5,CV2,47.4,
CV1,33.2,CV2,39.7,
CV1,52.6,CV2,46.6,
CV1,51.8,CV2,36,
CV1,45.4,CV2,53.3,
CV1,43.8,CV2,52.7,
CV1,57.9,CV2,44,
CV1,49.6,CV2,46.2,
CV1,38.9,CV2,24.6,
CV1,67.4,CV2,43.1,
CV1,61,CV2,27.5,
CV1,31.1,CV2,54.1,
CV1,55,CV2,43,
CV1,53.1,CV2,35,
CV1,43.3,CV2,46.5,
CV1,46.8,CV2,30.6,
CV1,47.4,CV2,45.7,
CV1,41.2,CV2,43,
CV1,27.9,CV2,21.2,
CV1,43.6,CV2,44.9,
CV1,29.3,CV2,37,
CV1,45.1,CV2,42.7,
CV1,55.5,CV2,27.9,
CV1,55.1,CV2,38,
CV1,46.8,CV2,45,
CV1,55.6,CV2,48.2,
CV1,48.1,CV2,54.4,
CV1,46.4,CV2,52.5,
CV1,62.3,CV2,50.6,
CV1,40.7,CV2,39,
CV1,49.3,CV2,21.4,
CV1,33.4,CV2,26,
CV1,36.6,CV2,40,
CV1,55.8,CV2,39.8,
CV1,46.1,CV2,28.5,
CV1,50.6,CV2,42,
CV1,47.3,CV2,30.4,
CV1,52.3,CV2,23.2,
CV1,54.3,CV2,53.6,
CV1,54.1,CV2,42,
CV1,48.2,CV2,43,
CV1,55.5,CV2,45.1,
CV1,44.2,CV2,37.9,
CV1,71,CV2,42,
CV1,55.1,CV2,51.9,
CV1,39.1,CV2,24.9,
CV1,37.1,CV2,44,
CV1,46.3,CV2,42,
CV1,56.1,CV2,42,
CV1,43.4,CV2,54.1,
CV1,52.7,CV2,53.4,
CV1,42.6,CV2,36.1,
CV1,70.5,CV2,39.4,
CV1,57.7,CV2,38,
CV1,50.2,CV2,53.4,
CV1,46,CV2,51.1,
CV1,36.9,CV2,49.2,
CV1,44.9,CV2,29.4,
CV1,47.6,CV2,29.8,
CV1,48.9,CV2,44,
CV1,46.9,CV2,43,
CV1,46.2,CV2,41.4,
CV1,57.6,CV2,49.4,
CV1,41,CV2,13.4,
CV1,45,CV2,44.2,
CV1,51.8,CV2,33.1,
CV1,61.3,CV2,33,
CV1,61.3,CV2,48.9,
CV1,52.2,CV2,37.3,
CV1,23,CV2,50,
CV1,34.5,CV2,32.7,
CV1,63.3,CV2,50.9,
CV1,61.4,CV2,47,
CV1,61.4,CV2,38.9,
CV1,22.7,CV2,43,
CV1,60,CV2,51,
CV1,49,CV2,35.3,
CV1,54.9,CV2,42,
CV1,58.4,CV2,48.8,
CV1,61.3,CV2,45,
CV1,61.3,CV2,47.8,
CV1,40.4,CV2,44.9,
CV1,37.6,CV2,41.7,
CV1,61.7,CV2,25.1,
CV1,39.2,CV2,44,
CV1,54.4,CV2,35,
CV1,42.3,CV2,40.9,
CV1,55.5,CV2,34.3,
CV1,64,CV2,17,
CV1,46.3,CV2,43.7,
CV1,57.4,CV2,52.2,
CV1,50.8,CV2,39,
CV1,63.1,CV2,43,
CV1,28.5,CV2,22.4,
CV1,50.8,CV2,47,
CV1,36.8,CV2,34.6,
CV1,62.4,CV2,50,
CV1,27.9,CV2,42,
CV1,47,CV2,31.7,
CV1,42.5,CV2,27.9,
CV1,18,CV2,35.9,
CV1,46,CV2,38.5,
CV1,36.8,CV2,41.7,
CV1,24.9,CV2,48.6,
CV1,42.8,CV2,48,
CV1,30.6,CV2,28.6,
CV1,48.3,CV2,46.7,
CV1,11.5,CV2,37.4,
CV1,31.6,CV2,46.7,
CV1,34.8,CV2,26.3,
CV1,42.3,CV2,49,
CV1,17.7,CV2,50,
CV1,46.8,CV2,23.3,
CV1,34.3,CV2,51,
CV1,27.7,CV2,42,
CV1,49.3,CV2,29.9,
CV1,36.4,CV2,38.3,
CV1,41.5,CV2,51.1,
CV1,29.8,CV2,43.1,
CV1,25.1,CV2,39.3,
CV1,36.5,CV2,46.5,
CV1,24.1,CV2,49.7,
CV1,12.1,CV2,23.9,
CV1,40.5,CV2,13.6,
CV1,20.2,CV2,34.7,
CV1,2.9,CV2,42.5,
CV1,24.1,CV2,46.3,
CV1,29.3,CV2,42,
CV1,18.9,CV2,50.1,
CV1,30,CV2,42.3,
CV1,36.4,CV2,53.7,
CV1,35.9,CV2,51.9,
CV1,6.2,CV2,51.8,
CV1,35.7,CV2,35.4,
CV1,18.8,CV2,52,
CV1,48.8,CV2,46.5,
CV1,21.9,CV2,26,
CV1,41.2,CV2,33.5,
CV1,37.7,CV2,53,
CV1,19.9,CV2,54,
CV1,29.5,CV2,42.6,
CV1,19.1,CV2,55,
CV1,29.8,CV2,53.7,
CV1,30.4,CV2,20.2,
CV1,38.5,CV2,32.5,
CV1,-0.5,CV2,29.7,
CV1,27.7,CV2,53.1,
CV1,39.7,CV2,53.8,
CV1,14.2,CV2,53.5,
CV1,28.4,CV2,23.2,
CV1,7,CV2,44,
CV1,47.2,CV2,39.6,
CV1,35.6,CV2,38,
CV1,22.4,CV2,50,
CV1,26.3,CV2,44.8,
CV1,18.1,CV2,51,
CV1,34,CV2,58,
CV1,26.3,CV2,49.5,
CV1,30.1,CV2,28.8,
CV1,18.8,CV2,57,
CV1,31.7,CV2,49.7,
CV1,23.4,CV2,47,
CV1,7,CV2,34.1,
CV1,46.3,CV2,45,
CV1,18.9,CV2,18,
CV1,37.3,CV2,49.8,
CV1,29.3,CV2,47.6,
CV1,20.9,CV2,33.1,
CV1,18.7,CV2,25.1,
CV1,38.5,CV2,48.6,
CV1,20.5,CV2,37.4,
CV1,43.6,CV2,34.8,
CV1,44.4,CV2,22.5,
CV1,39.7,CV2,45,
CV1,46.2,CV2,41,
CV1,43.8,CV2,52.9,
CV1,16.3,CV2,32.7,
CV1,19.4,CV2,43,
CV1,25.8,CV2,33.5,
CV1,42.9,CV2,43.5,
CV1,38.7,CV2,44.6,
CV1,23.8,CV2,29.6,
CV1,14.8,CV2,50.4,
CV1,5.8,CV2,27.2,
CV1,30.9,CV2,50.1,
CV1,44.7,CV2,36,
CV1,26,CV2,40.2,
CV1,15.2,CV2,54.6,
CV1,32.7,CV2,37.1,
CV1,35,CV2,43.3,
CV1,44.6,CV2,39,
CV1,53.6,CV2,25.3,
CV1,55.6,CV2,38,
CV1,67.6,CV2,28.6,
CV1,46.1,CV2,37,
CV1,49.1,CV2,52.7,
CV1,63,CV2,45,
CV1,61.1,CV2,44,
CV1,45.2,CV2,24.2,
CV1,48.6,CV2,39.9,
CV1,58.9,CV2,38.6,
CV1,28.1,CV2,45,
CV1,37.6,CV2,21.4,
CV1,41,CV2,51.9,
CV1,43.3,CV2,48.8,
CV1,59.3,CV2,54.1,
CV1,51.3,CV2,26,
CV1,58.8,CV2,39.9,
CV1,45.6,CV2,40.3,
CV1,25,CV2,29.5,
CV1,36.3,CV2,47,
CV1,55,CV2,48,
CV1,43.1,CV2,29.7,
CV1,50.4,CV2,48.2,
CV1,45.8,CV2,14.4,
CV1,54,CV2,54.5,
CV1,44.8,CV2,50.2,
CV1,52.6,CV2,24.1,
CV1,61.1,CV2,16,
CV1,49.1,CV2,32.2,
CV1,56.9,CV2,35.3,
CV1,47.5,CV2,34,
CV1,69,CV2,41.4,
CV1,17.3,CV2,35,
CV1,11.4,CV2,44.3,
CV1,30.9,CV2,50,
CV1,38.6,CV2,55,
CV1,53.6,CV2,42.5,
CV1,53,CV2,52.4,
CV1,48.1,CV2,47.5,
CV1,56.7,CV2,52,
CV1,48.5,CV2,15.2,
CV1,53.4,CV2,29.2,
CV1,59.5,CV2,17.4,
CV1,50.7,CV2,26.8,
CV1,50.3,CV2,51.8,
CV1,56.5,CV2,53.4,
CV1,29.1,CV2,52,
CV1,49.1,CV2,47.2,
CV1,45.7,CV2,46.3,
CV1,60.1,CV2,52.5,
CV1,23.6,CV2,40,
CV1,55.9,CV2,50.1,
CV1,53.9,CV2,47.3,
CV1,52.4,CV2,27.2,
CV1,33.1,CV2,35.2,
CV1,38.4,CV2,50.2,
CV1,33.2,CV2,52.8,
CV1,48.3,CV2,40.8,
CV1,46.4,CV2,46.6,
CV1,51.8,CV2,31.3,
CV1,44.8,CV2,52.5,
CV1,46.2,CV2,53,
CV1,40.4,CV2,49.4,
CV1,28.4,CV2,51.7,
CV1,19.2,CV2,54,
CV1,51.4,CV2,54.5,
CV1,22.5,CV2,12,
CV1,49.1,CV2,55,
CV1,50.4,CV2,44.9,
CV1,52.6,CV2,20,
CV1,53.9,CV2,56,
CV1,42.2,CV2,42.1,
CV1,53.1,CV2,29.2,
CV1,65.9,CV2,47.6,
CV1,46.3,CV2,54.3,
CV1,43.7,CV2,48.3,
CV1,59.2,CV2,48.7,
CV1,64.6,CV2,35.3,
CV1,37.3,CV2,29.8,
CV1,37.5,CV2,28.2,
CV1,49.7,CV2,54.5,
CV1,54.7,CV2,27.2,
CV1,33.2,CV2,47.3,
CV1,32.8,CV2,39.3,
CV1,44.1,CV2,28.1,
CV1,39,CV2,50,
CV1,37.3,CV2,52.1,
CV1,46.2,CV2,41.6,
CV1,21.2,CV2,30.5,
CV1,37.2,CV2,39.4,
CV1,43.7,CV2,58.2,
CV1,36.5,CV2,50.8,
CV1,41.2,CV2,33.9,
CV1,34.4,CV2,35.1,
CV1,32.5,CV2,8.5,
CV1,44.2,CV2,40.4,
CV1,15.8,CV2,46,
CV1,55.5,CV2,35.9,
CV1,32.7,CV2,11.4,
CV1,48.4,CV2,23.8,
CV1,39.7,CV2,44.5,
CV1,70.9,CV2,55.3,
CV1,46.3,CV2,57.5,
CV1,61.2,CV2,53.9,
CV1,50,CV2,17.9,
CV1,59,CV2,62.8,
CV1,29.2,CV2,47.1,
CV1,51.3,CV2,30,
CV1,56.9,CV2,60.6,
CV1,47.6,CV2,32.5,
CV1,41.5,CV2,28.6,
CV1,45.9,CV2,40.5,
CV1,47.9,CV2,53.9,
CV1,52.9,CV2,56.1,
CV1,41.4,CV2,48.1,
CV1,56.7,CV2,46.5,
CV1,35,CV2,34.6,
CV1,29,CV2,46.2,
CV1,53.2,CV2,56.9,
CV1,54.6,CV2,52,
CV1,46.4,CV2,34.3,
CV1,30.6,CV2,47.3,
CV1,43,CV2,68.1,
CV1,26.3,CV2,54.2,
CV1,57.3,CV2,45.3,
CV1,32.7,CV2,61.1,
CV1,43.7,CV2,56.8,
CV1,57.2,CV2,26.3,
CV1,40.2,CV2,39.7,
CV1,54.2,CV2,54.1,
CV1,50.7,CV2,38,
CV1,37.5,CV2,51.2,
CV1,38.5,CV2,34.5,
CV1,43.3,CV2,47.5,
CV1,33.1,CV2,36.6,
CV1,43.3,CV2,46.7,
CV1,39.8,CV2,40.1,
CV1,45,CV2,22.1,
CV1,44.6,CV2,52.2,
CV1,34.9,CV2,14.6,
CV1,46,CV2,24.1,
CV1,47.8,CV2,29.3,
CV1,30.2,CV2,54.1,
CV1,45.6,CV2,37,
CV1,32.5,CV2,52.7,
CV1,49.6,CV2,42.3,
CV1,48.5,CV2,54.6,
CV1,39.8,CV2,39,
CV1,39.8,CV2,35,
CV1,48.6,CV2,41.8,
CV1,64.7,CV2,30.5,
CV1,47.9,CV2,35.3,
CV1,50.8,CV2,44.6,
CV1,53.4,CV2,47.1,
CV1,55.6,CV2,36,
CV1,14.3,CV2,46.4,
CV1,56,CV2,32,
CV1,54.8,CV2,45.3,
CV1,60.4,CV2,42.6,
CV1,54.9,CV2,28.3,
CV1,38,CV2,35.8,
CV1,58.2,CV2,39.6,
CV1,41.2,CV2,49.8,
CV1,22.5,CV2,50.8,
CV1,46.3,CV2,44.3,
CV1,40.1,CV2,50.6,
CV1,41,CV2,50.5,
CV1,36.9,CV2,46.1,
CV1,31.7,CV2,30.2,
CV1,36.3,CV2,51.4,
CV1,53.4,CV2,52.9,
CV1,24.7,CV2,33,
CV1,38.3,CV2,34,
CV1,62.8,CV2,31,
CV1,54.3,CV2,35,
CV1,50.6,CV2,34.7,
CV1,52.2,CV2,45,
CV1,47.3,CV2,47.5,
CV1,47.6,CV2,25.6,
CV1,54.5,CV2,35.7,
CV1,53.8,CV2,31.1,
CV1,49.3,CV2,54.5,
CV1,54.1,CV2,35.5,
CV1,45.8,CV2,54.2,
CV1,50.3,CV2,47,
CV1,35.8,CV2,13.5,
CV1,53.9,CV2,37.4,
CV1,29.9,CV2,38.5,
CV1,16.2,CV2,45.1,
CV1,21.2,CV2,46.1,
CV1,46.1,CV2,48,
CV1,55.4,CV2,51.2,
CV1,40.8,CV2,49,
CV1,42.7,CV2,51,
CV1,42.5,CV2,50,
CV1,49.1,CV2,51,
CV1,34.6,CV2,52,
CV1,45.1,CV2,50.6,
CV1,33.4,CV2,38,
CV1,44.9,CV2,39.3,
CV1,43.5,CV2,53,
CV1,48.7,CV2,52.9,
CV1,51.2,CV2,54,
CV1,52.9,CV2,47.4,
CV1,21.4,CV2,55,
CV1,48.5,CV2,30.5,
CV1,36,CV2,40.2,
CV1,53,CV2,46.9,
CV1,38,CV2,50,
CV1,55.2,CV2,51.2,
CV1,50.2,CV2,50.5,
CV1,41.8,CV2,47.4,
CV1,45.8,CV2,31.3,
CV1,47.5,CV2,51,
CV1,36.8,CV2,50.9,
CV1,51.1,CV2,38.4,
CV1,25.5,CV2,52,
CV1,47.1,CV2,47.4,
CV1,53.2,CV2,51.5,
CV1,38.3,CV2,53.4,
CV1,44.6,CV2,11.4,
CV1,49.1,CV2,50.1,
CV1,37.3,CV2,51.6,
CV1,51.1,CV2,29.9,
CV1,58.7,CV2,54.1,
CV1,32.7,CV2,52.1,
CV1,42.5,CV2,35.7,
CV1,39.3,CV2,44.1,
CV1,48.8,CV2,38,
CV1,31.2,CV2,42.7,
CV1,58.5,CV2,38.7,
CV1,28.1,CV2,53,
CV1,45.8,CV2,29.6,
CV1,53.9,CV2,35.7,
CV1,48.5,CV2,29.5,
CV1,32.6,CV2,54.8,
CV1,37.6,CV2,38.9,
CV1,57.6,CV2,20.4,
CV1,48.1,CV2,59.9,
CV1,35.6,CV2,30.1,
CV1,38.3,CV2,37.9,
CV1,61.2,CV2,46.6,
CV1,44.6,CV2,38,
CV1,43.9,CV2,41.6,
CV1,53.1,CV2,40.9,
CV1,43.6,CV2,53.8,
CV1,50.6,CV2,39.1,
CV1,42.5,CV2,46.6,
CV1,28.2,CV2,57.9,
CV1,37.6,CV2,40.1,
CV1,41.1,CV2,52,
CV1,44.4,CV2,25.8,
CV1,48,CV2,42.7,
CV1,47.4,CV2,35,
CV1,55.1,CV2,40.6,
CV1,40,CV2,66.5,
CV1,43.6,CV2,35,
CV1,26.5,CV2,35,
CV1,53.4,CV2,38.3,
CV1,39.9,CV2,26.2,
CV1,48.4,CV2,49.8,
CV1,47.2,CV2,35,
CV1,55.1,CV2,26.9,
CV1,43.7,CV2,39.6,
CV1,42.7,CV2,35,
CV1,59.7,CV2,58.1,
CV1,15.8,CV2,35,
CV1,44.7,CV2,38,
CV1,47.6,CV2,45.7,
CV1,50.7,CV2,39.6,
CV1,62.3,CV2,56.1,
CV1,38.6,CV2,35.5,
CV1,34,CV2,54.9,
CV1,27.6,CV2,57.8,
CV1,58.7,CV2,28.3,
CV1,29.8,CV2,61.7,
CV1,35.1,CV2,54.4,
CV1,31.5,CV2,40.3,
CV1,55.9,CV2,53.6,
CV1,38.1,CV2,22.3,
CV1,38.1,CV2,62.6,
CV1,52.8,CV2,51.3,
CV1,20,CV2,49.4,
CV1,47.4,CV2,50.9,
CV1,29.1,CV2,38,
CV1,50.4,CV2,62.2,
CV1,68.8,CV2,48.2,
CV1,37.8,CV2,36.5,
CV1,41.4,CV2,53.3,
CV1,59.6,CV2,63.3,
CV1,48.7,CV2,17.7,
CV1,64.6,CV2,28.7,
CV1,46.8,CV2,38.7,
CV1,44.9,CV2,55.5,
CV1,23.8,CV2,55.3,
CV1,28.9,CV2,55.1,
CV1,56.8,CV2,25.6,
CV1,60,CV2,57.7,
CV1,57.9,CV2,31.7,
CV1,41.2,CV2,40.1,
CV1,51,CV2,55.2,
CV1,48.6,CV2,49.5,
CV1,56.6,CV2,36.3,
CV1,53.3,CV2,56.9,
CV1,43.9,CV2,48.6,
CV1,60.7,CV2,56.4,
CV1,41.4,CV2,29.9,
CV1,58,CV2,61.1,
CV1,21.2,CV2,58.5,
CV1,39.2,CV2,48.1,
CV1,36.1,CV2,48.8,
CV1,53,CV2,33.6,
CV1,38.5,CV2,53.1,
CV1,36.3,CV2,49.1,
CV1,57.8,CV2,36.9,
CV1,33.4,CV2,53.8,
CV1,39.8,CV2,26,
CV1,54.6,CV2,51.8,
CV1,30.4,CV2,38.9,
CV1,38.8,CV2,51.4,
CV1,64.5,CV2,39.4,
CV1,51.2,CV2,42.9,
CV1,39.9,CV2,47.3,
CV1,52.2,CV2,52.8,
CV1,27.7,CV2,54.9,
CV1,59.9,CV2,47.4,
CV1,56.7,CV2,28.2,
CV1,56.8,CV2,36.1,
CV1,23.8,CV2,39.9,
CV1,23,CV2,54.9,
CV1,54.3,CV2,42.2,
CV1,39.6,CV2,46.9,
CV1,37.8,CV2,38.8,
CV1,44.3,CV2,46.5,
CV1,43.7,CV2,54.9,
CV1,56.1,CV2,27.6,
CV1,30.9,CV2,24.5,
CV1,40.7,CV2,48.4,
CV1,56,CV2,43.2,
CV1,44,CV2,43.8,
CV1,42.4,CV2,56.1,
CV1,47,CV2,42.1,
CV1,43,CV2,44.6,
CV1,23.7,CV2,57.4,
CV1,31.4,CV2,42.4,
CV1,50.4,CV2,50.6,
CV1,42.7,CV2,57.9,
CV1,61.4,CV2,50,
CV1,26.9,CV2,53.8,
CV1,43.8,CV2,47.1,
CV1,43.9,CV2,22.6,
CV1,45.9,CV2,51.7,
CV1,63,CV2,41.1,
CV1,42.7,CV2,59.7,
CV1,32.5,CV2,13.1,
CV1,17,CV2,45,
CV1,1,CV2,34,
CV1,35,CV2,56.2,
CV1,55.9,CV2,59.5,
CV1,26.1,CV2,45.9,
CV1,64.6,CV2,7.3,
CV1,55.1,CV2,52.9,
CV1,51.3,CV2,48.6,
CV1,22.8,CV2,44.8,
CV1,59.8,CV2,59.2,
CV1,47.8,CV2,57.2,
CV1,30.3,CV2,57.7,
CV1,53.5,CV2,37.2,
CV1,58.1,CV2,35,
CV1,59.7,CV2,41.8,
CV1,37.9,CV2,37.7,
CV1,18.7,CV2,21.3,
CV1,37.5,CV2,23.3,
CV1,64.5,CV2,34.7,
CV1,56.6,CV2,44.4,
CV1,49.8,CV2,36.9,
CV1,67.7,CV2,52.7,
CV1,42.5,CV2,39.9,
CV1,53.2,CV2,49.9,
CV1,41.3,CV2,27.3,
CV1,48.7,CV2,24,
CV1,67.8,CV2,54.6,
CV1,58.9,CV2,50.1,
CV1,47.5,CV2,47.5,
CV1,55.9,CV2,58.9,
CV1,60.1,CV2,35.1,
CV1,51.7,CV2,38.4,
CV1,48.7,CV2,30.1,
CV1,48.2,CV2,37.8,
CV1,46,CV2,47.6,
CV1,47.8,CV2,20.7,
CV1,30.6,CV2,25.6,
CV1,49.9,CV2,47.7,
CV1,56.4,CV2,38,
CV1,42.3,CV2,40.6,
CV1,59.7,CV2,28.2,
CV1,40.6,CV2,25.1,
CV1,52.2,CV2,52.7,
CV1,25.7,CV2,44.4,
CV1,29.4,CV2,60,
CV1,47.4,CV2,12.2,
CV1,55.2,CV2,38.7,
CV1,47.8,CV2,61.1,
CV1,57,CV2,39.7,
CV1,25.7,CV2,40.2,
CV1,59.2,CV2,48.2,
CV1,49.8,CV2,41.2,
CV1,49.4,CV2,50.8,
CV1,52.6,CV2,62.1,
CV1,32.4,CV2,39.6,
CV1,65.9,CV2,34.7,
