Year,Open,High,Low,Close
2019,"28,392","28,815","28,316","28,467"
2018,"28,164","28,654","27,554","28,392"
2017,"28,385","29,140","27,770","28,154"
2023,"27,323","28,612","27,129","28,385"
2023,"27,041","27,492","26,674","27,329"
2023,"27,812","28,133","26,576","27,041"
2023,"27,387","28,186","27,384","27,811"
2023,"27,617","27,806","27,067","27,387"
2022,"28,312","28,447","27,548","27,632"
2021,"27,381","28,732","27,041","28,312"
2020,"28,117","28,796","26,700","27,360"
2019,"28,047","28,462","27,421","28,117"
2018,"27,963","28,502","27,201","28,047"
2017,"27,413","28,432","26,912","27,963"
2023,"26,791","27,788","26,791","27,413"
2023,"24,701","26,991","24,701","26,791"
2023,"24,369","25,187","24,215","24,701"
2023,"24,674","25,260","23,989","24,371"
2023,"24,126","26,425","23,951","24,674"
2023,"21,403","24,538","21,255","24,126"
2022,"20,453","21,432","20,392","21,397"
2021,"20,096","20,784","19,889","20,453"
2020,"20,244","20,475","19,594","20,091"
2019,"22,005","22,005","20,125","20,244"
2018,"22,050","22,267","21,883","22,006"
2017,"22,404","22,529","21,971","22,050"
2023,"22,482","22,571","22,313","22,401"
2023,"22,226","22,633","22,215","22,482"
2023,"22,246","22,411","22,170","22,224"
2023,"23,417","23,549","22,111","22,246"
2023,"23,542","23,783","23,219","23,427"
2023,"23,142","23,942","23,046","23,542"
2023,"23,386","23,613","23,056","23,159"
2023,"23,564","23,869","23,172","23,386"
2023,"22,951","23,677","22,931","23,565"
2022,"23,131","23,241","22,802","22,951"
2021,"23,897","24,118","22,934","23,131"
2020,"23,804","24,592","23,623","23,897"
2019,"24,183","24,468","23,604","23,804"
2018,"24,762","25,147","24,183","24,183"
2017,"24,544","25,098","23,896","24,762"
2023,"24,624","25,175","24,308","24,544"
2023,"24,593","24,839","24,116","24,624"
2023,"24,520","24,987","23,382","24,593"
2023,"24,173","25,193","24,145","24,520"
2023,"22,251","24,189","22,066","24,173"
2023,"21,624","22,304","21,611","22,251"
2023,"21,739","21,894","21,437","21,621"
2023,"21,829","22,086","21,714","21,739"
2023,"21,543","21,839","21,527","21,829"
2022,"21,841","21,940","21,507","21,543"
2021,"22,960","22,999","21,757","21,841"
2020,"23,191","23,405","22,711","22,960"
2019,"22,918","23,297","22,650","23,201"
2018,"22,896","23,150","22,643","22,918"
2017,"23,417","23,452","22,782","22,896"
2023,"23,380","23,575","23,278","23,417"
2023,"23,598","23,706","23,244","23,387"
2023,"23,678","24,205","23,581","23,598"
2023,"22,950","23,789","22,820","23,678"
2023,"22,743","23,182","22,549","22,950"
2023,"23,792","23,870","22,644","22,732"
2023,"23,005","23,940","22,975","23,792"
2023,"23,097","23,184","22,900","23,005"
2023,"23,072","23,478","22,587","23,097"
2022,"23,576","23,762","22,856","23,068"
2021,"22,903","23,641","22,358","23,576"
2020,"22,989","23,158","22,783","22,900"
2019,"22,599","23,137","22,550","22,989"
2018,"23,199","23,215","22,357","22,579"
2017,"22,336","23,318","22,328","23,199"
2023,"20,941","22,387","20,887","22,336"
2023,"20,772","21,162","20,659","20,941"
2023,"21,330","21,532","20,502","20,775"
2023,"21,130","21,427","20,906","21,330"
2023,"20,898","21,413","20,700","21,129"
2023,"20,900","21,066","20,577","20,898"
2023,"19,818","21,204","19,751","20,888"
2023,"18,836","19,866","18,727","19,818"
2023,"17,556","19,051","17,517","18,822"
2022,"17,475","17,570","17,323","17,556"
2021,"17,190","17,489","17,134","17,475"
2020,"16,955","17,399","16,952","17,190"
2019,"16,943","17,007","16,913","16,953"
2018,"16,929","16,981","16,909","16,943"
2017,"16,846","17,002","16,698","16,929"
2023,"16,821","16,846","16,771","16,846"
2023,"16,667","16,980","16,641","16,820"
2023,"16,725","16,799","16,609","16,667"
2023,"16,591","16,758","16,544","16,725"
2023,"16,549","16,617","16,491","16,591"
2022,"16,576","16,634","16,541","16,549"
2022,"16,599","16,644","16,340","16,576"
2022,"16,517","16,656","16,478","16,599"
2023,"16,698","16,759","16,478","16,517"
2022,"16,821","16,957","16,603","16,698"
2021,"16,823","16,910","16,794","16,821"
2020,"16,836","16,863","16,744","16,823"
2019,"16,815","16,865","16,765","16,836"
2018,"16,791","16,900","16,769","16,815"
2017,"16,790","16,862","16,569","16,791"
2022,"16,883","16,923","16,729","16,790"
2022,"16,583","17,023","16,300","16,883"
2022,"16,750","16,820","16,499","16,583"
2022,"16,709","16,796","16,671","16,750"
2022,"16,835","16,869","16,534","16,709"
2022,"17,384","17,524","16,754","16,835"
2022,"17,818","17,861","17,340","17,384"
2022,"17,764","18,338","17,698","17,818"
2023,"17,153","17,889","17,094","17,764"
2022,"17,109","17,191","16,884","17,153"
2021,"17,129","17,258","17,093","17,109"
2020,"17,109","17,219","17,106","17,129"
2019,"17,178","17,274","17,077","17,109"
2018,"16,833","17,288","16,763","17,178"
2017,"16,994","17,125","16,692","16,833"
2022,"16,970","17,092","16,920","16,994"
2022,"17,113","17,416","16,890","16,970"
2022,"16,957","17,151","16,876","17,113"
2022,"17,016","17,133","16,907","16,957"
2022,"16,931","17,098","16,859","17,016"
2022,"17,102","17,211","16,876","16,931"
2022,"16,454","17,103","16,429","17,102"
2022,"16,193","16,528","16,094","16,454"
2022,"16,570","16,586","16,018","16,193"
2022,"16,507","16,587","16,390","16,570"
2022,"16,503","16,678","16,425","16,507"
2023,"16,537","16,606","16,352","16,503"
2022,"16,482","16,769","16,448","16,537"
2021,"16,137","16,622","16,091","16,482"
2020,"15,602","16,251","15,599","16,137"
2019,"16,251","16,331","15,508","15,602"
2018,"16,665","16,799","16,236","16,251"
2017,"16,640","16,703","16,552","16,665"
2022,"16,681","16,963","16,544","16,640"
2022,"16,538","16,723","16,407","16,681"
2022,"16,880","16,968","16,381","16,538"
2022,"16,393","17,094","16,344","16,880"
2022,"16,380","17,111","15,807","16,393"
2022,"16,793","16,911","16,250","16,380"
2022,"16,773","17,092","16,619","16,793"
2022,"17,807","17,857","16,429","16,773"
2022,"15,788","18,096","15,614","17,807"
2022,"18,711","18,724","15,691","15,788"
2022,"20,667","20,667","17,302","18,711"
2023,"21,132","21,179","20,621","20,667"
2022,"21,367","21,372","21,125","21,132"
2021,"21,147","21,486","21,085","21,367"
2020,"20,240","21,200","20,164","21,147"
2019,"20,192","20,387","20,063","20,240"
2018,"20,481","20,739","20,118","20,192"
2017,"20,407","20,670","20,368","20,481"
2022,"20,683","20,819","20,274","20,407"
2022,"20,865","20,944","20,578","20,688"
2022,"20,634","21,020","20,566","20,865"
2022,"20,418","20,738","20,055","20,649"
2022,"20,754","20,901","20,261","20,418"
2022,"20,172","20,985","20,023","20,754"
2022,"19,374","20,397","19,240","20,172"
2022,"19,498","19,674","19,168","19,374"
2022,"19,218","19,517","19,081","19,498"
2022,"19,179","19,252","19,118","19,220"
2022,"19,027","19,227","18,734","19,179"
2023,"19,196","19,302","18,937","19,022"
2022,"19,365","19,375","19,113","19,196"
2021,"19,527","19,683","19,113","19,373"
2020,"19,349","19,631","19,128","19,527"
2019,"19,103","19,395","19,010","19,352"
2018,"19,186","19,219","19,052","19,103"
2017,"19,382","19,916","19,139","19,187"
2022,"19,163","19,501","18,271","19,382"
2022,"19,026","19,188","18,999","19,148"
2022,"19,243","19,270","18,888","19,026"
2022,"19,477","19,518","19,137","19,243"
2022,"19,461","19,558","19,278","19,477"
2022,"19,549","19,643","19,424","19,461"
2022,"20,055","20,055","19,351","19,549"
2022,"20,022","20,438","19,890","20,049"
2022,"20,350","20,402","19,779","20,022"
2022,"19,590","20,420","19,511","20,350"
2022,"19,227","19,630","18,945","19,590"
2022,"19,250","19,391","19,062","19,231"
2022,"19,425","19,476","19,218","19,250"
2022,"19,483","20,131","19,198","19,420"
2023,"19,574","19,726","18,825","19,483"
2022,"19,055","19,623","18,506","19,565"
2021,"19,121","20,366","18,854","19,055"
2020,"18,888","19,288","18,662","19,135"
2019,"19,138","19,142","18,817","18,888"
2018,"18,852","19,386","18,813","19,138"
2017,"19,247","19,481","18,571","18,852"
2022,"18,918","19,470","18,189","19,247"
2022,"18,976","19,713","18,808","18,918"
2022,"19,520","19,663","18,803","18,970"
2022,"19,721","19,721","18,397","19,520"
2022,"20,081","20,147","19,597","19,721"
2022,"19,743","20,178","19,705","20,081"
2022,"19,836","19,896","19,360","19,743"
2022,"19,948","20,376","19,555","19,836"
2022,"20,254","20,487","19,646","19,948"
2022,"22,396","22,733","20,079","20,254"
2022,"21,643","22,467","21,500","22,396"
2022,"21,487","21,860","21,426","21,643"
2022,"21,285","21,712","21,192","21,487"
2022,"19,371","21,411","19,258","21,285"
2023,"19,393","19,450","19,083","19,371"
2022,"18,962","19,447","18,582","19,393"
2021,"19,743","20,147","18,734","18,962"
2020,"19,898","20,048","19,646","19,743"
2019,"19,739","19,936","19,605","19,898"
2018,"19,965","20,044","19,663","19,739"
2017,"20,076","20,411","19,778","19,965"
2022,"20,207","20,291","19,591","20,076"
2022,"19,975","20,476","19,763","20,207"
2022,"20,188","20,567","19,583","19,975"
2022,"19,999","20,379","19,544","20,188"
2022,"20,000","20,152","19,836","19,999"
2022,"20,657","20,683","19,873","20,000"
2022,"21,647","21,795","20,565","20,667"
2022,"21,693","21,806","21,306","21,647"
2022,"21,489","21,879","21,173","21,697"
2022,"21,126","21,597","20,925","21,489"
2022,"21,520","21,688","20,958","21,107"
2022,"20,856","21,723","20,813","21,520"
2022,"21,278","21,361","20,820","20,856"
2022,"23,413","23,426","21,189","21,278"
2023,"23,408","23,577","23,236","23,417"
2022,"23,973","24,447","23,206","23,408"
2021,"24,070","24,253","23,669","23,973"
2020,"24,320","25,199","23,912","24,070"
2019,"24,505","24,992","24,178","24,327"
2018,"24,235","24,886","24,090","24,505"
2017,"24,214","24,311","23,634","24,244"
2022,"23,909","24,859","23,792","24,214"
2022,"23,147","24,117","22,720","23,880"
2022,"24,073","24,073","22,898","23,147"
2022,"23,271","24,234","23,081","24,073"
2022,"23,167","23,285","22,863","23,271"
2022,"22,969","23,347","22,969","23,167"
2022,"22,503","23,455","22,467","22,969"
2022,"23,324","23,367","22,443","22,503"
2022,"23,015","23,607","22,698","23,324"
2022,"23,027","23,450","22,679","23,015"
2022,"23,804","23,824","22,878","23,027"
2022,"23,979","24,164","23,439","23,804"
2022,"23,952","24,613","23,704","23,979"
2022,"24,012","24,310","23,486","23,952"
2023,"22,795","24,167","22,586","24,012"
2022,"20,964","23,026","20,834","22,795"
2021,"22,166","22,176","20,753","20,964"
2020,"22,749","23,007","21,582","22,166"
2019,"22,319","22,876","22,242","22,749"
2018,"22,603","22,999","21,978","22,319"
2017,"23,134","23,689","22,532","22,603"
2022,"23,305","23,780","22,376","23,134"
2022,"23,308","24,258","22,925","23,305"
2022,"21,514","23,660","21,456","23,308"
2022,"20,938","22,725","20,756","21,514"
2022,"21,165","21,645","20,853","20,938"
2022,"20,925","21,561","20,481","21,165"
2022,"20,660","21,181","20,384","20,925"
2022,"19,663","20,835","19,642","20,660"
2022,"19,434","20,013","18,975","19,663"
2022,"20,402","20,403","19,306","19,434"
2022,"20,960","21,158","20,301","20,396"
2022,"21,686","21,737","20,684","20,960"
2022,"21,834","21,997","21,323","21,668"
2022,"21,608","22,336","21,208","21,834"
2023,"20,394","21,808","20,258","21,608"
2022,"20,439","20,457","19,765","20,394"
2021,"19,532","20,692","19,395","20,459"
2020,"19,106","19,850","19,044","19,532"
2019,"19,295","19,319","18,782","19,106"
2018,"19,420","19,489","18,997","19,295"
2017,"18,731","20,742","18,706","19,414"
2022,"20,188","20,314","18,669","18,731"
2022,"20,253","20,414","19,885","20,171"
2022,"20,900","21,174","20,198","20,253"
2022,"21,390","21,490","20,553","20,900"
2022,"21,222","21,857","21,138","21,390"
2022,"21,194","21,524","20,916","21,222"
2023,"20,797","21,351","20,676","21,194"
2022,"19,898","21,023","19,827","20,802"
2021,"20,836","20,979","19,781","19,898"
2020,"20,444","21,664","20,257","20,836"
2019,"20,501","20,940","19,840","20,444"
2018,"17,727","20,635","17,727","20,501"
2017,"20,618","20,723","17,630","17,727"
2022,"20,683","21,268","20,219","20,627"
2022,"21,693","22,899","20,522","20,683"
