_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
42,CT#42,NHMUK,010820588,Orientalibombus,Bombus haemorrhoidalis,1909,Jun,NA,India,"Naga Hills, Kohima",26,95,NA,NA,H. C. Tytler,Queen
43,CT#43,NHMUK,010820589,Orientalibombus,Bombus haemorrhoidalis,1930,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610.00,610.00,F. Kingdon Ward,Worker
44,CT#44,NHMUK,010820590,Orientalibombus,Bombus haemorrhoidalis,1930,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610.00,610.00,F. Kingdon Ward,Worker
45,CT#45,NHMUK,010820591,Orientalibombus,Bombus haemorrhoidalis,1935,Jan,4/1/1935,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Worker
46,CT#46,NHMUK,010820592,Orientalibombus,Bombus haemorrhoidalis,1930,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610.00,610.00,F. Kingdon Ward,Worker
47,CT#47,NHMUK,010820593,Orientalibombus,Bombus haemorrhoidalis,1930,Apr,12/4/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610.00,610.00,F. Kingdon Ward,Worker
48,CT#48,NHMUK,010820594,Orientalibombus,Bombus haemorrhoidalis,1930,Jun,12/6/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610.00,610.00,F. Kingdon Ward,Worker
49,CT#49,NHMUK,010820595,Orientalibombus,Bombus haemorrhoidalis,1935,NA,NA,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Queen
50,CT#50,NHMUK,010820596,Orientalibombus,Bombus haemorrhoidalis,1935,NA,NA,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Queen
51,CT#51,NHMUK,010820597,Orientalibombus,Bombus haemorrhoidalis,1935,Mar,19/3/1935,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Worker
52,CT#52,NHMUK,010820598,Orientalibombus,Bombus haemorrhoidalis,1935,Mar,19/3/1935,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Worker
53,CT#53,NHMUK,010820599,Orientalibombus,Bombus haemorrhoidalis,1935,Mar,28/3/1935,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Worker
54,CT#54,NHMUK,010820600,Orientalibombus,Bombus haemorrhoidalis,1935,Mar,16/3/1935,India,Mishmi Hills,28.2505763,95.9930746,NA,NA,M. Steele,Worker
55,CT#55,NHMUK,010820601,Thoracobombus,Bombus impetuosus,1915,Sep,NA,Vietnam,Dong Van ,23.2247,105.2429,NA,NA,R. V. de Salvaza,Worker
56,CT#56,NHMUK,010820602,Alpigenobombus,Bombus genalis,1938,Aug,29/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
57,CT#57,NHMUK,010820603,Alpigenobombus,Bombus genalis,1938,Aug,29/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
58,CT#58,NHMUK,010820604,Alpigenobombus,Bombus genalis,1938,Aug,29/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
59,CT#59,NHMUK,010820605,Alpigenobombus,Bombus genalis,1938,Aug,29/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
60,CT#60,NHMUK,010820606,Alpigenobombus,Bombus genalis,1938,Aug,29/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
61,CT#61,NHMUK,010820607,Alpigenobombus,Bombus genalis,1938,Dec,8/12/1938,Myanmar,Nam Tamai Valley,27.7,97.9,1829.00,1829.00,R. Kaulback,Worker
62,CT#62,NHMUK,010820608,Alpigenobombus,Bombus breviceps,1924,Mar,6/3/1924,Vietnam,Ngai-Tio,22.6,103.6666667,1463.00,1463.00,H. Stevens,Worker
63,CT#63,NHMUK,010820609,Alpigenobombus,Bombus breviceps,1916,May,6/5/1916,Vietnam,Sa pa ,22.35,103.8666667,NA,NA,R. V. de Salvaza,Queen
64,CT#64,NHMUK,010820610,Alpigenobombus,Bombus breviceps,1916,May,21/5/1916,Vietnam,Sa pa ,22.35,103.8666667,NA,NA,R. V. de Salvaza,Worker
65,CT#65,NHMUK,010820611,Alpigenobombus,Bombus breviceps,1916,May,25/5/1916,Vietnam,Sa pa ,22.35,103.8666667,NA,NA,R. V. de Salvaza,Worker
66,CT#66,NHMUK,010820612,Alpigenobombus,Bombus breviceps,NA,NA,NA,Vietnam,Dong Van ,NA,NA,NA,NA,R. V. de Salvaza,Queen
67,CT#67,NHMUK,010820613,Alpigenobombus,Bombus breviceps,1915,Oct,30/10/1915,Vietnam,Si rai,NA,NA,NA,NA,R. V. de Salvaza,Queen
68,CT#68,NHMUK,010820614,Alpigenobombus,Bombus breviceps,NA,NA,NA,Vietnam,NA,NA,NA,NA,NA,R. V. de Salvaza,Queen
69,CT#69,NHMUK,010820615,Alpigenobombus,Bombus breviceps,1915,Mar,20/3/1915,Laos,Xieng Khouaug ,19.6093,103.7289,NA,NA,R. V. de Salvaza,Queen
70,CT#70,NHMUK,010820616,Alpigenobombus,Bombus breviceps,1928,Mar,15/3/1928,Thailand,Chiang Mai,18.7877,98.9931,NA,NA,Dr. & Mrs. J. W. McKean,Queen
71,CT#71,NHMUK,010820617,Alpigenobombus,Bombus breviceps,1918,Oct,12/10/1918,Laos,Muong Pek,19.583333,103.316667,NA,NA,R. V. de Salvaza,Worker
72,CT#72,NHMUK,010820618,Alpigenobombus,Bombus breviceps,1918,Oct,12/10/1918,Laos,Muong Pek,19.583333,103.316667,NA,NA,R. V. de Salvaza,Male
73,CT#73,NHMUK,010820619,Alpigenobombus,Bombus breviceps,1938,Jul,27/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,NA,NA,R. Kaulback,Worker
74,CT#74,NHMUK,010820620,Alpigenobombus,Bombus breviceps,1938,Jul,27/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,NA,NA,R. Kaulback,Worker
75,CT#75,NHMUK,010820621,Pyrobombus,Bombus rotundiceps,1918,Nov,5/11/1918,Laos,Vien Phou kha,20.6823,101.0655,NA,NA,R. V. de Salvaza,Worker
76,CT#76,NHMUK,010820622,Pyrobombus,Bombus rotundiceps,1929,Jan,3/1/1929,Thailand,Doi Suthep,18.8067,98.9164,NA,NA,Mrs. Mckean,Worker
77,CT#77,NHMUK,010820623,Pyrobombus,Bombus infrequens,1931,Jul,27/7/1931,Myanmar,Adung Valley ,28.13,97.7,3658.00,3658.00,Lord Cranbrook,Worker
78,CT#78,NHMUK,010820624,Pyrobombus,Bombus infrequens,1931,Jul,27/7/1931,Myanmar,Adung Valley ,28.13,97.7,3658.00,3658.00,Lord Cranbrook,Worker
79,CT#79,NHMUK,010820625,Pyrobombus,Bombus luteipes,1935,Jan,12/1/1935,India,Mishmi Hills,28.25,96,1189.00,1189.00,M. Steele,Queen
80,CT#80,NHMUK,010820626,Pyrobombus,Bombus luteipes,1931,Jan,12/1/1931,Myanmar,East Irrawaddy ,27.73,97.88,914-1219,914-1220,F. Kingdon Ward,Worker
81,CT#81,NHMUK,010820627,Pyrobombus,Bombus luteipes,1938,Sep,16/9/1938,Myanmar,Nam Tamai Valley,27.7,97.9,NA,NA,R. Kaulback,Worker
82,CT#82,NHMUK,010820628,Pyrobombus,Bombus flavescens,NA,NA,NA,Philippines,Negros,9.7151,122.8987,1829.00,1829.00,Whitehead,Worker
83,CT#83,NHMUK,010820629,Pyrobombus,Bombus flavescens,1925,May,19/5/1925,Philippines,Benguet,16.5577,120.8039,600.00,600.00,McGregor,Worker
84,CT#84,NHMUK,010820630,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
85,CT#85,NHMUK,010820631,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
86,CT#86,NHMUK,010820632,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
87,CT#87,NHMUK,010820633,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
88,CT#88,NHMUK,010820634,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
89,CT#89,NHMUK,010820635,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
90,CT#90,NHMUK,010820636,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
91,CT#91,NHMUK,010820637,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
92,CT#92,NHMUK,010820638,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
93,CT#93,NHMUK,010820639,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
94,CT#94,NHMUK,010820640,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
95,CT#95,NHMUK,010820641,Pyrobombus,Bombus flavescens,1986,Apr,27/4/1986,Philippines,Mt. Banahaw ,14.0675,121.4925,1400.00,1900.00,C. K. Starr,Worker
96,CT#96,NHMUK,010820642,Pyrobombus,Bombus flavescens,1922,Dec,25/12/1922,Malaysia,Gunung Tahan,4.633,102.235,1829.00,2164.00,H. M. Pendlebury,Queen
97,CT#97,NHMUK,010820643,Pyrobombus,Bombus flavescens,1921,Dec,14/12/1921,Malaysia,Gunung Tahan,4.633,102.235,1981.00,2164.00,H. M. Pendlebury,Queen
98,CT#98,NHMUK,010820644,Pyrobombus,Bombus flavescens,1921,Dec,13/12/1921,Malaysia,Gunung Tahan,4.633,102.235,1981.00,2164.00,H. M. Pendlebury,Queen
99,CT#99,NHMUK,010820645,Pyrobombus,Bombus flavescens,1922,Dec,26/12/1922,Malaysia,Gunung Tahan,4.633,102.235,1981.00,2164.00,H. M. Pendlebury,Queen
100,CT#100,NHMUK,010820646,Pyrobombus,Bombus flavescens,1922,Dec,27/12/1922,Malaysia,Gunung Tahan,4.633,102.235,1692.00,1692.00,H. M. Pendlebury,Queen
101,CT#101,NHMUK,010820647,Pyrobombus,Bombus flavescens,1921,Dec,14/12/1921,Malaysia,Gunung Tahan,4.633,102.235,1981.00,2164.00,H. M. Pendlebury,Queen
102,CT#102,NHMUK,010820648,Pyrobombus,Bombus flavescens,1922,Dec,27/12/1922,Malaysia,Gunung Tahan,4.633,102.235,1692.00,1692.00,H. M. Pendlebury,Worker
103,CT#103,NHMUK,010820649,Pyrobombus,Bombus flavescens,1905,Jun,17/6/1905,Malaysia,Gunung Tahan,4.633,102.235,1615.00,1829.00,H. C. Robinson,Worker
104,CT#104,NHMUK,010820650,Pyrobombus,Bombus flavescens,1905,Jun,17/6/1905,Malaysia,Gunung Tahan,4.633,102.235,1615.00,1829.00,H. C. Robinson,Worker
105,CT#105,NHMUK,010820651,Pyrobombus,Bombus flavescens,1905,Jul,20/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1554.00,1829.00,H. C. Robinson,Worker
106,CT#106,NHMUK,010820652,Pyrobombus,Bombus flavescens,1905,Jul,20/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1554.00,1829.00,H. C. Robinson,Worker
107,CT#107,NHMUK,010820653,Pyrobombus,Bombus flavescens,1905,Jul,20/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1554.00,1829.00,H. C. Robinson,Worker
108,CT#108,NHMUK,010820654,Pyrobombus,Bombus flavescens,1905,Jul,20/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1554.00,1829.00,H. C. Robinson,Worker
109,CT#109,NHMUK,010820655,Pyrobombus,Bombus flavescens,1905,Jul,20/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1554.00,1829.00,H. C. Robinson,Worker
110,CT#110,NHMUK,010820656,Pyrobombus,Bombus flavescens,1905,Jul,20/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1524.00,1829.00,H. C. Robinson,Worker
111,CT#111,NHMUK,010820657,Pyrobombus,Bombus flavescens,1905,Jul,14/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1615.00,1829.00,H. C. Robinson,Worker
112,CT#112,NHMUK,010820658,Pyrobombus,Bombus flavescens,1905,Jul,14/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1829.00,1829.00,H. C. Robinson,Worker
113,CT#113,NHMUK,010820659,Pyrobombus,Bombus flavescens,1905,Jul,14/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1829.00,1829.00,H. C. Robinson,Worker
114,CT#114,NHMUK,010820660,Pyrobombus,Bombus flavescens,1905,Jul,17/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1615.00,1829.00,H. C. Robinson,Worker
115,CT#115,NHMUK,010820661,Pyrobombus,Bombus flavescens,1905,Jul,18/7/1905,Malaysia,Gunung Tahan,4.633,102.235,1554.00,2133.00,H. C. Robinson,Worker
116,CT#116,NHMUK,010820662,Pyrobombus,Bombus flavescens,1905,Jul,19/7/1905,Malaysia,Gunung Tahan,4.633,102.235,2133.00,2133.00,H. C. Robinson,Worker
117,CT#117,NHMUK,010820663,Pyrobombus,Bombus flavescens,1905,Jun,17/6/1905,Malaysia,Gunung Tahan,4.633,102.235,1615.00,1826.00,H. C. Robinson,Worker
118,CT#118,NHMUK,010820664,Pyrobombus,Bombus flavescens,1992,Dec,21/12/1992,Malaysia,Gunung Tahan,4.633,102.235,1664.00,1664.00,H. M. Pendlebury,Worker
119,CT#119,NHMUK,010820665,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
120,CT#120,NHMUK,010820666,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
121,CT#121,NHMUK,010820667,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
122,CT#122,NHMUK,010820668,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
123,CT#123,NHMUK,010820669,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
124,CT#124,NHMUK,010820670,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
125,CT#125,NHMUK,010820671,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
126,CT#126,NHMUK,010820672,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
127,CT#127,NHMUK,010820673,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
128,CT#128,NHMUK,010820674,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
129,CT#129,NHMUK,010820675,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
130,CT#130,NHMUK,010820676,Pyrobombus,Bombus flavescens,NA,NA,NA,Malaysia,NA,4.633,102.235,NA,NA,NA,Worker
131,CT#131,NHMUK,010820677,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Queen
132,CT#132,NHMUK,010820678,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Queen
133,CT#133,NHMUK,010820679,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Worker
134,CT#134,NHMUK,010820680,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Queen
135,CT#135,NHMUK,010820681,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Queen
136,CT#136,NHMUK,010820682,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Worker
137,CT#137,NHMUK,010820683,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Queen
138,CT#138,NHMUK,010820684,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Worker
139,CT#139,NHMUK,010820685,Pyrobombus,Bombus flavescens,1959,Feb,NA,Malaysia,Gunung Tahan,4.633,102.235,2134.00,2134.00,J. A. Habp,Worker
140,CT#140,NHMUK,010820686,Pyrobombus,Bombus flavescens,1964,Feb,14/2/1964,Malaysia,Gunung Brinchang,4.5182965,101.3787402,2030.00,2030.00,H. T. Pagden,Male
141,CT#141,NHMUK,010820687,Pyrobombus,Bombus flavescens,1940,Jan,30/1/1940,Malaysia,Gunung Brinchang,4.5182965,101.3787402,2032.00,2032.00,H. T. Pagden,Male
142,CT#142,NHMUK,010820688,Pyrobombus,Bombus flavescens,1964,Feb,16/2/1964,Malaysia,Gunung Brinchang,4.5182965,101.3787402,2030.00,2030.00,H. T. Pagden,Male
143,CT#143,NHMUK,010814571,Pyrobombus,Bombus flavescens,1931,May,23/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1402.00,1402.00,H. T. Pagden,Worker
144,CT#144,NHMUK,010814572,Pyrobombus,Bombus flavescens,1931,May,24/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1524.00,1524.00,H. T. Pagden,Worker
145,CT#145,NHMUK,010814573,Pyrobombus,Bombus flavescens,1931,May,24/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1524.00,1524.00,H. T. Pagden,Worker
146,CT#146,NHMUK,010814574,Pyrobombus,Bombus flavescens,1931,May,24/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1524.00,1524.00,H. T. Pagden,Worker
147,CT#147,NHMUK,010814575,Pyrobombus,Bombus flavescens,1931,May,24/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1524.00,1524.00,H. T. Pagden,Worker
148,CT#148,NHMUK,010814576,Pyrobombus,Bombus flavescens,1931,May,25/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1402.00,1402.00,H. T. Pagden,Worker
149,CT#149,NHMUK,010814577,Pyrobombus,Bombus flavescens,1931,May,28/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1371.00,1371.00,H. T. Pagden,Worker
150,CT#150,NHMUK,010814578,Pyrobombus,Bombus flavescens,1931,May,27/5/1931,Malaysia,Tanah Rata,4.4706,101.3766,1371.00,1371.00,H. T. Pagden,Worker
151,CT#151,NHMUK,010814579,Pyrobombus,Bombus flavescens,1931,May,27/5/1931,Malaysia,Cameron highlands,4.4706,101.3766,1371.00,1371.00,H. T. Pagden,Worker
