Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall
nationwide.com,,Cloudflare,fb4e21a3-5824-540f-88af-1de0a7a472a6,2024-03-21T09:10:50Z,2024-08-23T18:06:20Z,FALSE
usaa.com,,Articulate Storyline,b33f5654-d61d-466d-bd96-88d80e5c2b08,2024-08-27T00:45:06Z,2024-08-27T05:15:29Z,TRUE
hy-vee.com,,SAP S/4HANA,4f3367de-761f-5332-bcc5-ab2f6fb7595c,2024-08-08T09:39:55Z,2024-08-08T09:39:55Z,TRUE
deloitte.com,,Swagger UI,db643b7c-3af6-554f-8c1c-38f180d360f6,2024-05-09T15:06:33Z,2024-05-09T15:06:33Z,TRUE
samesurf.com,,Flickity,87bee1b6-518d-5aa8-b7f4-c2fbb5310e81,2024-06-02T23:45:49Z,2024-09-02T23:50:14Z,FALSE
usaa.com,,FullStory,27bd02c2-a241-5529-a602-a381a9e85d08,2024-07-03T20:21:47Z,2024-07-04T00:15:13Z,TRUE
goldcast.io,,jQuery CDN,cc920028-800d-5570-94d2-e777e5bf5eb5,2024-08-04T16:12:49Z,2024-08-10T08:52:04Z,FALSE
egnyte.com,,Splunk,e6592862-ba9a-5c83-9540-3a42bc7f0af5,2024-04-02T08:24:18Z,2024-04-02T08:24:18Z,TRUE
libertymutual.com,,Fourthwall,1c8f05a4-5f98-5d39-9aca-328d5025203d,2024-03-11T17:13:09Z,2024-08-23T07:54:37Z,FALSE
jmfamily.com,,Priority Hints,c2cdf986-4b6b-5c8c-a82d-25064f82a4ae,2024-05-31T07:14:14Z,2024-08-23T07:30:01Z,FALSE
canva.com,,cdnjs,f6312a0b-936a-54f4-8c71-fe41bd860c44,2024-05-26T13:04:17Z,2024-08-24T13:38:43Z,FALSE
